rs,name,lon,lat,r1
100000,Tiranë,19.801,41.344,0
296,Durrës,19.468,41.321,100
1826,Vlorë,19.487,40.463,206
426,Elbasan,20.08,41.114,100
1522,Shkodra,19.51,42.069,172
1269,Korçë,20.78,40.618,144
511,Fier,19.559,40.726,100
613,Berat,19.95,40.705,100
511,Pogradec,20.663,40.896,100
426,Lushnja,19.704,40.94,100
247,Kavajë,19.558,41.186,100
613,Lezhë,19.644,41.781,100
1058,Sarandë,20.008,39.873,120
426,Gjirokastër,20.14,40.078,100
735,Kukës,20.424,42.078,144
882,Dibër,20.433,41.685,100
120,Libonik,20.719,40.683,100
206,Kuçovë,19.917,40.802,100
426,Mat,20.009,41.61,100
172,Rrogozhinë,19.639,41.09,100
296,Laç,19.714,41.636,100
355,Prrenjas,20.566,41.077,100
247,Fushë-Krujë,19.723,41.478,100
120,Vau i Dejës,19.621,41.999,100
172,Roskovec,19.696,40.729,100
355,Gramsh,20.184,40.866,100
206,Devoll,20.985,40.626,100
172,Frakull,19.515,40.642,100
247,Mallakastër,19.736,40.597,100
511,Tropojë,20.074,42.362,100
206,Maqellarë,20.485,41.583,100
296,Bulqizë,20.216,41.499,100
206,Librazhd,20.319,41.179,100
355,Përmet,20.358,40.236,100
