rs,name,lon,lat
144,Blovice,13.54,49.582
172,Novy Hrozenkov,18.198,49.337
144,Novy Hradek,16.244,50.357
120,Bezverov,13.059,49.995
120,Bezdruzice,12.971,49.907
120,Kaznejov,13.383,49.893
144,Lidecko,18.051,49.203
144,Satov,16.01,48.793
144,Planice,13.471,49.39
120,Jemnice,15.57,49.019
172,Bor,12.775,49.712
120,Bobrova,16.119,49.475
120,Bochov,13.045,50.151
144,Osice,15.686,50.143
120,Nova Rise,15.564,49.139
206,Nyrsko,13.144,49.294
172,Otaslavice,17.071,49.388
172,Hranice,12.176,50.305
120,Kurivody,14.804,50.586
144,Bolebor,13.413,50.54
120,Chynava,14.074,50.027
120,Borovany,14.642,48.899
206,Libochovice,14.044,50.406
144,Holysov,13.101,49.594
120,Nemcice,15.294,50.084
144,Luby,12.406,50.252
120,Morkovice,17.208,49.248
120,Netolice,14.197,49.049
172,Bystre,16.347,49.628
172,Nepomuk,13.582,49.486
120,Olsany,13.627,49.401
206,Liskovec,17.181,49.123
120,Bzova,13.862,49.898
120,Cernovice,14.961,49.373
120,Rataje,17.111,49.587
247,Jesenice,13.469,50.097
144,Velke Kunetice,17.266,50.317
120,Chrast,15.934,49.902
172,Lomnice,16.414,49.405
144,Otnice,16.814,49.086
120,Chodova Plana,12.73,49.893
735,Vyssi Brod,14.312,48.616
144,Lomnice nad Luznici,14.717,49.085
247,Mirosov,13.658,49.688
206,Miroslav,16.313,48.948
120,Mirotice,14.037,49.429
144,Nova Bystrice,15.103,49.019
120,Radimer,16.431,49.699
120,Rana,13.779,50.412
172,Velka Skrovnice,16.317,50.03
144,Olesna,14.31,49.346
172,Belice,14.472,49.766
120,Liptal,17.922,49.291
206,Chvalcov,17.711,49.389
296,Pacov,15.002,49.471
120,Lukov,17.73,49.29
144,Skaly,17.224,49.913
172,Mikulov,13.722,50.688
206,Horni Briza,13.356,49.84
144,Radonice,13.285,50.298
206,Habartice,15.065,51.019
120,Merin,15.884,49.393
172,Kremze,14.306,48.905
172,Ceska Kamenice,14.418,50.798
144,Sitborice,16.78,49.014
144,Orlicke Zahori,16.475,50.279
120,Sevetin,14.572,49.1
120,Niva,16.852,49.445
120,Ricky v Orlickych horach,16.459,50.211
172,Mnichov,17.38,50.137
144,Moravsky Beroun,17.442,49.794
120,Nadejkov,14.479,49.503
120,Koberice,18.052,49.985
172,Cerna v Posumavi,14.111,48.738
144,Kolinec,13.439,49.299
144,Lany,15.557,50.446
120,Doloplazy,17.411,49.567
355,Osoblaha,17.714,50.274
144,Krpy,14.689,50.329
172,Zirovnice,15.188,49.253
120,Kozi,13.294,49.307
144,Kostalov,15.404,50.572
144,Zelnava,13.965,48.812
144,Roztoky,13.868,50.027
206,Zelezna Ruda,13.235,49.137
206,Smirice,15.865,50.3
172,Tis,15.493,49.705
206,Zacler,15.911,50.663
296,Javornik,17.003,50.391
206,Vizovice,17.855,49.223
120,Slavonice,15.352,48.998
144,Uhercice,15.63,48.913
144,Hrotovice,16.061,49.108
120,Bela nad Radbuzou,12.718,49.591
172,Trhove Sviny,14.639,48.842
172,Kraliky,16.761,50.084
247,Breznice,13.951,49.558
120,Mlada Vozice,14.809,49.533
206,Manetin,13.233,49.992
120,Hluboke Masuvky,16.026,48.924
120,Belcice,13.876,49.502
206,Polna,15.719,49.487
120,Brasy,13.578,49.837
120,Pohorska Ves,14.648,48.67
120,Pohorelice,16.524,48.981
144,Kamenna,17.031,49.859
144,Slopne,17.847,49.156
296,Hevlin,16.381,48.752
172,Hermanuv Mestec,15.665,49.947
144,Hrusovany nad Jevisovkou,16.403,48.83
120,Castrov,15.18,49.308
120,Studene,16.589,50.067
172,Loucna nad Desnou,17.091,50.072
120,Celadna,18.338,49.549
172,Mnisek pod Brdy,14.262,49.866
120,Mnichov,12.764,49.497
144,Horni Ujezd,16.233,49.803
206,Modrava,13.499,49.024
120,Cenkov,14.004,49.777
120,Strani,17.707,48.902
247,Vejprty,13.032,50.492
172,Sluknov,14.453,51.004
172,Skalna,12.361,50.17
120,Potstat,17.652,49.637
120,Radesin,14.145,50.34
172,Zruc nad Sazavou,15.106,49.74
172,Lazanky,16.388,49.279
296,Doksy,14.656,50.565
206,Potucky,12.736,50.428
144,Zajeci,16.766,48.873
120,Zliv,14.366,49.066
144,Kopidlno,15.27,50.331
172,Stare Mesto,16.947,50.162
355,Kralovice,13.487,49.982
120,Senozaty,15.198,49.569
120,Dolni Mala Upa,15.814,50.724
144,Cesky Dub IV,14.993,50.659
144,Sedlec,14.533,49.572
120,Suchdol nad Luznici,14.877,48.893
120,Male Predmesti,12.933,49.529
206,Horni Rokytnice,15.464,50.727
172,Tremosnice,15.58,49.869
120,Zlutice,13.163,50.092
144,Zulova,17.099,50.309
120,Bukova,13.824,49.628
120,Zbilidy,15.423,49.444
144,Zbraslavice,15.183,49.812
172,Stare Hamry,18.446,49.473
120,Stare Herminovy,17.626,49.933
144,Votice,14.639,49.64
144,Chynov,14.811,49.407
144,Turov,15.996,49.989
172,Stitary,15.844,48.935
120,Udraz,14.309,49.282
172,Ceske Velenice,14.964,48.769
247,Velka Ledhuje,16.239,50.539
247,Velke Opatovice,16.679,49.612
206,Volary,13.887,48.909
296,Volyne,13.886,49.166
206,Cernosice,14.32,49.96
735,Znojmo,16.049,48.856
144,Steti,14.374,50.453
120,Bystrice nad Pernstejnem,16.262,49.523
172,Prelouc,15.559,50.037
144,Vitkov,17.749,49.775
172,Rosice,16.388,49.182
206,Ceska Lipa,14.538,50.686
735,Jihlava,15.591,49.396
144,Trinec,18.67,49.678
247,Veseli nad Moravou,17.383,48.952
296,Susice,13.52,49.232
511,Cheb,12.374,50.08
355,Cesky Krumlov,14.315,48.812
735,Ceske Budejovice,14.474,48.975
2191,Brno,16.61,49.193
172,Zabreh,16.872,49.883
247,Dvur Kralove nad Labem,15.814,50.432
206,Koprivnice,18.145,49.6
735,Olomouc,17.251,49.594
120,Brandys nad Labem-Stara Boleslav,14.663,50.188
172,Vlasim,14.899,49.706
735,Karlovy Vary,12.886,50.221
355,Zatec,13.546,50.327
144,Napajedla,17.512,49.172
206,Louny,13.797,50.357
206,Dobris,14.167,49.781
426,Hlinsko,15.908,49.762
206,Jicin,15.351,50.438
296,Sternberk,17.299,49.73
144,Moravska Trebova,16.664,49.759
247,Ceska Trebova,16.447,49.902
511,Svitavy,16.468,49.757
120,Policka,16.265,49.715
172,Vysoke Myto,16.161,49.954
206,Novy Bydzov,15.491,50.242
426,Pisek,14.147,49.31
144,Horice,15.632,50.366
355,Marianske Lazne,12.701,49.965
296,Stribro,13.004,49.753
247,Boskovice,16.66,49.488
120,Trebon,14.77,49.004
882,Plzen,13.377,49.748
206,Kromeriz,17.393,49.298
172,Vodnany,14.175,49.149
735,Zlin,17.666,49.227
355,Brumov-Bylnice,18.022,49.092
144,Kraslice,12.518,50.324
206,Nejdek,12.729,50.322
206,Ricany,14.654,49.992
120,Slapanice,16.727,49.169
144,Dubnany,17.09,48.917
144,Chomutov,13.418,50.46
296,Tachov,12.634,49.795
296,Sedlcany,14.427,49.661
144,Strakonice,13.902,49.262
296,As,12.195,50.224
247,Prostejov,17.112,49.472
144,Cesky Tesin,18.626,49.746
355,Turnov,15.157,50.587
296,Frydlant,15.08,50.921
206,Rychnov nad Kneznou,16.275,50.163
1269,Tabor,14.658,49.414
247,Decin,14.214,50.783
426,Most,13.636,50.503
247,Kadan,13.271,50.376
247,Domazlice,12.929,49.441
120,Bilina,13.775,50.549
296,Krnov,17.704,50.089
247,Trest,15.482,49.291
172,Dacice,15.437,49.082
120,Pelhrimov,15.223,49.431
206,Kralupy nad Vltavou,14.312,50.241
144,Hradek nad Nisou,14.845,50.853
172,Ivancice,16.378,49.101
206,Valasske Mezirici,17.971,49.472
120,Telc,15.452,49.185
172,Havlickuv Brod,15.581,49.608
511,Benesov,14.687,49.782
1522,Ostrava,18.281,49.835
206,Moravske Budejovice,15.809,49.052
172,Humpolec,15.359,49.542
206,Vrchlabi,15.609,50.627
172,Kutna Hora,15.268,49.949
206,Zdar nad Sazavou,15.939,49.563
247,Litomerice,14.131,50.534
206,Litvinov,13.61,50.601
511,Sumperk,16.971,49.965
296,Prachatice,13.997,49.014
247,Pribram,14.01,49.691
1269,Usti nad Labem,14.04,50.661
120,Hlucin,18.192,49.898
355,Trebic,15.881,49.216
247,Kyjov,17.123,49.01
355,Vyskov,16.998,49.278
247,Tyn nad Vltavou,14.421,49.223
144,Rakovnik,13.733,50.105
