rs,name,lon,lat,r1
144,Jechtingen,7.607,48.119,144
144,Nussbach,8.258,48.131,120
120,Neuhausen,8.461,48.134,100
144,Donaueschingen,8.498,47.951,100
172,Pfullendorf,9.256,47.924,172
206,Singen (Hohentwiel),8.835,47.76,0
355,Tuttlingen,8.819,47.984,247
172,Ettenheim,7.813,48.255,100
172,Aitern,7.895,47.803,100
206,Villingen,8.46,48.058,0
735,Loerrach,7.659,47.612,355
120,Elzach,8.069,48.172,0
172,Tegernau,7.795,47.719,100
206,Rottweil,8.627,48.168,120
172,Uehlingen,8.318,47.719,100
1269,Freiburg im Breisgau,7.85,47.995,882
206,Engen,8.772,47.854,100
426,Tiengen,8.271,47.632,355
172,Blumberg,8.534,47.84,120
172,Stockach,9.009,47.849,120
426,Ebingen,9.026,48.214,296
735,Konstanz,9.176,47.663,511
172,Altglashuetten,8.11,47.856,144
355,Muellheim,7.631,47.808,172
247,Emmendingen,7.848,48.122,120
206,Oehningen,8.885,47.662,100
172,Sigmaringen,9.215,48.087,120
144,Bubsheim,8.83,48.121,144
144,Zussdorf,9.432,47.85,100
206,Einoedsbach,10.267,47.316,100
120,Egelfingen,9.289,48.154,100
882,Kempten (Allgaeu),10.318,47.724,613
296,Memmingen,10.185,47.988,247
172,Bad Saulgau,9.499,48.014,172
355,Lindau (Bodensee),9.684,47.546,144
247,Sonthofen,10.281,47.512,206
206,Leutkirch im Allgaeu,10.024,47.825,144
247,Bad Waldsee,9.751,47.923,144
120,Waltenhofen,10.304,47.671,100
120,Rettenberg,10.291,47.575,100
296,Ravensburg,9.615,47.784,144
172,Aufhofen,9.789,48.175,100
247,Biberach an der Riss,9.792,48.097,247
144,Riedlingen,9.475,48.153,144
247,Ehingen (Donau),9.725,48.284,172
172,Wangen im Allgaeu,9.832,47.686,144
206,Friedrichshafen,9.48,47.652,206
206,Oberstdorf,10.276,47.408,100
144,Krumbach (Schwaben),10.361,48.242,0
172,Neufrach,9.311,47.76,100
172,Schongau,10.895,47.815,172
206,Bad Toelz,11.564,47.759,100
247,Hohenschaeftlarn,11.458,47.99,100
296,Fuessen,10.7,47.57,206
144,Unterhaching,11.617,48.066,100
172,Koenigsbrunn,10.89,48.267,100
172,Miesbach,11.834,47.789,100
247,Dachau,11.437,48.263,120
144,Gauting,11.377,48.069,120
120,Marktoberdorf,10.618,47.779,100
296,Landsberg am Lech,10.878,48.05,172
247,Markt Schwaben,11.865,48.191,120
120,Diessen am Ammersee,11.095,47.949,120
120,Kreuth,11.744,47.642,100
120,Fuerstenfeldbruck,11.253,48.183,120
120,Halblech,10.821,47.63,100
120,Weilheim in Oberbayern,11.145,47.84,0
355,Kaufbeuren,10.621,47.88,206
426,Geretsried,11.482,47.856,296
172,Murnau am Staffelsee,11.202,47.682,120
144,Oberau,11.138,47.563,100
172,Schwabmuenchen,10.758,48.179,100
120,Wolfratshausen,11.421,47.913,100
