rs,name,lon,lat,r1
100000,Torshavn,-6.758,62.03,0
355,Klaksvik,-6.579,62.229,100
296,Vestmanna,-7.16,62.156,100
1058,Vagur,-6.81,61.474,120
172,Tvoeroyri,-6.804,61.555,100
172,Saltangara,-6.717,62.12,100
206,Midvagur,-7.2,62.054,100
247,Vidareidi,-6.534,62.36,100
120,Hvannasund,-6.515,62.295,100
120,Oyndarfjoerdur,-6.851,62.279,100
613,Eidi,-7.095,62.301,100
120,Selatrad,-6.877,62.16,100
144,Koltur,-6.97,61.989,100
355,Mykines,-7.647,62.104,100
144,Skopun,-6.884,61.904,100
355,Sandur,-6.816,61.835,100
144,Dalur,-6.681,61.784,100
144,Hvalba,-6.952,61.604,100
172,Sumba,-6.714,61.406,100
