rs,name,lon,lat,r1
120,Sandgerdi,-22.7,64.033,100
355,Grindavik,-22.434,63.843,172
206,Grundarhverfi Kjalarnesi,-21.831,64.242,100
355,Borgarnes,-21.91,64.545,172
296,Budardalur,-21.762,65.109,0
1522,Stykkisholmur,-22.725,65.076,613
206,Grundarfjordur,-23.261,64.925,172
511,Olafsvik,-23.708,64.897,426
511,Patreksfjordur,-23.999,65.598,511
144,Bildudalur,-23.599,65.686,144
206,Thingeyri,-23.489,65.877,0
144,Flateyri,-23.508,66.046,144
206,Bolungarvik,-23.25,66.157,100
3784,Isafjordur,-23.124,66.075,1826
120,Sudavik,-22.986,66.038,100
144,Laugarbakki,-20.894,65.328,100
296,Hvammstangi,-20.943,65.398,0
296,Skagastrond,-20.303,65.823,144
296,Blonduos,-20.28,65.658,296
613,Saudarkrokur,-19.64,65.748,511
426,Varmahlid,-19.444,65.553,206
206,Holar i Hjaltadal,-19.113,65.733,206
511,Siglufjordur,-18.907,66.155,247
206,Olafsfjordur,-18.653,66.071,120
426,Dalvik,-18.53,65.974,355
172,Grenivik,-18.181,65.946,120
296,Faskrudsfjordur,-14.014,64.93,120
206,Stodvarfjordur,-13.874,64.833,120
511,Djupivogur,-14.283,64.657,206
120,Nesjahverfi Hornafirdi,-15.226,64.312,100
1826,Hofn i Hornafirdi,-15.208,64.255,882
247,Hrafnagil,-18.094,65.571,120
426,Husavik,-17.343,66.047,426
296,Laugar,-17.36,65.721,144
296,Reykjahlid,-16.91,65.64,0
247,Kopasker,-16.44,66.302,247
735,Raufarhofn,-15.949,66.454,355
1058,Thorshofn,-15.336,66.198,511
511,Bakkafjordur,-14.803,66.037,247
1058,Vopnafjordur,-14.828,65.753,511
2191,Egilsstadir,-14.406,65.262,1269
144,Seydisfjordur,-14.009,65.26,144
206,Reydarfjordur,-14.218,65.033,0
426,Neskaupstadur,-13.676,65.147,247
296,Reykholar,-22.199,65.448,296
120,Drangsnes,-21.44,65.69,100
206,Hofsos,-19.41,65.898,144
426,Grimsey,-18.009,66.538,426
735,Holmavik,-21.683,65.701,426
144,Thorlakshofn,-21.378,63.861,144
206,Hveragerdi,-21.184,64.001,100
172,Stokkseyri,-21.062,63.837,100
296,Laugarvatn,-20.733,64.218,172
426,Fludir,-20.32,64.131,247
247,Hella,-20.401,63.834,120
613,Hvolsvollur,-20.231,63.749,296
613,Vestmannaeyjar,-20.276,63.44,613
735,Kirkjubaejarklaustur,-18.038,63.794,613
511,Vik,-19.006,63.42,511
247,Bifrost,-21.549,64.766,247
426,Akranes,-22.058,64.319,206
2191,Akureyri,-18.101,65.689,2191
172,Keflavik og Njardvik,-22.548,63.998,0
735,Selfoss,-21.003,63.937,355
100000,Reykjavík,-21.903,64.115,0
