rmax,name,lon,lat
144,Medininkai,25.646,54.536
144,Suzionys,25.508,54.99
120,Gargzdai,21.392,55.71
144,Silai,24.606,55.493
144,Geleziai,24.699,55.84
144,Viesintos,24.992,55.69
247,Merkine,24.191,54.165
172,Marcinkonys,24.402,54.06
511,Kelme,22.943,55.631
206,Garliava,23.873,54.822
613,Joniskis,23.614,56.239
100000,Vilnius,25.257,54.706
735,Taurage,22.29,55.252
613,Birzai,24.756,56.196
247,Plunge,21.846,55.911
296,Prienai,23.94,54.636
355,Marijampole,23.345,54.551
1826,Utena,25.611,55.501
426,Pabrade,25.766,54.983
613,Panevezys,24.365,55.734
613,Mazeikiai,22.342,56.305
296,Anyksciai,25.108,55.524
882,Alytus,24.022,54.414
426,Jonava,24.277,55.081
426,Kretinga,21.234,55.884
206,Kursenai,22.953,55.998
355,Elektrenai,24.646,54.776
355,Kedainiai,23.985,55.286
511,Skuodas,21.518,56.269
511,Silale,22.186,55.493
355,Lazdijai,23.521,54.23
882,Rokiskis,25.585,55.955
613,Silute,21.473,55.349
355,Kybartai,22.766,54.64
172,Lentvaris,25.045,54.642
426,Svencioneliai,26.001,55.16
206,Zarasai,26.247,55.735
296,Naujoji Akmene,22.89,56.316
206,Radviliskis,23.537,55.815
247,Kazlu Ruda,23.494,54.748
511,Raseiniai,23.114,55.382
355,Pasvalys,24.401,56.061
426,Ignalina,26.161,55.339
1269,Siauliai,23.316,55.934
296,Neringa,21.011,55.312
144,Balninkai,25.124,55.294
206,Naujasodis,25.32,55.344
120,Kupreliskis,24.964,56.04
144,Antaliepte,25.866,55.66
144,Salakas,26.133,55.58
355,Dubiciai,24.747,54.02
172,Kabeliai,24.297,53.954
144,Saugos,21.46,55.464
120,Pajuris,22.029,55.45
120,Pagiriai,24.397,55.361
120,Lanciunava,24.152,55.347
296,Didziasalis,26.679,55.32
120,Rusne,21.374,55.295
144,Zygaiciai,22.035,55.31
120,Girkalnis,23.208,55.309
172,Siesikai,24.504,55.295
172,Mielagenai,26.438,55.258
120,Erzvilkas,22.709,55.263
247,Vadzgirys,22.926,55.254
172,Natkiskiai,21.946,55.233
120,Josvainiai,23.836,55.245
120,Bukonys,24.367,55.227
206,Zelva,25.098,55.22
144,Valai,25.061,54.705
247,Jasiunai,25.324,54.446
206,Struna,26.153,55.032
120,Taujenai,24.762,55.39
296,Nemencine,25.469,54.849
120,Kazokiskes,24.832,54.819
120,Daujenai,24.519,55.976
172,Girdziai,22.796,55.163
144,Kasonys,24.173,54.643
120,Vartai,23.838,54.588
247,Adutiskis,26.585,55.158
120,Inturke,25.562,55.16
144,Talokiai,23.963,54.345
172,Stulgiai,22.679,55.487
206,Sangruda,23.233,54.32
144,Kapciamiestis,23.656,54.002
247,Simnas,23.648,54.382
172,Akmene,22.745,56.246
296,Pagegiai,21.908,55.137
613,Visaginas,26.439,55.6
120,Voveriai,22.87,55.01
144,Vilkyskiai,22.13,55.119
144,Babtai,23.797,55.088
172,Joniskis,25.664,55.076
206,Viesvile,22.388,55.072
144,Giedraiciai,25.261,55.074
172,Upninkai,24.539,55.081
120,Slavikai,22.743,54.96
172,Paberze,25.236,54.942
206,Musninkai,24.841,54.949
120,Kudirkos Naumiestis,22.861,54.773
120,Mostiskes,25.667,54.771
144,Pilviskiai,23.22,54.72
206,Semeliskes,24.66,54.666
144,Varputenai,22.889,55.881
120,Vente,21.199,55.35
144,Gardamas,21.66,55.408
120,Lybiskiai,22.666,55.345
206,Kuliai,21.656,55.806
296,Kvetkai,25.138,56.149
144,Pajevonys,22.838,54.564
144,Eiciai,22.483,55.165
426,Nemunelio Radviliskis,24.77,56.397
144,Lenas,24.59,55.427
172,Pabaiskas,24.767,55.168
206,Vainotiskiai,23.845,55.397
120,Kuras,23.544,54.943
247,Tryskiai,22.583,56.056
120,Kuziai,23.14,55.984
247,Juodupe,25.606,56.085
206,Kazitiskis,26.15,55.442
172,Saldutiskis,25.815,55.35
120,Ziezmariai,24.443,54.804
144,Igliauka,23.651,54.573
247,Daugai,24.347,54.362
144,Liudvinavas,23.356,54.482
144,Plateliai,21.816,56.043
120,Paupys,22.868,55.315
144,Aukstadvaris,24.527,54.579
355,Rudiskes,24.827,54.516
247,Butrimonys,24.253,54.501
144,Onuskis,24.594,54.484
355,Vistytis,22.719,54.454
206,Zilinai,24.636,54.394
144,Uzuperkasis,24.839,54.356
120,Klausuciai,23.367,55.111
172,Ezerelis,23.605,54.882
172,Griskabudis,23.171,54.851
172,Zeimiai,24.221,55.18
144,Seta,24.252,55.281
296,Raguva,24.622,55.566
144,Troskunai,24.873,55.586
172,Lenkimai,21.315,56.192
172,Darbenai,21.256,56.023
144,Kulupenai,21.474,55.961
206,Mosedis,21.578,56.167
355,Seda,22.089,56.167
172,Pikeliai,22.109,56.417
120,Kruopiai,23.02,56.241
247,Linkuva,23.972,56.086
206,Vabalninkas,24.747,55.98
172,Gedrimai,22.123,56.071
144,Betygala,23.369,55.363
206,Dercekliai,21.282,55.581
120,Plikiai,21.282,55.788
206,Laizuva,22.564,56.381
172,Ylakiai,21.855,56.28
120,Venta,22.695,56.193
144,Duseikiai,22.46,55.979
144,Veivirzenai,21.595,55.597
172,Zarenai,22.207,55.839
206,Luoke,22.529,55.892
144,Staciunai,23.632,55.939
144,Panara,24.111,54.104
247,Pumpenai,24.336,55.935
120,Zlibinai,22.005,55.882
172,Simonys,25.141,55.738
247,Kamajai,25.507,55.821
144,Boniskiai,24.03,55.077
144,Stabintiskes,24.599,54.904
144,Verstaminai,23.545,54.296
120,Alizava,25.003,55.971
355,Uztilte,25.834,55.739
172,Skapiskis,25.202,55.895
206,Subacius,24.744,55.765
120,Ramygala,24.308,55.51
206,Krekenava,24.097,55.543
