rs,name,lon,lat,r1
100000,Skopje,21.432,42.002,0
355,Kumanovo,21.723,42.133,100
2191,Bitola,21.329,41.03,247
426,Tetovo,20.968,42.005,100
735,Prilep,21.554,41.348,100
511,Gostivar,20.909,41.793,100
511,Veles,21.778,41.718,100
613,Ohrid,20.807,41.122,100
426,Štip,22.199,41.742,100
426,Kavadarci,22.01,41.432,100
882,Kočani,22.413,41.916,100
613,Kičevo,20.96,41.513,100
120,Struga,20.682,41.178,100
1269,Strumica,22.64,41.436,100
120,Drachevo,21.518,41.938,100
355,Radoviš,22.464,41.633,100
613,Kriva Palanka,22.33,42.201,100
426,Debar,20.525,41.52,100
355,Delčevo,22.774,41.969,100
206,Pirok,20.912,41.917,100
172,Probištip,22.182,41.998,100
120,Aračinovo,21.565,42.026,100
172,Sveti Nikole,21.938,41.865,100
120,Negotino,22.089,41.482,100
206,Resen,21.013,41.091,100
613,Gevgelija,22.505,41.141,100
296,Berovo,22.853,41.708,100
172,Tearce,21.058,42.083,100
296,Kratovo,22.18,42.08,100
247,Kruševo,21.248,41.369,100
247,Podgorci,20.598,41.268,100
355,Demir Hisar,21.203,41.22,100
120,Lipkovo,21.587,42.149,100
172,Čaška,21.693,41.646,100
247,Makedonski Brod,21.216,41.511,100
