rs,name,lon,lat,r1
206,Ribnica,14.727,45.739,100
172,Zuzemberk,14.929,45.831,120
144,Draza vas,15.48,46.327,100
144,Podcetrtek,15.597,46.157,100
120,Lasko,15.236,46.154,100
172,Sentilj v Slov. goricah,15.653,46.679,100
120,Mozirje,14.96,46.339,100
144,Cirkulane,15.995,46.344,100
144,Ivanje selo,14.299,45.835,100
247,Vinica,15.255,45.46,100
120,Podgrad,14.146,45.522,100
120,Zgornje Jezersko,14.499,46.393,120
172,Lendava,16.451,46.565,144
172,Podljubelj,14.288,46.398,120
144,Kranjska Gora,13.79,46.486,144
296,Rogasovci,16.035,46.805,120
120,Gornji Petrovci,16.219,46.804,100
172,Dravograd,15.018,46.59,100
120,Predmeja,13.88,45.946,100
172,Vrh,15.498,46.244,100
355,Vrh,15.102,45.98,120
172,Sevnica,15.305,46.007,120
144,Miren,13.607,45.893,100
172,Ljutomer,16.196,46.518,100
120,Sredisce ob Dravi,16.271,46.396,100
247,Ormoz,16.149,46.407,206
120,Nova Cerkev,15.285,46.312,100
172,Dragonja,13.662,45.455,100
206,Gorenja vas,14.141,46.103,100
206,Kanal,13.634,46.085,100
172,Straza,13.948,46.102,100
511,Tolmin,13.732,46.183,172
144,Predgrad,15.055,45.505,100
206,Podbrdo,13.973,46.214,100
120,Kobarid,13.58,46.246,100
355,Luce,14.745,46.355,120
144,Kokra,14.498,46.306,100
355,Soca,13.667,46.342,100
172,Ruse,15.495,46.536,100
144,Radlje ob Dravi,15.216,46.615,100
144,Cepinci,16.21,46.86,100
172,Babno Polje,14.549,45.646,100
296,Sezana,13.873,45.709,144
144,Retje,14.583,45.71,100
511,Celje,15.264,46.231,296
247,Velenje,15.106,46.353,100
1058,Koper,13.722,45.531,426
355,Jesenice,14.052,46.432,172
511,Nova Gorica,13.646,45.958,355
426,Murska Sobota,16.164,46.658,296
144,Kamnik,14.604,46.215,100
172,Domzale,14.592,46.14,100
355,Kocevje,14.862,45.641,172
355,Postojna,14.21,45.774,144
247,Slovenj Gradec,15.084,46.508,120
206,Vrhnika,14.292,45.962,120
355,Slovenska Bistrica,15.568,46.39,144
247,Zagorje ob Savi,14.994,46.129,144
206,Grosuplje,14.656,45.957,100
144,Ajdovscina,13.906,45.888,144
120,Idrija,14.023,46.002,100
247,Crnomelj,15.186,45.573,172
355,Rogaska Slatina,15.642,46.225,120
100000,Ljubljana,14.512,46.056,100000
355,Kranj,14.358,46.243,144
426,Novo mesto,15.165,45.806,355
355,Krsko,15.497,45.958,172
247,Kozje,15.556,46.072,100
172,Ilirska Bistrica,14.241,45.572,172
172,Rodik,13.981,45.625,100
206,Pivka,14.196,45.682,100
172,Velike Lasce,14.636,45.834,100
1058,Maribor,15.647,46.562,613
172,Osilnica,14.698,45.53,100
247,Kostel,14.908,45.509,100
