rs,name,lon,lat
100000,Prishtinë,21.169,42.663
1058,Prizren,20.731,42.218
355,Mitrovicë,20.862,42.88
355,Gjilan-Popovicë,21.465,42.459
511,Pejë-Dardania,20.298,42.66
247,Ferizaj-Varosht,21.158,42.369
247,Gjakovë-Qendra Historike,20.433,42.378
247,Deçan,20.315,42.534
247,Podujevë,21.195,42.909
296,Gllogoc,21.126,42.514
247,Kuk,20.709,42.107
247,Vërmicë,20.76,42.539
120,Korishë-Dardani,20.78,42.274
144,Klinë,20.573,42.605
426,Kaçanik-Zeneli,21.257,42.234
247,Skënderaj,20.79,42.761
172,Meliq,21.295,42.151
120,Shkozë,20.599,42.166
120,Bardh i Madh,21.02,42.626
144,Stanofc i Ulët,21.037,42.752
172,Llashticë,21.486,42.376
120,Berisha-Sehishte,20.282,42.476
