rs,name,lon,lat,r1
134,Melk,15.33,48.227,94
192,Zwettl-Niederoesterreich,15.168,48.606,160
79,Frastanz,9.629,47.217,39
276,Waidhofen an der Thaya,15.284,48.816,192
55,Waidhofen an der Ybbs,14.773,47.959,24
276,Laa an der Thaya,16.385,48.723,134
192,Ferlach,14.301,46.529,66
476,Schaerding,13.437,48.453,230
276,Hainburg an der Donau,16.95,48.146,134
46,Gallneukirchen,14.417,48.353,0
230,Fuerstenfeld,16.081,47.047,134
160,Zirl,11.244,47.272,112
331,Eisenerz,14.891,47.543,112
822,Oberwart,16.21,47.286,331
397,Liezen,14.242,47.565,331
94,Jenbach,11.769,47.395,46
79,Voels,11.323,47.254,55
476,Leibnitz,15.54,46.783,276
476,Freistadt,14.504,48.507,230
66,Viktring,14.272,46.593,33
79,Marchtrenk,14.118,48.193,66
94,Bischofshofen,13.217,47.418,0
192,Saalfelden am Steinernen Meer,12.842,47.427,0
192,Gaenserndorf,16.724,48.338,134
192,Sankt Johann in Tirol,12.425,47.522,192
134,Deutschlandsberg,15.218,46.817,0
94,Enns,14.473,48.215,46
24,Trofaiach,15.008,47.428,20
66,Guntramsdorf,16.313,48.049,33
160,Kitzbuehel,12.39,47.448,79
24,Lauterach,9.728,47.474,20
192,Imst,10.741,47.237,112
331,Weiz,15.63,47.216,112
28,Rankweil,9.641,47.275,20
28,Brunn am Gebirge,16.288,48.109,20
66,Bruck an der Mur,15.272,47.412,33
192,Neunkirchen,16.085,47.726,94
55,Goetzis,9.641,47.334,28
94,Tulln an der Donau,16.06,48.326,94
33,Bad Voeslau,16.216,47.966,20
33,Schwechat,16.477,48.143,20
79,Traun,14.244,48.229,39
192,Woergl,12.066,47.486,94
94,Voecklabruck,13.659,48.005,94
79,Korneuburg,16.333,48.349,39
160,Telfs,11.076,47.311,0
192,Sankt Veit an der Glan,14.357,46.766,134
192,"Ried im Innkreis ",13.483,48.208,0
24,Hard,9.697,47.486,20
276,Hallein,13.099,47.681,134
192,Schwaz,11.708,47.346,134
192,Bludenz,9.821,47.156,160
331,Krems an der Donau,15.614,48.415,230
331,Knittelfeld,14.824,47.213,192
476,Gmunden,13.799,47.919,276
571,Kufstein,12.17,47.585,476
331,Spittal an der Drau,13.496,46.796,276
46,Ternitz,16.027,47.709,39
112,Hohenems,9.682,47.363,55
397,Amstetten,14.871,48.123,276
79,Stockerau,16.212,48.389,79
79,Perchtoldsdorf,16.269,48.124,39
160,Kapfenberg,15.291,47.446,134
476,Wolfsberg,14.845,46.84,230
571,Braunau am Inn,13.046,48.254,476
66,Lustenau,9.651,47.431,55
160,Moedling,16.292,48.082,79
397,Sankt Poelten,15.63,48.201,0
192,Klosterneuburg,16.32,48.308,94
331,Leoben,15.092,47.374,276
476,Feldkirch,9.586,47.255,160
822,Wiener Neustadt,16.241,47.816,397
476,Steyr,14.428,48.045,230
160,Dornbirn,9.743,47.414,79
331,Villach,13.852,46.61,331
986,Klagenfurt am Woerthersee,14.305,46.625,822
2042,Innsbruck,11.403,47.268,1183
986,Salzburg,13.034,47.81,822
2042,Linz,14.307,48.268,1183
2450,Graz,15.434,47.078,1183
100000,Wien,16.376,48.212,0
134,Hoerbranz,9.751,47.555,66
79,Pressbaum,16.079,48.18,66
33,Voesendorf,16.341,48.122,33
55,Leopoldsdorf,16.393,48.11,33
79,Himberg,16.439,48.082,66
134,Neuhofen an der Krems,14.229,48.137,66
192,Wilhelmsburg,15.604,48.106,94
94,Kremsmuenster,14.132,48.053,0
46,Deuchendorf,15.329,47.466,24
134,Kindberg,15.449,47.504,79
55,Vorchdorf,13.922,48.004,0
55,Kirchbichl,12.091,47.514,28
28,Kirchberg in Tirol,12.317,47.446,0
46,Axams,11.279,47.23,28
39,Rum,11.461,47.287,39
112,Oberndorf bei Salzburg,12.945,47.94,55
134,Laakirchen,13.824,47.983,66
134,Seiersberg,15.398,47.011,66
33,Micheldorf,14.135,47.878,20
79,Sankt Valentin,14.534,48.174,46
28,Leonding,14.249,48.279,28
112,Purkersdorf,16.175,48.21,79
39,Deutsch-Wagram,16.562,48.297,0
66,Fischamend,16.613,48.119,0
66,Gerasdorf bei Wien,16.467,48.295,0
55,Lochau,9.751,47.53,24
39,Kritzendorf,16.301,48.328,20
39,Fluh,9.775,47.493,28
46,Schlins,9.704,47.206,24
24,Kehlegg,9.777,47.402,24
46,Guetle,9.774,47.392,24
24,Paspels,9.587,47.288,20
46,Moeggers,9.816,47.561,28
24,Eichenberg,9.78,47.537,20
39,Thal,9.885,47.539,20
112,Sulzberg,9.913,47.521,66
33,Langen bei Bregenz,9.83,47.507,0
39,Riefensberg,9.964,47.504,33
55,Doren,9.88,47.492,24
39,Fussach,9.662,47.479,20
79,Buch,9.818,47.481,28
28,Krumbach,9.935,47.482,24
28,Gaissau,9.601,47.466,24
28,Fischbach,9.829,47.467,20
39,Langenegg,9.897,47.468,20
24,Bildstein,9.771,47.457,20
24,Mueselbach,9.879,47.456,20
39,Hittisau,9.959,47.457,0
39,Alberschwende,9.83,47.45,0
28,Lingenau,9.92,47.45,20
66,Schwarzach,9.763,47.445,28
24,Grossdorf,9.915,47.434,20
33,Egg,9.897,47.431,20
112,Andelsbuch,9.894,47.413,46
24,Bersbuch,9.86,47.402,24
55,Bezau,9.901,47.385,28
28,Reuthe,9.896,47.371,20
33,Bizau,9.929,47.369,20
33,Maeder,9.619,47.35,20
46,Ebnit,9.745,47.349,46
134,Mellau,9.881,47.351,33
55,Schnepfau,9.946,47.352,20
28,Koblach,9.604,47.332,24
24,Fraxern,9.674,47.315,20
79,Au,9.979,47.322,46
46,Klaus,9.65,47.311,24
46,Meiningen,9.578,47.299,33
24,Brederis,9.608,47.277,24
192,Damuels,9.891,47.28,66
28,Uebersaxen,9.672,47.253,24
66,Hohenweiler,9.781,47.588,33
46,Laterns,9.704,47.266,39
66,Fontanella,9.908,47.247,33
39,Goefis,9.631,47.235,20
28,Buchboden,9.952,47.244,28
33,Satteins,9.672,47.225,28
28,Bludesch,9.745,47.199,24
24,Marul,9.863,47.2,20
79,Ludesch,9.781,47.194,20
66,Nenzing,9.704,47.184,55
28,Buerserberg,9.776,47.143,0
28,Bings,9.859,47.145,24
55,Innerbraz,9.915,47.146,55
33,Loruens,9.849,47.129,20
79,Dalaas,9.997,47.121,66
33,Sankt Anton im Montafon,9.869,47.113,20
112,Brand,9.739,47.104,55
33,Vandans,9.865,47.096,28
24,Bartholomaeberg,9.907,47.092,20
134,Sankt Gallenkirch,9.975,47.02,66
28,Duens,9.719,47.22,20
46,Thueringerberg,9.784,47.215,20
28,Raggal,9.838,47.211,0
33,Kapellerfeld,16.499,48.316,20
46,Grosshoeniggraben,16.097,48.128,28
79,Schrick,16.621,48.513,39
33,Simonsfeld,16.334,48.507,24
39,Neubau,16.515,48.497,24
24,Pellendorf,16.554,48.486,24
160,Gaweinstal,16.589,48.477,79
28,Oberrussbach,16.05,48.475,24
33,Hornsburg,16.447,48.464,20
79,Niederhollabrunn,16.3,48.451,46
33,Unterolberndorf,16.476,48.434,20
33,Wuernitz,16.424,48.43,33
24,Obergaenserndorf,16.371,48.429,0
24,Wollmannsberg,16.265,48.429,20
79,Sierndorf,16.167,48.43,39
46,Stillfried,16.842,48.41,20
33,Schleinbach,16.476,48.419,20
39,Leitzersdorf,16.245,48.419,33
33,Mollmannsdorf,16.408,48.412,20
24,Seitzersdorf-Wolfpassing,16.089,48.413,20
24,Oberolberndorf,16.161,48.41,20
33,Ulrichskirchen,16.494,48.401,20
28,Stetteldorf am Wagram,16.017,48.409,24
39,Rueckersdorf,16.371,48.396,28
39,Oberrohrbach,16.295,48.396,20
28,Muenichsthal,16.472,48.386,20
28,Hausleiten,16.101,48.395,0
24,Schmida,16.118,48.378,20
46,Grossebersdorf,16.468,48.362,28
33,Perzendorf,16.07,48.371,24
28,Koenigsbrunn,16.411,48.35,20
28,Hagenbrunn,16.405,48.333,28
46,Neudorf im Weinviertel,16.493,48.721,0
33,Wulzeshofen,16.304,48.718,0
33,Reintal,16.824,48.7,28
24,Katzelsdorf,16.785,48.699,0
33,Kottingneusiedl,16.463,48.702,20
33,Zwingendorf,16.24,48.704,0
33,Ottenthal,16.578,48.761,0
79,Wildenduernbach,16.5,48.755,33
24,Poysbrunn,16.628,48.72,0
46,Wilfersdorf,16.644,48.587,46
39,Pyhra,16.38,48.59,20
33,Asparn an der Zaya,16.497,48.587,0
33,Michelstetten,16.43,48.586,28
55,Kettlasbrunn,16.657,48.561,24
28,Grafensulz,16.444,48.553,24
46,Niederleis,16.397,48.55,24
33,Paasdorf,16.543,48.544,28
79,Ladendorf,16.494,48.534,55
28,Herrnleis,16.447,48.526,0
28,Fraettingsdorf,16.496,48.644,20
28,Hagenberg,16.454,48.636,28
39,Ginzersdorf,16.722,48.627,20
28,Patzmannsdorf,16.28,48.638,20
55,Erdberg,16.646,48.625,24
33,Hoerersdorf,16.518,48.628,20
24,Gnadendorf,16.398,48.616,0
55,Siebenhirten,16.54,48.609,28
33,Mauerbach,16.168,48.244,20
55,Staatz-Kautendorf,16.486,48.678,46
112,Poysdorf,16.63,48.67,112
33,Wultendorf,16.462,48.664,20
33,Waltersdorf bei Staatz,16.517,48.661,20
