rmax,name,lon,lat
39,Welschingen,8.761,47.825
24,Oberhof,8.032,47.583
33,Allmannsdorf,9.203,47.683
39,Freudental,9.081,47.748
33,Nollingen,7.771,47.573
24,Buch,8.112,47.613
39,Niedergebisbach,7.996,47.649
39,Obermuenstertal,7.83,47.878
33,Sentenhart,9.127,47.914
39,Birndorf,8.134,47.624
24,Aftholderberg,9.244,47.899
33,Weisweil,8.458,47.645
46,Kadelburg,8.296,47.609
46,Sunthausen,8.592,48.003
39,Reichenbach,8.28,48.211
39,Birkhof,9.185,48.216
33,Lienheim,8.375,47.572
39,Randegg,8.755,47.723
24,Dattingen,7.657,47.834
28,Bambergen,9.197,47.793
24,Yach,8.089,48.16
79,Rheinweiler,7.533,47.709
33,Nussdorf,9.195,47.754
46,Tannheim,8.41,48.001
28,Reiselfingen,8.351,47.855
66,Binningen,8.726,47.794
55,Epfenhofen,8.554,47.819
33,Roetenbach,8.296,47.892
46,Wellendingen,8.353,47.796
55,Buchenberg,8.378,48.161
39,Litzelstetten,9.174,47.714
24,Kirnbach,8.246,48.262
33,Hausen an der Aach,8.841,47.791
33,Willaringen,7.973,47.606
28,Otterswang,9.227,47.958
24,Brettental,7.943,48.19
66,Obersimonswald,8.096,48.075
55,Ebnet,8.306,47.798
33,Taisersdorf,9.217,47.85
24,Lipburg,7.658,47.786
28,Unterlehen,8.064,47.791
24,Wagenstadt,7.793,48.206
66,Mauenheim,8.753,47.901
39,Seelfingen,9.109,47.851
39,Walbertsweiler,9.159,47.954
55,Floezlingen,8.53,48.167
33,Truchtelfingen,9.027,48.239
28,Neufra,8.675,48.128
24,Liel,7.604,47.739
46,Unteralpfen,8.136,47.645
46,Dittishausen,8.364,47.903
55,Breitenfeld,8.309,47.655
33,Oberdigisheim,8.893,48.176
24,Seedorf,8.49,48.249
24,Gallenweiler,7.684,47.885
28,Noeggenschwiel,8.213,47.693
28,Tunsel,7.669,47.903
28,Gutmadingen,8.615,47.912
112,Hierbach,8.092,47.686
28,Kalkofen,9.109,47.874
28,Mulden,7.805,47.844
39,Niederwihl,8.077,47.619
39,Rietheim,8.457,48.032
24,Adelsberg,7.837,47.717
46,Feuerbach,7.642,47.737
28,Langenschiltach,8.317,48.162
39,Watterdingen,8.699,47.839
24,Ablach,9.225,48.022
28,Storzingen,9.122,48.134
46,Bittelbrunn,8.813,47.869
94,Grimmelshofen,8.497,47.785
24,Schachen,8.098,47.603
39,Harthoefe,8.946,48.116
24,Stetten,8.715,47.873
33,Boehringen,8.932,47.753
55,Weitenau,7.766,47.678
39,Bombach,7.818,48.178
28,Hippetsweiler,9.194,47.927
24,Egg,9.194,47.692
33,Wahlwies,8.967,47.816
39,Strittberg,8.194,47.72
33,Fuerstenberg,8.552,47.892
46,Hoppetenzell,9.008,47.894
46,Ofteringen,8.377,47.677
28,Istein,7.539,47.661
33,Rengetsweiler,9.176,47.968
46,Bettmaringen,8.362,47.754
46,Aichen,8.262,47.676
24,Fuetzen,8.531,47.81
46,Grissheim,7.59,47.874
33,Kappel,7.909,47.966
46,Herten,7.732,47.557
28,Mindersdorf,9.074,47.897
24,Brandenberg,7.973,47.838
55,Niederwinden,8.019,48.141
24,Nordschwaben,7.818,47.62
39,Ruhestetten,9.17,47.902
39,Schweighausen,7.966,48.22
24,Berau,8.26,47.696
46,Hausen vor Wald,8.488,47.891
46,Krenkingen,8.307,47.683
79,Kirchen,8.673,47.909
46,Leidringen,8.706,48.267
33,Veringendorf,9.202,48.158
28,Zunzingen,7.653,47.82
28,Seefelden,7.64,47.859
33,Duchtlingen,8.791,47.792
33,Munzingen,7.699,47.969
33,Hubertshofen,8.389,47.96
28,Hossingen,8.922,48.19
46,Mahlspueren im Hegau,8.978,47.875
28,Gallmannsweil,8.997,47.924
24,Schmitzingen,8.201,47.651
33,Oberbraend,8.289,47.949
39,Unterweschnegg,8.171,47.703
66,Sankt Ulrich,7.839,47.909
55,Laufen,8.917,48.224
39,Weigheim,8.607,48.059
28,Holzach,8.998,47.941
28,Kreenheinstetten,9.053,48.055
46,Hof,8.015,47.821
46,Zepfenhan,8.715,48.193
24,Unterglashuette,9.029,48.115
55,Bannholz,8.164,47.676
33,Espasingen,9.011,47.821
28,Dettingen,9.117,47.734
28,Huttingen,7.548,47.672
39,Muensterhalden,7.787,47.815
94,Saegendobel,8.031,48.038
46,Holzen,7.627,47.694
33,Oedenbach,8.098,47.928
46,Weiler,8.953,47.71
