rs,name,lon,lat,r1
276,San Vicente de Alcantara,-7.136,39.361,39
331,Llerena,-6.016,38.238,66
822,Azuaga,-5.677,38.26,79
822,Zafra,-6.411,38.423,66
39,Los Santos de Maimona,-6.381,38.449,20
55,Fuente del Maestre,-6.447,38.527,20
276,Villafranca de los Barros,-6.336,38.561,28
476,Almendralejo,-6.405,38.683,55
46,Villanueva de la Serena,-5.795,38.976,20
397,Don Benito,-5.861,38.957,94
230,Guarena,-6.098,38.86,46
571,Merida,-6.342,38.919,112
134,Jerez de los Caballeros,-6.769,38.323,66
331,Olivenza,-7.098,38.684,39
66,Las Vaguadas,-6.971,38.844,20
94,Arroyo de la Luz,-6.582,39.485,39
192,Montehermoso,-6.348,40.088,39
192,Moraleja,-6.654,40.069,24
476,Coria,-6.538,39.986,79
986,Caceres,-6.371,39.475,134
230,Jaraiz de la Vera,-5.756,40.058,46
276,Navalmoral de la Mata,-5.539,39.894,94
986,Plasencia,-6.085,40.036,112
230,Gibraleon,-6.967,37.376,28
112,Trigueros,-6.833,37.383,20
160,Punta Umbria,-6.968,37.183,20
79,San Juan del Puerto,-6.84,37.316,20
66,Ayamonte,-7.401,37.215,20
46,Rociana del Condado,-6.595,37.307,20
571,Aracena,-6.564,37.892,66
79,Cartaya,-7.149,37.284,20
571,Valverde del Camino,-6.752,37.573,66
94,La Palma del Condado,-6.553,37.388,20
397,Almonte,-6.516,37.261,79
160,Bollullos Par del Condado,-6.539,37.34,20
112,Villa del Rio,-4.288,37.981,20
822,Lucena,-4.486,37.409,134
79,La Rambla,-4.737,37.607,20
79,Nueva Carteya,-4.466,37.586,24
192,Rute,-4.368,37.326,24
112,Cabra,-4.429,37.473,20
192,Puente Genil,-4.766,37.388,55
397,Montilla,-4.638,37.585,39
276,Baena,-4.323,37.617,28
134,Aguilar de la Frontera,-4.656,37.514,20
112,Fuente Palmera,-5.1,37.704,24
276,Bujalance,-4.379,37.893,33
331,Palma del Rio,-5.278,37.699,46
94,Vejer de la Frontera,-5.966,36.251,20
79,Medina-Sidonia,-5.928,36.462,39
39,Bonanza,-6.335,36.801,20
79,Trebujena,-6.174,36.869,20
112,Paterna de Rivera,-5.864,36.523,20
112,Los Barrios,-5.489,36.183,20
94,Puerto Serrano,-5.541,36.922,20
276,Ubrique,-5.446,36.675,55
112,Bornos,-5.743,36.816,20
134,Benalup-Casas Viejas,-5.813,36.346,33
112,Puerto Real,-6.192,36.53,20
230,Rota,-6.367,36.627,24
230,Conil de la Frontera,-6.086,36.279,28
192,Tarifa,-5.606,36.016,33
822,Algeciras,-5.448,36.133,134
397,Olvera,-5.258,36.934,46
134,Archidona,-4.39,37.095,33
331,Alameda,-4.656,37.208,39
331,Velez-Malaga,-4.101,36.777,66
55,Campanillas,-4.543,36.725,20
160,Estacion,-4.609,36.737,20
94,Pizarra,-4.707,36.764,20
46,Cartama,-4.631,36.712,20
1702,Malaga,-4.43,36.724,276
66,Alhaurin el Grande,-4.686,36.642,24
94,San Luis de Sabinillas,-5.229,36.366,20
397,Marbella,-4.886,36.513,55
134,Sitio de Calahonda,-4.711,36.491,20
39,Torremolinos,-4.496,36.629,20
134,Nerja,-3.872,36.754,39
397,Guadix,-3.136,37.299,79
134,Huetor Tajar,-4.046,37.198,20
822,Baza,-2.773,37.488,134
822,Motril,-3.517,36.749,94
94,Padul,-3.625,37.024,20
55,Alhendin,-3.643,37.108,20
39,Cullar Vega,-3.672,37.156,20
39,Armilla,-3.623,37.142,20
39,Huetor Vega,-3.567,37.148,20
230,Pinos Puente,-3.75,37.253,20
66,Santa Fe,-3.716,37.189,20
46,Atarfe,-3.687,37.223,20
94,Maracena,-3.634,37.206,20
33,Albolote,-3.655,37.23,20
33,Granada,-3.602,37.181,20
24,Peligros,-3.627,37.232,20
55,Salobrena,-3.586,36.743,20
94,La Zubia,-3.584,37.118,20
33,Otura,-3.635,37.092,20
28,Barrio de la Vega,-3.562,37.135,20
331,La Carolina,-3.616,38.274,39
276,Alcaudete,-4.081,37.59,28
94,Torreperogil,-3.289,38.035,20
230,Arjona,-4.056,37.936,24
33,Torredonjimeno,-3.953,37.765,20
55,Torre del Campo,-3.898,37.77,20
192,Martos,-3.97,37.718,33
134,Los Villares,-3.817,37.689,20
230,Mengibar,-3.806,37.969,28
112,Baeza,-3.469,37.994,20
192,Mancha Real,-3.608,37.785,33
571,Jodar,-3.353,37.84,39
134,Bailen,-3.777,38.095,28
476,Villacarrillo,-3.082,38.116,55
66,Ceuti,-1.273,38.08,20
28,Alguazas,-1.24,38.053,20
397,Mula,-1.491,38.04,39
160,Bullas,-1.667,38.047,24
55,Santomera,-1.048,38.062,20
134,Molina de Segura,-1.206,38.057,20
24,Lorqui,-1.25,38.084,20
39,Espinardo,-1.155,38.011,20
24,Cabezo de Torres,-1.127,38.025,20
24,Altorreal,-1.169,38.074,20
331,Fortuna,-1.126,38.181,24
192,Caravaca de la Cruz,-1.863,38.106,94
134,Alhama de Murcia,-1.424,37.85,20
134,Torre-Pacheco,-0.954,37.744,24
79,Puerto de Mazarron,-1.266,37.564,20
79,Fuente Alamo de Murcia,-1.17,37.723,33
66,Poligono de Santa Ana,-1.011,37.652,20
55,El Algar,-0.865,37.647,20
94,La Union,-0.877,37.62,24
230,Totana,-1.499,37.77,39
571,Aguilas,-1.582,37.409,66
276,Mazarron,-1.314,37.599,46
192,Puerto Lumbreras,-1.806,37.565,24
160,Moratalla,-1.89,38.188,20
230,Jumilla,-1.324,38.476,46
986,Hellin,-1.698,38.511,79
160,Tobarra,-1.688,38.591,20
230,La Roda,-2.157,39.206,55
1183,Albacete,-1.858,38.993,192
571,Almansa,-1.095,38.868,66
160,Caudete,-0.985,38.705,20
39,Argamasilla de Alba,-3.093,39.128,20
571,Alcazar de San Juan,-3.211,39.39,66
66,Membrilla,-3.343,38.972,20
276,Manzanares,-3.371,38.998,55
230,Villarrubia de los Ojos,-3.607,39.22,33
230,Daimiel,-3.611,39.069,39
160,La Solana,-3.234,38.942,24
39,Campo de Criptana,-3.125,39.403,20
571,Tomelloso,-3.017,39.157,192
46,Miguelturra,-3.892,38.967,20
2042,Ciudad Real,-3.928,38.983,230
331,Malagon,-3.851,39.167,39
46,Almagro,-3.71,38.889,20
134,Bolanos de Calatrava,-3.663,38.906,39
112,Pedro Munoz,-2.947,39.402,33
112,Socuellamos,-2.792,39.284,33
476,Tarancon,-3.01,40.011,79
1419,Cuenca,-2.136,40.066,160
230,San Clemente,-2.427,39.402,39
160,Mota del Cuervo,-2.87,39.501,20
160,Las Pedroneras,-2.673,39.449,33
230,Quintanar del Rey,-1.926,39.344,46
28,Cabanillas del Campo,-3.231,40.638,20
55,Alovera,-3.246,40.596,20
79,Marchamalo,-3.202,40.668,20
112,Azuqueca de Henares,-3.259,40.57,20
230,Guadalajara,-3.164,40.636,46
94,Villaviciosa de Odon,-3.907,40.358,20
39,Alcorcon,-3.826,40.343,20
33,El Bosque,-3.927,40.384,20
55,Boadilla del Monte,-3.894,40.406,20
134,San Martin de Valdeiglesias,-4.399,40.364,55
55,Sevilla la Nueva,-4.026,40.348,20
192,Navalcarnero,-4.012,40.287,28
160,Brunete,-3.998,40.405,20
39,Fortuna,-3.781,40.358,20
24,El Bercial,-3.736,40.323,20
55,Getafe,-3.722,40.313,20
39,Parque Coimbra,-3.928,40.308,20
66,Casas del Cura,-3.658,40.322,20
94,Mostoles,-3.858,40.319,33
33,Humera-Somosaguas-Prado del Rey,-3.795,40.418,20
79,Leganes,-3.768,40.332,20
33,Madrid,-3.676,40.427,20
55,Humanes de Madrid,-3.825,40.253,20
160,Villa del Prado,-4.304,40.277,24
112,El Alamo,-3.991,40.23,20
46,Torrejon de la Calzada,-3.801,40.201,20
94,Ciempozuelos,-3.621,40.158,20
192,Parla,-3.764,40.233,20
55,Pinto,-3.697,40.247,20
94,Valdemoro,-3.682,40.195,20
46,Grinon,-3.851,40.214,20
476,Aranjuez,-3.601,40.031,39
79,San Martin de la Vega,-3.577,40.211,20
55,Morata de Tajuna,-3.436,40.23,20
276,Villarejo de Salvanes,-3.276,40.169,39
28,Villanueva del Pardillo,-3.963,40.492,20
112,Valdemorillo,-4.066,40.501,20
66,Villanueva de la Canada,-4.002,40.449,20
39,Colmenarejo,-4.008,40.555,20
39,Alpedrete,-4.04,40.658,20
55,Hoyo de Manzanares,-3.908,40.617,20
112,Colmenar Viejo,-3.77,40.665,33
55,Tres Cantos,-3.712,40.606,20
160,Alcobendas,-3.638,40.542,28
79,San Agustin del Guadalix,-3.616,40.681,20
112,Guadarrama,-4.085,40.672,20
28,Urbanizaciones Noroeste,-3.895,40.435,20
79,Moralzarzal,-3.968,40.679,20
66,Galapagar,-4.001,40.576,20
39,Majadahonda,-3.856,40.454,20
112,Las Matas-Pinar-Monte Rozas,-3.894,40.558,20
79,Miraflores de la Sierra,-3.764,40.811,20
134,Cercedilla,-4.055,40.741,20
160,Manzanares el Real,-3.86,40.732,20
39,Soto del Real,-3.772,40.749,20
46,Loeches,-3.412,40.382,20
46,Torres de la Alameda,-3.36,40.404,20
66,Vaciamadrid,-3.514,40.332,20
134,La Partija-Santa Monica,-3.537,40.362,20
46,Mejorada del Campo,-3.484,40.395,20
55,Torrejon de Ardoz,-3.474,40.461,20
276,Arganda del Rey,-3.44,40.299,20
66,Paracuellos de Jarama,-3.517,40.502,20
79,Guadalix de la Sierra,-3.704,40.782,20
55,Cobena,-3.505,40.568,20
112,Algete,-3.497,40.597,24
55,Daganzo de Arriba,-3.456,40.547,20
79,Fuente el Saz de Jarama,-3.513,40.633,20
112,El Molar,-3.582,40.735,20
94,Meco,-3.329,40.551,20
571,Arenas de San Pedro,-5.082,40.211,66
986,Avila,-4.697,40.65,134
476,Arevalo,-4.714,41.054,66
276,Cuellar,-4.312,41.401,66
685,Segovia,-4.112,40.944,79
476,Ciudad Rodrigo,-6.529,40.6,134
571,Bejar,-5.764,40.386,79
331,Guijuelo,-5.671,40.556,39
39,Santa Marta de Tormes,-5.625,40.95,20
55,Armunia,-5.59,42.575,20
397,Astorga,-6.054,42.455,94
397,La Baneza,-5.899,42.298,46
276,Valencia de Don Juan,-5.517,42.293,66
33,Villaobispo de las Regueras,-5.549,42.614,20
33,Navatejera,-5.563,42.628,20
276,Briviesca,-3.323,42.549,79
276,Medina de Pomar,-3.487,42.932,66
571,Aranda de Duero,-3.687,41.673,134
230,Segorbe,-0.487,39.849,46
230,Onda,-0.263,39.965,28
230,L'Alcora,-0.213,40.075,24
276,La Vall d'Uixo,-0.228,39.824,28
94,Borriana/Burriana,-0.083,39.887,20
79,Vila-real,-0.101,39.94,20
46,Nules,-0.157,39.854,20
94,Mas dels Frares,0.047,40.037,20
160,Binefar,0.295,41.85,20
331,Fraga,0.342,41.522,55
685,Jaca,-0.546,42.573,112
192,Sabinanigo,-0.367,42.521,28
822,Huesca,-0.407,42.137,112
571,Monzon,0.191,41.913,79
276,Barbastro,0.125,42.036,33
276,Haro,-2.849,42.573,28
134,Arnedo,-2.102,42.226,28
94,Santo Domingo de la Calzada,-2.953,42.44,28
276,Alfaro,-1.749,42.178,33
276,Najera,-2.728,42.419,39
66,Lardero,-2.461,42.427,20
39,Villamediana de Iregua,-2.417,42.425,20
397,Calahorra,-1.968,42.307,66
192,Estella/Lizarra,-2.031,42.672,66
112,Cintruenigo,-1.803,42.079,24
986,Tudela,-1.606,42.058,112
66,Corella,-1.792,42.114,20
134,Peralta/Azkoien,-1.8,42.339,24
46,San Adrian,-1.934,42.335,20
28,Baranain,-1.685,42.804,20
28,Berriozar,-1.675,42.844,20
28,Sarriguren,-1.594,42.811,20
24,Mutilva/Mutiloa,-1.617,42.794,20
24,Noain/Noain,-1.632,42.759,20
276,Altsasu/Alsasua,-2.169,42.895,39
39,Zizur Mayor/Zizur Nagusia,-1.692,42.789,20
39,Ansoain,-1.643,42.834,20
66,El Prat de Llobregat,2.095,41.325,20
112,Vilafranca del Penedes,1.7,41.345,28
66,Sant Pere de Ribes,1.775,41.26,20
55,Castelldefels,1.98,41.285,20
33,Sitges,1.812,41.239,20
46,Piera,1.75,41.523,20
46,Abrera,1.903,41.52,20
24,Rubi,2.036,41.49,20
28,Vilassar de Dalt,2.359,41.518,20
46,La Llagosta,2.192,41.513,20
28,Cerdanyola del Valles,2.139,41.491,20
55,Sant Andreu de la Barca,1.972,41.447,20
24,Mira-Sol,2.051,41.466,20
160,Martorell,1.918,41.477,20
46,Castellbisbal,1.982,41.475,20
94,Badalona,2.237,41.451,20
39,Can Sant Joan,2.184,41.47,20
33,Tiana,2.268,41.48,20
55,Canet de Mar,2.582,41.592,20
55,Cardedeu,2.36,41.641,20
28,Llinars del Valles,2.399,41.641,20
46,Arenys de Munt,2.54,41.612,20
24,Palafolls,2.75,41.67,20
46,La Roca del Valles,2.327,41.585,20
33,Sant Andreu de Llavaneres,2.482,41.571,20
33,Mollet del Valles,2.213,41.541,20
