rs,name,lon,lat,r1
24,Sabe,43.248,42.047,20
112,Ugudeti,44.227,41.721,46
28,Kirtskhi,42.048,42.478,20
55,Zumi,42.159,42.606,20
66,Napichkhovo,42.244,42.592,20
160,Kvemo Bodbe,45.876,41.554,24
112,Kartubani,46.131,41.788,20
24,Naindrovali,46.08,41.764,20
112,Kabali,46.129,41.844,24
66,Shkmeri,43.418,42.495,20
28,Tskhemlisi,42.164,41.69,20
55,Tvanaarkhu,40.656,43.211,0
24,Akhali Kindghi,41.272,42.797,0
66,Alpana,42.829,42.561,20
46,Zeda Sairme,42.886,42.561,20
79,Kokhnari,42.319,42.036,20
134,Kareltkaari,44.471,42.369,20
55,Chkaduashi,42,42.604,20
39,Khurcha,41.694,42.506,20
33,Tsitskanaantseri,45.862,41.905,20
28,Khikhani,44.749,41.387,20
39,Tamarisi,44.743,41.44,20
24,Dioknisi,44.789,41.447,20
46,Zemo Kulari,44.88,41.387,20
28,Kirikhlo,44.922,41.368,20
24,Maradisi,44.843,41.39,20
33,Vakisdziri,45.487,42.397,0
39,Medani,42.129,42.672,20
39,Jaghira,42.059,42.535,20
55,Mchadijvari,44.6,42.017,20
39,Pudznari,44.847,42.157,20
94,Kistani,45.088,42.564,20
192,Shatili,45.158,42.658,24
79,Obuji,42.029,42.552,20
33,Tsvane,41.66,42.371,20
24,Chitatskari,41.848,42.48,20
66,Khakhieti,43.618,42.391,20
46,Jalabeti,43.653,42.403,20
24,Zeda Kardzmani,43.631,42.364,20
33,Tedeleti,43.611,42.414,20
55,Monasteri,44.389,42.064,20
112,Alevi,44.501,42.192,20
112,Makhunjia,41.759,42.612,20
28,Gagrapsta,40.291,43.272,0
39,Zodekhi,44.532,42.296,20
79,Chorchokhi,44.482,42.326,20
79,Tsolda,44.31,42.172,20
79,Kobadze,45.315,41.861,20
79,Agara,43.818,42.037,20
33,Balaani,44.476,42.347,20
24,Potskho-Etseri,42.039,42.746,20
55,Mghvimevi,43.307,42.307,20
28,Tsirkvali,43.279,42.34,20
28,Saimerlo,44.826,41.423,20
46,Nigvziani,41.907,42.075,20
33,Chochkhati,41.892,42.027,20
39,Jorkvali,42.268,42.994,20
46,Kv. Vedi,42.196,42.916,20
66,Abedati,42.289,42.383,20
39,Bulitsku,41.863,42.341,20
28,Kodistskaro,44.351,42.029,20
24,Apnisi,43.898,41.987,20
134,Mochalieti,44.453,42.28,24
39,Makhiareti,44.543,42.318,20
55,Tsatskhvi,41.791,42.415,20
33,Uchashona,41.924,42.493,20
33,Tbeti,43.659,42.371,20
476,Samtredia,42.348,42.164,55
55,Tela,46.144,41.81,20
46,Mshvidobiani,46.125,41.763,20
55,Sakobo,46.107,41.743,20
28,Chkhoria,41.962,42.607,20
46,Shamgona,41.766,42.517,20
79,Tsaishi,41.807,42.436,20
39,Vartsla,44.849,42.109,20
46,Tsivtskaro,44.675,42.207,20
39,Eloiaani,44.486,42.385,20
33,Ertatsminda,44.325,41.863,20
39,Chachubeti,44.262,41.852,20
39,Urbnisi,43.977,42.013,20
94,Morbedaani,44.473,42.12,20
28,Doghlauri,43.865,42.046,20
28,Makhati,42.283,42.296,20
46,Mukhurcha,42.245,42.321,20
39,"Natsatu ",41.983,42.569,20
33,Kulishkari,41.966,42.509,20
28,Mongiri,42.121,42.473,20
33,Akhuti,42.169,42.468,20
33,Najakhao,42.321,42.351,20
24,Onoghia,42.3,42.332,20
46,Salkhino,42.337,42.518,20
28,Vani,43.206,41.987,20
46,Rusiani,45.232,41.874,20
24,Zhanivri,42.208,41.716,20
55,Gamoghma Boslevi,43.15,42.195,20
46,Marjvena Rkvia,43.174,42.212,20
66,Manavi,45.469,41.717,20
28,"Kelasuri ",41.185,43.055,0
28,"Aualitsa ",40.704,43.179,0
39,Amlivi,44.516,41.626,20
39,Chale,42.024,42.707,20
24,Muzhava,42.01,42.725,20
55,Nashamgu,41.969,42.721,20
33,Uluria,42.117,42.585,20
55,Nakipu,42.088,42.569,20
33,Zeda Lia,42.03,42.68,20
33,Agara,41.654,41.546,20
39,Khantski,42.225,42.575,20
55,Kvedachkhorotsku,42.111,42.491,20
33,Mukhrovani,45.148,41.781,20
94,Poladauri,44.502,41.334,20
94,Asureti,44.667,41.594,20
79,Abrameti,44.497,41.613,20
24,Lagvanta,43.463,42.613,20
28,Patara Toneti,44.457,41.664,20
55,Opshkviti,42.607,42.147,20
