rs,name,lon,lat,r1
39,Argyroupolis,24.334,35.285,28
66,Rodovanion,23.782,35.288,28
46,Skalanion,25.188,35.284,33
39,Kato Kalesia,25.056,35.287,24
33,Epano Vatheia,25.241,35.285,20
331,Malia,25.464,35.283,134
33,Sellion,24.52,35.29,24
230,Anogeia,24.883,35.291,112
39,Goniai,24.927,35.293,28
24,Zoniana,24.83,35.294,20
94,Tylisos,25.019,35.297,28
55,Kalonyktis,24.393,35.302,20
55,Armenoi,24.461,35.304,28
28,Anopolis,25.257,35.303,20
79,Livadia,24.808,35.307,55
94,Elaia,25.232,35.304,24
33,Axos,24.842,35.309,20
33,Paralia Kourna,24.299,35.351,28
28,Chersonisos,25.371,35.308,20
39,Kallithea,25.173,35.314,20
46,Kourna,24.297,35.314,24
39,Gouvai,25.313,35.311,20
55,Astyrakion,24.947,35.315,20
46,Gonia,24.418,35.324,20
46,Limin Chersonisou,25.391,35.318,46
33,Agios Mamas,24.761,35.324,20
230,Kandanos,23.741,35.327,79
24,Vlychada,24.783,35.399,20
24,Exantis,24.748,35.402,20
79,Balion,24.782,35.412,33
24,Kampos Apladianon,24.819,35.349,20
24,Dafnedes,24.757,35.356,20
33,Kissou Kampos,24.554,35.187,20
28,Archontiki,24.337,35.315,20
28,Violi Charaki,24.44,35.36,24
66,Kali Sykea,24.381,35.238,28
24,Pale,24.469,35.239,20
24,Myrthianos Plakias,24.399,35.189,20
55,Varetada,21.286,38.869,39
28,Kampos,21.188,38.917,20
46,Boukka,21.142,38.927,20
46,Aktion,20.772,38.933,20
28,Agia Varvara,20.746,38.836,20
39,Pogonia,20.839,38.793,28
39,Agios Stefanos,21.205,38.724,20
55,Rivion,21.199,38.743,28
33,Kouvaras,21.224,38.695,24
46,Manina Vlizianon,21.19,38.536,28
55,Triantaiika,21.382,38.655,20
66,Lefka,21.38,38.588,20
28,Platanos,21.323,38.61,20
28,Kefalovrysos,21.307,38.505,20
24,Kato Ellinika,21.401,38.484,20
28,Bouza,21.31,38.429,20
55,Kefalovryson,21.365,38.461,20
28,Chalikion,21.355,38.477,20
28,Magoula,21.265,38.394,20
55,Potamia,21.309,39.003,20
39,Achyra,21.031,38.78,24
94,Rentina,21.974,39.065,46
55,Aidonochorion,21.969,39.093,24
134,Loutropigi,22.046,39.118,55
66,Vathylakkos,21.952,39.13,28
55,Kato Ktimeni,22.119,39.134,33
66,Neraida,21.79,39.141,46
112,Molocha,21.871,39.153,46
24,Asimochorion,22.164,39.173,20
66,Thrapsimion,22.006,39.173,33
134,Leontarion,22.133,39.182,79
55,Karoplesion,21.758,39.174,24
39,Anavra,22.093,39.191,24
160,Apidea,21.938,39.199,24
28,Argyrion,21.417,39.192,20
94,Kedros,22.043,39.21,33
46,Paliourion,21.982,39.219,39
24,Loutron,22.017,39.221,20
24,Dafnospilia,21.947,39.228,24
66,Rachoula,21.874,39.239,28
66,Kastanea,21.797,39.238,24
39,Grammatikon,22.214,39.245,28
94,Vragkiana,21.434,39.24,55
66,Filia,22.054,39.255,24
33,Katafygion,21.83,39.251,20
39,Belokomiti,21.734,39.256,20
79,Kappadokikon,22.141,39.265,55
28,Mavrachades,22.073,39.267,20
24,Dasochorion,22.034,39.268,20
46,Marathos,21.434,39.262,20
24,Lamperon,21.78,39.271,20
39,Ampelikon,21.857,39.278,28
160,Neochorion,21.733,39.276,66
79,Myrofyllon,21.325,39.366,46
112,Mesochora,21.325,39.473,66
39,Kallirroi,21.293,39.628,33
24,Sarantaporon,21.835,39.158,24
33,Agios Athanasios,21.779,39.282,28
39,Rogkia,21.443,39.218,20
79,Palaiochorio,21.299,39.525,39
685,Kastrion,24.086,34.835,276
192,Antiskarion,24.879,34.959,39
55,Paranymfoi,25.129,34.974,28
46,Agios Kyrillos,24.912,34.979,20
39,Pigaidakia,24.85,34.985,24
66,Vasiliki,24.993,34.985,24
39,Achentrias,25.224,34.991,20
28,Staviai,25.033,35.004,24
66,Plora,24.935,35.007,20
66,Pyrgos,25.153,35.006,46
24,Vasilika Anogeia,24.968,35.008,20
