rmax,name,lon,lat
79,Andzeli,27.553,56.169
55,Naujene,26.718,55.935
66,Liksna,26.402,55.987
192,Ilukste,26.295,55.977
79,Pasuliene,26.244,55.943
134,Eglaine,26.125,55.948
39,Sedere,26.172,55.931
94,Kalniesi,27.377,55.869
230,Indra,27.534,55.876
192,Piedruja,27.446,55.797
66,Seli,26.057,57.742
160,Liepna,27.472,57.344
192,Ziguri,27.666,57.265
160,Pope,21.853,57.4
66,Dokupe,21.624,57.362
66,Targale,21.646,57.331
192,Varve,21.558,57.306
66,Zuras,21.608,57.256
46,Ventava,21.612,57.229
230,Zlekas,21.828,57.124
112,Ziras,21.576,57.173
192,Uzava,21.457,57.229
230,Piltene,21.678,57.224
160,Ergeme,25.816,57.806
46,Lugazi,25.951,57.767
230,Lode,25.378,58.008
134,Vilpulka,25.233,57.963
822,Rujiena,25.332,57.897
24,Erini,25.355,57.904
33,Jeri,25.361,57.879
94,Naukseni,25.458,57.884
79,Endzele,25.368,57.858
160,Karki,25.61,57.817
276,Ramata,25.011,57.95
160,Mazsalaca,25.053,57.863
24,Skankalne,25.041,57.855
94,Seli,25.216,57.85
134,Vecate,25.135,57.795
276,Aloja,24.88,57.769
134,Staicele,24.746,57.836
94,Korgene,24.54,57.769
39,Ungurpils,24.813,57.773
276,Ainazi,24.359,57.863
24,Vecsalaca,24.407,57.757
476,Salacgriva,24.358,57.753
397,Seda,25.75,57.65
79,Strenci,25.685,57.627
160,Vijciems,25.955,57.585
192,Trikata,25.709,57.547
112,Plani,25.865,57.537
112,Blome,25.779,57.436
33,Vidzeme,25.877,57.408
79,Brutuli,25.888,57.455
94,Bilska,25.985,57.491
24,Silva,25.939,57.41
192,Launkalne,25.859,57.328
160,Drusti,25.857,57.231
160,Dzerbene,25.676,57.191
94,Taurene,25.663,57.154
276,Vecpiebalga,25.816,57.061
230,Renceni,25.43,57.73
79,Jerceni,25.652,57.691
66,Stalbe,25.033,57.371
28,Placis,24.979,57.363
134,Straupe,24.952,57.355
94,Auciems,25.143,57.337
55,Raiskums,25.152,57.314
160,Pale,24.669,57.699
112,Svetciems,24.376,57.703
192,Vilkene,24.608,57.609
66,Umurga,24.81,57.517
94,Tuja,24.387,57.493
192,Liepupe,24.468,57.464
160,Ladezers,24.697,57.423
55,Vidrizi,24.668,57.345
230,Ledurga,24.743,57.322
39,Skulte,24.442,57.33
112,Zvejniekciems,24.418,57.316
79,Livi,25.251,57.282
79,Krivi,25.327,57.275
134,Ridzene,25.429,57.264
46,Berzkrogs,25.506,57.275
192,Skujene,25.468,57.094
94,Sermuksi,25.515,57.124
134,Giksi,25.324,57.168
112,Inciems,24.881,57.255
79,Turaida,24.845,57.186
66,Ieriki,25.17,57.203
55,Skalupes,25.071,57.256
112,Ligatne,25.037,57.236
134,Augsligatne,25.038,57.19
66,Nurmizi,24.947,57.2
55,Judazi,24.935,57.109
55,Kalnabeites,24.838,57.134
33,Kipari,24.888,57.163
112,More,25.089,57.082
192,Nitaure,25.191,57.069
112,Kaive,25.624,57.055
94,Allazi,24.845,57.062
276,Saulkrasti,24.416,57.267
55,Pabazi,24.593,57.261
66,Loja,24.644,57.153
28,Murjani,24.658,57.131
94,Incukalns,24.686,57.098
79,Gauja,24.699,57.128
230,Vangazi,24.548,57.093
46,Garkalne,24.42,57.072
112,Ragana,24.706,57.18
55,Sunisi,24.703,57.157
94,Lode,24.768,57.273
112,Birini,24.666,57.246
192,Lilaste,24.338,57.187
134,Carnikava,24.271,57.13
66,Kadaga,24.362,57.093
79,Garciems,24.202,57.103
66,Kalngale,24.163,57.08
160,Adazi,24.327,57.072
66,Garkalne,24.421,57.047
79,Allazmuiza,24.816,57.029
33,Alderi,24.344,57.054
79,Baltezers,24.305,57.044
94,Evele,25.559,57.694
79,Lizdeni,25.42,57.692
94,Burtnieki,25.275,57.695
55,Rupnieki,25.483,57.576
66,Valmiermuiza,25.429,57.56
55,Brenguli,25.544,57.546
55,Koceni,25.339,57.52
94,Vilzeni,25.017,57.721
192,Matisi,25.156,57.698
192,Puikule,24.884,57.687
94,Ozolmuiza,25.05,57.638
94,Berzaine,25.212,57.596
112,Dikli,25.091,57.597
160,Pociems,24.852,57.597
112,Zilaiskalns,25.208,57.558
112,Dauguli,25.064,57.527
192,Rubene,25.257,57.468
134,Murmuiza,25.491,57.474
79,Marsneni,25.58,57.422
134,Rozes,25.642,57.381
276,Rauna,25.609,57.333
112,Janmuiza,25.331,57.35
46,Dukuri,25.295,57.327
66,Priekuli,25.359,57.314
112,Liepa,25.429,57.381
94,Vaidava,25.283,57.428
134,Rozula,24.976,57.407
571,Kolka,22.587,57.743
331,Dundaga,22.354,57.509
685,Roja,22.811,57.504
331,Mersrags,23.124,57.337
79,Vandzene,22.776,57.31
94,Kaltene,22.883,57.459
134,Valgalciems,22.947,57.41
79,Rude,22.719,57.49
134,Tingere,22.528,57.451
55,Anuzi,22.601,57.424
66,Ciruli,22.475,57.375
94,Punas,22.493,57.346
134,Laidze,22.666,57.289
94,Berzciems,23.173,57.247
476,Engure,23.225,57.16
79,Kesterciems,23.231,57.116
134,Plienciems,23.264,57.083
39,Apsuciems,23.307,57.061
55,Ragaciems,23.492,57.026
55,Klapkalnciems,23.365,57.04
94,Plavas,22.902,57.257
79,Dursupe,22.871,57.192
160,Zentene,22.978,57.134
94,Cere,22.868,57.106
94,Lamini,22.958,57.099
192,Kulciems,23.034,57.27
79,Dzintars,22.912,57.064
46,Mundigciems,22.598,57.217
66,Pastende,22.52,57.224
112,Dizstende,22.554,57.192
39,Strazde,22.723,57.129
94,Jaunpagasts,22.646,57.129
112,Vegi,22.466,57.085
134,Lauciene,22.751,57.229
192,Seme,23.129,57.045
94,Pure,22.914,57.034
331,Ance,22.023,57.513
192,Blazma,22.063,57.356
230,Spare,22.267,57.219
112,Usma,22.156,57.217
331,Renda,22.292,57.067
230,Ugale,22.021,57.277
230,Stende,22.532,57.147
276,Kandava,22.774,57.042
160,Sabile,22.571,57.048
230,Valdemarpils,22.592,57.372
94,Inesi,25.832,57.02
331,Malpils,24.961,57.011
112,Tumsupe,24.624,57.017
55,Bukulti,24.257,57.017
24,Baltezers,24.309,57.019
46,Langstini,24.329,57.007
160,Vestiena,25.873,56.867
160,Zaube,25.262,56.996
476,Ergli,25.636,56.897
160,Licupe,25.42,56.896
46,Taurupe,25.343,56.885
55,Upmalas,24.909,56.993
134,Sidgunda,24.918,56.962
94,Laubere,25.02,56.858
276,Madliena,25.155,56.846
112,Keipene,25.181,56.891
94,Suntazi,24.929,56.904
230,Ropazi,24.632,56.974
33,Lielkangari,24.642,56.925
160,Kakciems,24.601,56.915
94,Silakrogs,24.429,56.964
28,Zakumuiza,24.482,56.97
112,Tinuzi,24.561,56.864
134,Jugla,24.819,56.896
33,Upesciems,24.335,56.98
28,Mucenieki,24.375,56.96
28,Dreilini,24.247,56.944
160,Ulbroka,24.291,56.939
39,Lici,24.353,56.947
55,Sauriesi,24.365,56.919
66,Acone,24.277,56.915
28,Ramava,24.162,56.883
66,Valdlauci,24.149,56.903
66,Balozi,24.122,56.873
230,Jaunkalsnava,25.971,56.689
134,Vietalva,25.768,56.737
230,Plavinas,25.721,56.617
66,Stukmani,25.638,56.599
160,Variesi,25.976,56.566
160,Andrupene,27.392,56.183
55,Mariampole,27.389,56.161
331,Kalupe,26.543,56.097
79,Dubna,26.682,56.077
33,Spogi,26.733,56.075
192,Vabole,26.463,56.029
160,Rozupe,26.357,56.333
66,Vandani,26.16,56.334
94,Vanagi,26.374,56.295
230,Dunava,26.203,56.215
134,Nicgale,26.364,56.135
94,Kukas,26.096,56.544
94,Vipe,26.091,56.466
112,Atasiene,26.4,56.546
230,Mezare,26.242,56.538
134,Kastire,26.869,56.212
46,Aglonas stacija,26.891,56.177
94,Jaunaglona,27.007,56.161
134,Priezmale,27.212,56.151
331,Malta,27.165,56.347
160,Selija,25.636,56.558
33,Zemkopibas instituts,25.124,56.628
66,Brodi,25.875,56.468
66,Osani,25.787,56.457
230,Birzi,25.773,56.408
28,Zilani,25.943,56.515
94,Vidsala,25.86,56.344
230,Zasa,25.981,56.292
571,Akniste,25.747,56.162
134,Rubeni,25.986,56.136
94,Ancene,25.962,56.101
55,Garsene,25.809,56.101
331,Subate,25.91,56.004
134,Mengele,25.412,56.807
276,Irsi,25.592,56.791
160,Koknese,25.437,56.648
192,Vecbebri,25.485,56.723
28,Aizkraukle,25.226,56.614
79,Bormani,25.481,56.677
46,Miltini,23.339,56.63
46,Gardene,23.219,56.646
160,Svete,23.674,56.591
66,Vircava,23.771,56.558
46,Dzirnieki,23.874,56.563
66,Mazlauki,23.851,56.521
46,Jekabnieki,23.596,56.53
39,Sidrabe,23.637,56.434
79,Lielplatone,23.66,56.448
66,Berstele,23.92,56.44
79,Sesava,23.816,56.425
476,Eleja,23.684,56.411
55,Bervircava,23.748,56.401
160,Stalgene,23.955,56.568
112,Platone,23.696,56.54
46,Lielvircava,23.744,56.517
94,Oglaine,23.824,56.493
134,Nakotne,23.454,56.614
66,Lutrini,22.398,56.729
28,Namiki,22.396,56.719
55,Broceni,22.567,56.682
66,Druva,22.449,56.695
46,Butnari,22.428,56.666
28,Mezvidi,22.466,56.649
160,Ledmane,24.999,56.768
39,Kaibala,24.873,56.702
94,Jumprava,24.973,56.676
94,Dzelmes,24.917,56.643
66,Jaunjelgava,25.085,56.619
94,Skriveri,25.121,56.644
79,Staburags,25.497,56.57
160,Blidene,22.795,56.649
66,Jaunlutrini,22.409,56.828
192,Zante,22.737,56.837
134,Satiki,22.528,56.805
230,Remte,22.693,56.742
112,Meri,26.092,57.443
112,Palsmane,26.182,57.39
192,Varini,26.172,57.321
55,Vidaga,26.355,57.424
55,Viresi,26.367,57.455
160,Litene,27.024,57.191
79,Naudaskalns,27.235,57.085
94,Galgauska,26.55,57.166
79,Sece,25.394,56.559
230,Daudzeva,25.241,56.507
160,Sunakste,25.486,56.459
66,Serene,25.203,56.58
134,Taurkalne,24.928,56.565
134,Kurmene,24.827,56.419
55,Daugmale,24.421,56.821
79,Ikskile,24.498,56.836
134,Ogresgals,24.744,56.806
66,Ciemupe,24.648,56.777
66,Kegums,24.725,56.745
134,Birzgale,24.753,56.631
39,Rembate,24.784,56.753
160,Baldone,24.389,56.744
112,Varpas,24.351,56.706
134,Dimzukalns,24.236,56.663
66,Plakanciems,24.106,56.768
230,Vecumnieki,24.522,56.606
55,Beibezi,24.448,56.589
160,Stelpe,24.525,56.537
192,Valle,24.735,56.51
79,Ozolaine,24.468,56.432
160,Barbele,24.598,56.451
94,Zalite,24.081,56.617
112,Misa,24.396,56.589
94,Zorgi,24.168,56.565
66,Rosme,24.197,56.536
79,Garoza,24.099,56.508
160,Davini,24.346,56.483
160,Code,24.173,56.469
33,Jauncode,24.19,56.418
46,Jumprava,24.115,56.413
33,Saulaine,24.122,56.395
79,Vecsaule,24.333,56.432
230,Viesite,25.557,56.348
160,Zalve,25.247,56.327
192,Lone,25.411,56.284
134,Elksni,25.579,56.215
331,Nereta,25.304,56.202
33,Ceplis,24.071,56.426
134,Erberge,25.019,56.37
134,Sprogi,25.174,56.273
79,Pilskalne,25.171,56.193
331,Skaistkalne,24.646,56.381
79,Ergli,24.413,56.34
66,Ritausmas,24.167,56.382
46,Musa,24.244,56.366
94,Ceraukste,24.289,56.36
134,Berzi,24.106,56.344
28,Pastaliski,24.099,56.317
66,Pace,24.19,56.319
66,Grenctale,24.341,56.311
192,Uzvara,24.254,56.316
230,Pasiene,28.158,56.291
160,Vectilza,27.401,56.963
160,Baltinava,27.644,56.945
230,Tilza,27.365,56.904
112,Salnava,27.551,56.816
134,Krisjani,27.287,56.808
331,Rugaji,27.128,57.001
160,Benislava,27.078,56.922
55,Skujetnieki,27.168,56.916
230,Berzpils,27.083,56.851
94,Ligo,26.58,57.015
397,Lubana,26.723,56.902
134,Dzelzava,26.432,57.002
79,Kraukli,26.314,57.002
66,Liezere,26.068,57.012
276,Cesvaine,26.306,56.966
55,Aizpurve,26.424,56.979
46,Lautere,26.064,56.919
112,Biksere,26.311,56.923
94,Kusa,26.127,56.898
46,Lazdona,26.245,56.828
39,Prauliena,26.302,56.824
134,Ozoli,26.056,56.984
55,Brigi,28.067,56.421
822,Karsava,27.689,56.784
24,Malnava,27.722,56.773
160,Goliseva,27.901,56.744
230,Merdzene,27.751,56.684
112,Pusmucova,27.72,56.645
55,Blonti,27.776,56.612
66,Lucmuiza,27.756,56.566
94,Lendzi,27.508,56.582
160,Berzgale,27.517,56.631
79,Mezvidi,27.535,56.693
79,Otrie Mezvidi,27.592,56.726
39,Cibla,27.882,56.551
134,Felicianova,27.866,56.536
39,Martisi,27.736,56.523
112,Istalsna,27.844,56.495
112,Nuksi,27.742,56.456
160,Nirza,27.931,56.403
160,Pilda,27.746,56.407
134,Lauderi,27.985,56.335
94,Sondori,27.369,56.573
28,Adamova,27.369,56.562
55,Greiskani,27.428,56.513
55,Spruzeva,27.43,56.49
39,Janopole,27.379,56.462
112,Cornaja,27.415,56.385
134,Ratnieki,27.462,56.432
79,Rosica,27.582,56.406
55,Stolerova,27.552,56.432
66,Tutani,27.635,56.54
79,Luznava,27.261,56.36
134,Vecslabada,27.987,56.262
160,Ezernieki,27.657,56.185
397,Skaune,28.002,56.135
112,Svarinci,27.75,56.126
331,Kaunata,27.548,56.332
134,Lipuski,27.439,56.29
112,Dviete,26.29,56.056
160,Bebrene,26.132,56.067
79,Dolnaja,26.301,56.009
192,Visku tehnikums,26.764,56.063
134,Pelci,21.965,56.92
134,Edole,21.694,57.021
112,Padure,21.907,57.019
276,Alsunga,21.557,56.982
24,Priedaine,21.924,56.965
94,Vilgale,21.82,56.884
112,Gudenieki,21.603,56.889
112,Turlava,21.77,56.832
192,Snepele,21.941,56.842
112,Jurkalne,21.393,57.009
331,Pavilosta,21.193,56.886
112,Ranki,21.993,56.783
230,Grundzale,26.266,57.458
94,Krimunas,23.38,56.57
79,Auri,23.293,56.564
46,Kirpeni,23.326,56.532
28,Apgulde,23.239,56.534
112,Naudite,23.196,56.535
112,Penkule,23.191,56.485
112,Kronauce,23.345,56.513
66,Tervete,23.39,56.479
112,Zelmeni,23.35,56.451
39,Ziedkalne,23.48,56.435
192,Augstkalne,23.339,56.406
55,Bukaisi,23.255,56.4
33,Akacijas,23.416,56.553
192,Zalenieki,23.514,56.531
112,Vilce,23.546,56.421
112,Viesatas,22.85,56.799
66,Lestene,23.145,56.773
33,Leveste,22.979,56.725
192,Jaunpils,23.016,56.734
55,Biksti,22.965,56.67
160,Kakenieki,23.04,56.667
39,Stari,26.729,57.118
46,Stradi,26.794,57.139
94,Staki,26.733,57.134
39,Ozolkalns,26.694,57.195
112,Belava,26.777,57.254
46,Stameriena,26.884,57.235
66,Vecstameriena,26.888,57.215
276,Jaungulbene,26.599,57.069
46,Reveli,26.132,57.24
24,Gaujasreveli,26.136,57.222
134,Ranka,26.185,57.213
134,Lizums,26.373,57.189
94,Tirza,26.433,57.141
134,Druviena,26.296,57.115
331,Jaunpiebalga,26.053,57.179
94,Strautini,26.892,57.406
94,Sinole,26.497,57.251
134,Kuprava,27.5,57.237
331,Vilaka,27.672,57.184
192,Viksna,27.325,57.218
134,Semenova,27.643,57.134
79,Berzkalne,27.347,57.105
39,Skilbani,27.638,57.053
46,Upite,27.673,57.026
331,Rekova,27.615,57.04
66,Egluciems,27.494,57.042
192,Korneti,26.944,57.594
55,Marinkalns,26.977,57.487
476,Ape,26.693,57.54
192,Jaunlaicene,26.871,57.524
66,Kolbergis,27.116,57.439
79,Alsviki,26.937,57.446
66,Brenci,27.162,57.362
160,Malupe,27.234,57.34
112,Anna,27.031,57.337
331,Jaunanna,27.068,57.284
134,Trapene,26.589,57.449
66,Jaunzemi,26.676,57.372
230,Zeltini,26.778,57.358
94,Pilskalns,26.786,57.289
192,Lejasciems,26.577,57.279
112,Stepi,26.288,57.552
160,Gaujiena,26.399,57.518
94,Astasova,27.374,56.128
94,Porecje,27.877,56.097
134,Asune,27.622,56.028
822,Dagda,27.534,56.095
28,Ozolini,27.514,56.087
192,Auleja,27.276,56.058
94,Konstantinova,27.436,56.062
112,Gaigalava,27.069,56.735
134,Dricani,27.184,56.652
331,Struzani,27.235,56.697
134,Audrini,27.246,56.588
134,Rikava,27.042,56.62
230,Degumnieki,26.748,56.799
331,Barkava,26.611,56.724
112,Murmastiene,26.563,56.669
112,Varaklani,26.755,56.608
331,Vilani,26.925,56.553
39,Jaunvilani,26.932,56.569
94,Radopole,26.9,56.52
55,Sakstagals,27.144,56.535
55,Ciskadi,27.135,56.492
66,Liuza,27.141,56.564
55,Ozolmuiza,27.223,56.492
94,Beksi,27.234,56.412
230,Vecruzina,27.094,56.444
112,Kruki,26.996,56.41
55,Pustinka,26.951,56.438
33,Tiskadi,27.051,56.451
55,Strupli,26.983,56.517
66,Deksares,26.801,56.573
192,Galeni,26.838,56.477
160,Stabulnieki,26.787,56.417
66,Lielie Anspoki,26.642,56.383
230,Rudzati,26.453,56.417
79,Sauleskalns,26.069,56.807
112,Vecsaikava,26.422,56.763
112,Laudona,26.195,56.708
230,Marciena,26.102,56.772
24,Berzaune,26.032,56.808
230,Feimani,27.039,56.271
134,Pusa,27.214,56.241
66,Prikuli,26.6,56.359
160,Riebini,26.8,56.342
134,Sutri,26.526,56.311
39,Lici,26.693,56.304
134,Varkava,26.566,56.247
192,Peleci,26.719,56.147
331,Aglona,27.017,56.123
94,Graveri,27.136,56.062
94,Skeltova,27.006,56.023
33,Ambeli,26.84,56.039
160,Laidi,21.881,56.747
33,Sermite,21.782,56.733
79,Kazdanga,21.732,56.73
39,Kudra,21.573,56.729
24,Rokasbirze,21.568,56.714
112,Rudbarzi,21.881,56.643
134,Kalvene,21.733,56.605
94,Kikuri,21.665,56.802
397,Priekule,21.593,56.447
160,Vainode,21.852,56.418
276,Dzelda,21.902,56.569
192,Vibini,21.893,56.487
192,Cirava,21.385,56.735
134,Vergale,21.197,56.698
46,Ploce,21.148,56.683
94,Dunalka,21.329,56.683
112,Vecpils,21.493,56.624
112,Saraiki,21.075,56.662
112,Kapsede,21.138,56.589
28,Liegi,21.335,56.582
276,Durbe,21.371,56.588
160,Krote,21.547,56.543
94,Grobina,21.168,56.535
66,Tadaiki,21.42,56.528
112,Bunka,21.499,56.5
79,Gavieze,21.283,56.503
134,Dubeni,21.201,56.477
79,Purmsati,21.525,56.405
39,Cimdenieki,21.094,56.526
55,Bernati,20.988,56.374
79,Rude,21.092,56.375
192,Gramzda,21.602,56.368
276,Barta,21.321,56.353
230,Siksni,21.252,56.263
94,Kaleti,21.481,56.361
397,Nica,21.062,56.346
134,Jurmalciems,20.996,56.301
397,Rucava,21.161,56.162
134,Marupe,24.058,56.907
39,Tiraine,24.067,56.884
94,Viesturi,24.028,56.48
66,Mezotne,24.054,56.441
94,Pilsrundale,24.017,56.417
79,Adzuni,24.063,56.319
46,Skulte,23.953,56.919
112,Jaunmarupe,23.938,56.876
134,Pinki,23.911,56.944
28,Babite,23.941,56.953
46,Gatciems,23.629,56.917
66,Spunciems,23.697,56.929
112,Lapmezciems,23.516,56.999
28,Bigaunciems,23.537,56.985
46,Milzkalne,23.224,56.976
134,Smarde,23.337,56.953
66,Ozolnieki,23.223,56.919
276,Slampe,23.294,56.848
112,Valdeki,22.773,56.998
94,Abavnieki,22.928,56.975
94,Tume,23.086,56.937
160,Zemite,22.792,56.929
79,Vieniba,23.134,56.902
230,Irlava,22.992,56.873
66,Vaski,23.041,56.841
134,Matkule,22.592,56.981
230,Kabile,22.398,56.954
134,Vane,22.558,56.922
66,Skede,22.384,56.857
55,Mezvalde,22.021,56.986
33,Venta,22.011,56.969
230,Varme,22.24,56.873
192,Kalnciems,23.61,56.801
55,Vitolini,23.703,56.7
112,Ozolnieki,23.787,56.687
28,Brankas,23.835,56.684
33,Karnini,23.79,56.633
66,Mezciems,23.769,56.62
33,Tetele,23.839,56.638
33,Ane,23.813,56.648
112,Garoza,23.942,56.627
55,Dalbe,23.895,56.742
79,Peternieki,23.933,56.763
39,Jaunolaine,23.983,56.805
79,Tireli,23.591,56.838
66,Lancenieki,23.349,56.813
112,Dzukste,23.249,56.785
112,Jaunberze,23.394,56.742
94,Pienava,23.251,56.74
134,Livberze,23.506,56.688
55,Berze,23.442,56.691
46,Aizstrautnieki,23.211,56.688
79,Lejasstrazdi,23.313,56.663
66,Dorupe,23.547,56.624
39,Skibe,23.413,56.624
79,Draudziba,22.471,56.638
66,Sesile,22.386,56.643
94,Zebrene,22.887,56.604
79,Ile,22.995,56.543
112,Lielauce,22.887,56.521
160,Bene,23.063,56.482
397,Auce,22.903,56.462
79,Kevele,22.808,56.463
46,Vitini,22.919,56.443
192,Evarzi,22.421,56.592
134,Jaunauce,22.693,56.445
230,Ruba,22.633,56.381
112,Vadakste,22.748,56.376
134,Kursisi,22.406,56.512
134,Svitene,23.929,56.376
134,Zirni,22.216,56.674
39,Kusaini,22.052,56.685
276,Skrunda,22.009,56.674
192,Pampali,22.213,56.537
94,Nigrande,22.09,56.486
94,Kareli,22.229,56.474
230,Ezere,22.364,56.41
276,Kalni,22.127,56.444
112,Valgunde,23.677,56.749
160,Snikere,23.113,56.398
276,Ukri,23.06,56.342
79,Zemgale,23.557,56.585
66,Vecsvirlauka,23.891,56.606
79,Sati,22.968,56.909
192,Saliena,26.879,55.825
134,Kaplava,27.039,55.857
94,Vecstropi,26.61,55.899
33,Krauja,26.651,55.907
66,Tabore,26.652,55.868
66,Kalkuni,26.487,55.848
66,Cervonka,26.773,55.822
39,Skrudaliena,26.714,55.815
94,Mirnijs,26.596,55.823
55,Laucesa,26.524,55.811
192,Silene,26.781,55.751
79,Kumbuli,26.648,55.744
160,Demene,26.542,55.731
112,Svente,26.379,55.906
276,Medumi,26.36,55.786
134,Robeznieki,27.604,55.975
134,Skaista,27.371,55.964
112,Skuki,27.567,55.935
192,Kombuli,27.178,55.977
112,Izvalta,27.02,55.957
33,Augstkalne,27.155,55.911
79,Bikernieki,26.82,55.974
230,Malinova,26.691,55.99
94,Lociki,26.643,55.935
2042,Liepaja,21.007,56.51
822,Jelgava,23.713,56.651
2940,Daugavpils,26.518,55.871
1702,Rezekne,27.339,56.507
276,Jurmala,23.715,56.958
1702,Valmiera,25.416,57.535
822,Jekabpils,25.865,56.495
986,Kuldiga,21.965,56.97
571,Aizpute,21.613,56.718
