rs,name,lon,lat,r1
39,"Tira, loc.st.c.f.",28.44,47.861,24
33,"Petresti, loc.st.c.f",27.744,47.29,20
28,Flaminzeni,28.074,47.494,0
24,Dermengi,28.413,45.879,24
66,Carbalia,28.446,45.873,46
276,Gotesti,28.17,46.144,134
24,Tataraseni,28.302,46.342,20
55,Hanaseni,28.324,46.35,39
28,Pleseni,28.342,46.36,20
33,Cuporani,28.358,46.374,20
66,Toceni,28.218,46.367,33
39,Vilcele,28.253,46.38,20
55,Taraclia,28.517,46.213,24
134,Sadic,28.515,46.269,94
112,Larguta,28.329,46.31,55
28,Floricica,28.411,46.235,20
66,Enichioi,28.418,46.22,39
55,Tolica,28.481,46.194,33
66,Hanasenii Noi,28.255,46.417,46
55,Valea Florii,28.438,46.713,33
24,Carpineanca,28.474,46.694,0
112,Orac,28.458,46.67,46
66,Sarata-Razesi,28.264,46.615,46
55,Sarateni,28.467,46.61,24
39,Saratica Noua,28.547,46.572,0
24,Cimpul Drept,28.513,46.565,20
94,Sirma,28.245,46.526,46
55,Tigheci,28.377,46.387,33
39,Chircani,28.174,46.087,33
28,Constantinesti,28.212,46.111,28
55,Cucoara,28.169,46.055,46
39,Pascani,28.185,45.825,20
79,Manta,28.181,45.806,39
55,Doina,28.328,46.112,39
33,Porumbesti,28.277,46.317,0
66,Samalia,28.437,46.272,46
94,Besalma,28.646,46.171,55
66,Besghioz,28.873,46.119,55
46,Pinzareni,27.679,47.618,24
33,Pinzarenii Noi,27.646,47.602,20
24,Albinetul Vechi,27.636,47.559,0
46,Albinetul Nou,27.619,47.582,20
94,Ilenuta,27.712,47.636,39
55,Obreja Veche,27.659,47.676,39
46,Navirnet,27.56,47.589,46
39,Chetris,27.446,47.596,28
46,Hincesti,27.501,47.545,24
192,Izvoare,27.666,47.435,46
112,Pruteni,27.551,47.502,66
24,Rediul de Sus,27.6,47.509,0
39,Valea Rusului,27.584,47.472,28
46,Hiliuti,27.762,47.669,46
46,Pirlita,27.805,47.741,20
46,Suvorovca,27.893,47.638,28
39,"Catranic, loc.st.c.f.",27.776,47.623,24
24,Pietrosul Nou,27.769,47.582,20
24,Lucaceni,27.598,47.457,20
66,Horesti,27.579,47.431,39
28,Unteni,27.583,47.415,20
33,Popovca,27.862,47.707,28
28,Beleuti,27.903,47.665,24
33,Pietrosu,27.918,47.499,28
55,Catranic,27.8,47.597,33
28,Burghelea,27.86,47.536,20
79,Andrusul de Jos,28.218,45.983,39
55,Andrusul de Sus,28.247,46.007,24
55,Larga Noua,28.223,46.071,33
39,Tartaul de Salcie,28.409,45.963,39
66,Badicul Moldovenesc,28.265,46.096,66
134,Crihana Veche,28.192,45.846,66
94,Rosu,28.197,45.949,39
55,Cotihana,28.242,45.938,33
46,Frumusica,28.477,46.082,39
39,Lucesti,28.329,45.989,20
160,Giurgiulesti,28.198,45.481,79
94,Vadul lui Isac,28.172,45.763,46
160,Valeni,28.176,45.637,79
55,Panasesti,28.521,47.155,55
39,Condrita,28.575,47.054,20
66,Scoreni,28.607,47.068,39
39,Stejareni,28.416,47.109,28
55,Capriana,28.502,47.117,39
28,Fagureni,28.565,47.147,0
46,Soltoaia,27.814,47.462,20
46,Fagadau,27.802,47.442,46
79,Scumpia,27.737,47.469,39
46,Taxobeni,27.586,47.388,24
39,Hrubna Noua,27.616,47.406,24
55,Firladeni,28.686,46.788,39
33,Voinescu,28.304,46.657,20
66,Boghiceni,28.324,46.947,33
46,Tataresti,28.345,46.026,0
28,Spicoasa,28.376,46.035,20
55,Huluboaia,28.335,46.053,24
24,Alexeevca,28.565,46.03,20
46,Svetlii,28.569,46.018,39
79,Sinesti,28.05,47.397,39
55,Negrea,28.393,46.813,28
46,Cioropcani,27.698,47.396,33
55,Talaiesti,28.265,46.8,33
55,Crasnoarmeiscoe,28.282,46.829,55
28,Bobocica,28.459,46.225,28
160,Baimaclia,28.39,46.187,112
28,Acui,28.429,46.184,28
33,Rumeantev,28.281,46.112,20
39,Suhat,28.344,46.162,24
55,Cisla,28.339,46.137,28
79,Cotovscoe,28.514,46.159,66
28,Dimitrova,28.468,46.16,20
55,Ciietu,28.481,46.136,28
46,Haragis,28.378,46.289,33
55,Capaclia,28.4,46.329,24
94,Cirpesti,28.34,46.261,46
28,Visniovca,28.448,46.333,28
79,Cociulia,28.413,46.353,66
28,Iujnoe,28.476,45.75,20
46,"Vulcanesti, loc.st.c.f.",28.482,45.685,0
192,Burlaceni,28.505,45.759,94
