rmax,name,lon,lat
100000,Skopje,21.432,42.002
397,Kumanovo,21.723,42.133
2450,Bitola,21.329,41.03
476,Tetovo,20.968,42.005
822,Prilep,21.554,41.348
685,Gostivar,20.909,41.793
571,Veles,21.778,41.718
685,Ohrid,20.807,41.122
476,Štip,22.199,41.742
476,Kavadarci,22.01,41.432
986,Kočani,22.413,41.916
685,Kičevo,20.96,41.513
134,Struga,20.682,41.178
1419,Strumica,22.64,41.436
134,Drachevo,21.518,41.938
397,Radoviš,22.464,41.633
685,Kriva Palanka,22.33,42.201
476,Debar,20.525,41.52
112,Çegran,20.97,41.833
112,Vinica,22.51,41.883
397,Delčevo,22.774,41.969
230,Pirok,20.912,41.917
192,Probištip,22.182,41.998
134,Aračinovo,21.565,42.026
66,Vrapčište,20.888,41.867
230,Sveti Nikole,21.938,41.865
55,Kuklish,22.663,41.411
134,Negotino,22.089,41.482
112,Zhelino,21.064,41.982
55,Batinci-Ljubosh,21.484,41.921
276,Resen,21.013,41.091
822,Gevgelija,22.505,41.141
79,Ilinden,21.577,41.992
331,Berovo,22.853,41.708
230,Tearce,21.058,42.083
79,Makedonska Kamenica,22.59,42.02
331,Kratovo,22.18,42.08
112,Brvenica,21.016,41.919
276,Kruševo,21.248,41.369
94,Orizari,21.629,42.17
331,Podgorci,20.598,41.268
397,Demir Hisar,21.203,41.22
66,Sinichane,20.923,41.943
46,Strimnica,21.037,41.967
66,Veleshta,20.645,41.234
66,Lipkovo,21.587,42.149
112,Radovo / Turnovo / Borievo / Monospitovo,22.768,41.431
192,Čaška,21.693,41.646
276,Makedonski Brod,21.216,41.511
46,Debreshe,20.882,41.816
55,Dolneni,21.317,41.48
