rs,name,lon,lat
24,Stuifzand,6.502,52.749
28,Molenschot,4.883,51.573
24,Ederveen,5.579,52.063
112,Zevenaar,6.071,51.932
28,'s-Hertogenbosch,5.296,51.697
39,Wijk aan Zee,4.592,52.493
28,Anloo,6.698,53.043
55,Valthermond,6.949,52.874
94,Gilze,4.94,51.542
46,Wierden,6.594,52.359
33,Harreveld,6.518,51.979
39,Dodewaard,5.656,51.912
46,Garderen,5.715,52.233
46,Dongen,4.938,51.626
33,Alem,5.34,51.787
331,Venray,5.981,51.53
79,Berkel en Rodenrijs,4.487,52.002
24,Twijzelerheide,6.043,53.243
28,Pieterburen,6.454,53.4
192,Goes,3.892,51.505
33,Bosschenhoofd,4.544,51.561
134,Nes,6.047,53.397
24,Zegge,4.516,51.556
24,Brantgum,5.93,53.352
28,Eethen,5.054,51.732
46,Boornbergum,6.046,53.083
79,Middelburg,3.612,51.496
24,Balgoij,5.715,51.782
28,Uitdam,5.071,52.421
24,Zwaag,5.065,52.665
94,Dinteloord,4.368,51.635
28,Braamt,6.265,51.925
46,Montfort,5.95,51.123
24,Zuidzijde,4.258,51.701
94,Losser,7.002,52.263
39,Loenen aan de Vecht,5.021,52.211
79,Blauwhuis,5.532,53.023
66,Laren,6.365,52.192
24,Koekangerveld,6.335,52.716
66,Almen,6.302,52.158
46,Oudelande,3.854,51.408
276,Doetinchem,6.298,51.965
66,Bathmen,6.286,52.25
94,Smilde,6.451,52.949
39,Zevenhuizen,6.348,53.126
28,Middelrode,5.418,51.665
24,De Steeg,6.063,52.02
24,Cruquius,4.634,52.335
46,Ulicoten,4.858,51.458
66,Wolphaartsdijk,3.822,51.531
46,Groote Keeten,4.718,52.862
66,Linde,6.447,52.639
24,Heumen,5.843,51.764
46,Kilder,6.232,51.938
28,Portengensebrug,4.959,52.161
39,Parrega,5.479,53.017
66,Tzum,5.562,53.157
28,Beugen,5.939,51.673
79,Hoenderloo,5.879,52.118
24,Ferwoude,5.433,53.006
134,Oosterwolde,6.294,52.989
39,Annen,6.723,53.058
33,Strijp,5.543,51.334
94,Oss,5.523,51.765
24,Ulft,6.377,51.892
55,Weiteveen,6.999,52.672
46,Beers,5.824,51.725
66,Oudheusden,5.135,51.725
46,Oudega,5.522,52.904
28,Tynaarlo,6.612,53.078
66,Hank,4.896,51.734
28,Rijsenhout,4.713,52.258
55,Nieuw Heeten,6.352,52.32
28,Eck en Wiel,5.457,51.969
28,Calfven,4.316,51.409
112,Uithoorn,4.827,52.244
55,Hillegom,4.585,52.289
46,Vinkel,5.461,51.705
28,Pingjum,5.44,53.116
55,Eygelshoven,6.059,50.893
33,Nieuw Scheemda,6.942,53.21
33,Retranchement,3.385,51.348
66,Nederweert,5.75,51.284
134,Vroomshoop,6.565,52.461
46,Muiden,5.067,52.333
33,Eys,5.937,50.826
33,Ouderkerk aan de Amstel,4.914,52.296
46,Netterden,6.313,51.857
276,Weert,5.701,51.251
46,Wachtum,6.751,52.724
24,Nieuwpoort,4.869,51.935
28,Nisse,3.852,51.455
192,Zierikzee,3.913,51.65
39,Langenboom,5.729,51.701
55,Lonneker,6.913,52.25
94,Spijk,6.837,53.389
55,De Heen,4.271,51.609
55,Huissen,5.936,51.941
33,Zuidschermer,4.779,52.585
39,Teuge,6.051,52.237
55,Kloosterburen,6.393,53.388
79,Bolsward,5.524,53.066
24,Nijswiller,5.957,50.809
33,Grootschermer,4.85,52.583
39,Warten,5.899,53.151
39,Galder,4.775,51.513
39,Slingenberg,6.187,52.678
33,Bolnes,4.582,51.892
39,Wagenborgen,6.932,53.257
28,Voorburg,4.353,52.077
28,Darp,6.204,52.774
46,Ochten,5.57,51.909
134,Putte,4.393,51.363
39,Warfhuizen,6.426,53.341
79,Vogelwaarde,3.972,51.327
24,Bilthoven,5.212,52.136
39,Ansen,6.335,52.782
33,Terherne,5.78,53.04
46,Herkingen,4.087,51.711
276,Vaals,6.014,50.773
55,Ruinerwold,6.248,52.723
33,Sirjansland,4.031,51.676
33,Alteveer,6.489,52.676
55,Midwoud,5.072,52.713
33,Nijland,5.576,53.051
55,Scharnegoutum,5.678,53.06
55,Hummelo,6.231,52.003
39,Wapse,6.268,52.861
24,It Heechsan,6.071,53.186
28,Marrum,5.801,53.324
55,Noordeinde,5.877,52.514
46,Leunen,5.98,51.508
66,Dreumel,5.433,51.849
39,Bourtange,7.189,53.009
55,Wognum,5.022,52.685
46,Bunschoten-Spakenburg,5.371,52.245
39,De Knipe,5.972,52.969
39,Oosteinde,6.28,52.742
66,Malden,5.854,51.784
79,Grubbenvorst,6.143,51.421
46,De Moer,5.013,51.624
24,Papendrecht,4.686,51.833
33,De Waal,4.82,53.073
24,Velswijk,6.307,52.012
24,Schandelo,6.19,51.421
79,Espel,5.642,52.726
55,Schoonloo,6.702,52.905
39,Molenhoek,5.871,51.766
39,Drimmelen,4.807,51.707
24,Nederasselt,5.745,51.772
46,Nootdorp,4.394,52.043
28,Maurik,5.42,51.962
46,Ugchelen,5.948,52.189
66,Venhuizen,5.216,52.668
66,Beuningen,5.768,51.858
39,Spier,6.47,52.819
24,Kloetinge,3.917,51.498
66,Wilsum,5.969,52.529
66,Diepenveen,6.146,52.289
55,Leende,5.556,51.35
39,Stompetoren,4.82,52.612
24,Westervelde,6.44,53.054
79,Rolde,6.648,52.986
33,Tjerkwerd,5.501,53.042
39,Beuningen,6.999,52.359
160,Stede Broec,5.238,52.698
79,Kloosterzande,4.017,51.371
33,Nieuw-Haamstede,3.701,51.711
39,Heerjansdam,4.562,51.836
66,Epen,5.91,50.776
33,Ballum,5.686,53.445
66,Arkel,4.996,51.864
24,Beegden,5.92,51.188
55,Lomm,6.171,51.447
28,Spoordonk,5.271,51.519
33,Wirdum,5.804,53.15
66,Berlicum,5.401,51.679
24,Niehove,6.367,53.291
66,Monster,4.176,52.025
46,Beek,5.926,51.829
33,Noordeloos,4.942,51.904
39,Overasselt,5.789,51.761
66,Aalden,6.72,52.79
94,Noordwolde,6.141,52.892
24,Steggerda,6.075,52.857
28,Nibbixwoud,5.061,52.69
331,Terneuzen,3.845,51.321
134,Norg,6.457,53.066
39,Aalsmeer,4.766,52.261
39,Veenoord-Nieuw-Amsterdam,6.853,52.711
39,Burgwerd,5.547,53.087
66,Donkerbroek,6.239,53.018
46,Esbeek,5.136,51.462
79,Ooltgensplaat,4.35,51.683
46,Simpelveld,5.983,50.836
46,Standdaarbuiten,4.513,51.613
28,Heide,5.95,51.502
24,Hedikhuizen,5.187,51.734
79,Damwald,5.995,53.29
33,Den Hout,4.815,51.657
24,Westerland,4.932,52.894
160,Dieren,6.097,52.054
24,Renswoude,5.541,52.074
39,Nieuw-Weerdinge,6.988,52.857
24,Honselersdijk,4.23,52.008
55,Franeker,5.534,53.188
33,Warmenhuizen,4.738,52.724
28,Hegelsom,6.039,51.439
28,Hall,6.103,52.111
24,Heelweg-West,6.465,51.971
24,Wapenveld-Noord,6.069,52.443
28,Westerhoven,5.398,51.333
46,Lexmond,5.036,51.963
66,Vlijmen,5.218,51.698
24,Lemiers,5.993,50.786
33,Een,6.393,53.077
24,Nederweert-Eind,5.775,51.274
28,Haarlemmerliede,4.679,52.392
28,Appingedam,6.859,53.318
39,Gaastmeer,5.545,52.964
55,Langelo,6.445,53.093
24,Biezelinge,3.961,51.474
46,Cothen,5.31,51.999
55,Ovezande,3.821,51.429
397,Leeuwarden,5.807,53.204
39,Zoelen,5.404,51.91
39,Wilp,6.151,52.219
39,Eerde,5.497,51.604
39,Lutjewinkel,4.886,52.767
33,Katwoude,5.047,52.47
79,Sint Nicolaasga,5.742,52.922
39,Moerkapelle,4.574,52.045
39,Purmerland,4.925,52.482
160,Asten,5.748,51.405
112,Eerbeek,6.062,52.104
28,Nes aan de Amstel,4.871,52.26
24,Genhout,5.823,50.927
24,Wijnaldum,5.461,53.195
230,Oostburg,3.49,51.327
33,Hoek van Holland,4.135,51.975
