rmax,name,lon,lat
46,Vilela,-8.37,41.882
46,Aspra,-8.445,41.911
39,Bouca,-8.412,41.866
79,Zebra,-8.423,41.894
28,Prova,-8.422,41.812
39,Souto,-8.412,41.827
33,Sao Mamede,-8.479,41.887
46,Cavada,-8.783,41.892
28,Fontela,-8.862,41.85
46,Povoa,-8.864,41.826
94,Pomares,-8.275,42.06
39,Felgueiras,-8.312,42.086
66,Cabo,-8.406,42.073
66,Outeiro,-8.436,42.035
39,Carrazedo,-8.488,42.052
24,Regueiro,-8.486,42.042
39,Alderiz,-8.509,42.028
94,Lapa,-8.5,42.01
55,Cruzeiro,-8.339,42.034
39,Cossourado,-8.633,41.92
39,Cerdeira,-8.575,41.885
39,Roriz,-8.591,41.902
230,Paredes de Coura,-8.556,41.911
94,Antas,-8.644,41.899
24,Covelo,-8.543,41.889
46,Paradamonte,-8.271,41.849
46,Igreja,-8.311,41.817
28,Lourido,-8.281,41.822
79,Castelo,-8.192,41.869
28,Parada,-8.219,41.862
33,Barral,-8.34,41.802
39,Bemposta,-8.466,41.799
55,Vila Cha,-8.484,41.761
28,Canadelo,-8.638,41.801
28,Genco,-8.555,41.796
46,Nogueira,-8.524,41.79
39,Terra Feita,-8.66,41.765
33,Costa,-8.611,41.739
24,Forno,-8.65,41.732
39,Cadem,-8.534,41.681
55,Souto,-8.65,41.744
94,Oliveira,-8.531,41.723
28,Costeira,-8.58,41.719
33,Leiras,-8.58,41.742
33,Bouca de Rodas,-8.589,41.654
94,Presa,-8.6,41.802
33,Borgonha,-8.617,41.722
28,Igreja e Orejal,-8.543,41.736
24,Bugim,-8.622,41.988
24,Mira,-8.613,41.977
39,Pacos,-8.64,41.973
39,Real,-8.615,42.007
28,Monte,-8.659,41.985
46,Barreira,-8.581,42.039
46,Amonde,-8.752,41.784
39,Lordelo,-8.794,41.645
112,Montedor,-8.87,41.749
28,Feira,-8.678,41.735
33,Ferrais,-8.769,41.679
39,Balteiro,-8.705,41.758
66,Romae,-8.79,41.761
46,Gandara,-8.681,41.71
55,Lomba,-8.72,41.693
33,Monte,-8.713,41.679
39,Milhoes,-8.741,41.659
33,Sendim de Baixo,-8.809,41.623
28,Igreja,-8.734,41.742
33,Samonde,-8.761,41.722
46,Afife,-8.857,41.78
46,Lagoa,-8.697,41.975
55,Cimo da Vila,-8.732,41.908
112,Vila Nova de Cerveira,-8.741,41.942
46,Caldelas,-8.372,41.669
28,Veiga,-8.418,41.613
39,Vila Cova,-8.339,41.656
24,Boavista e Galinheira,-8.712,41.607
33,Aparecida,-8.642,41.641
24,Telheiras,-8.721,41.478
28,Fim de Vila,-8.676,41.481
55,Siao,-8.697,41.572
28,Ponte,-8.722,41.621
39,Monte,-8.65,41.514
28,Outeirinho,-8.633,41.451
46,Martim de Alem,-8.502,41.54
39,Monte Real,-8.567,41.489
79,Varziela,-8.623,41.493
33,Pedreira,-8.689,41.527
24,Cachada e Robinol,-8.654,41.612
46,Quiraz,-8.598,41.581
39,Bemposta,-8.65,41.581
28,Real,-8.555,41.555
28,Cachada,-8.586,41.554
24,Boucinha,-8.569,41.476
24,Crujaes,-8.57,41.505
33,Estrada,-8.583,41.515
28,Lordelo e Torgais,-8.692,41.492
39,Ribeiro,-8.658,41.461
55,Barreiro,-8.649,41.56
28,Cachadinha,-8.632,41.55
24,Pomaraco,-8.658,41.623
79,Alheira,-8.57,41.612
28,Monte,-8.65,41.528
66,Pegada,-8.397,41.587
55,Louredo,-8.472,41.516
24,Sao Miguel,-8.439,41.507
55,Sobrado,-8.474,41.576
24,Paradela,-8.502,41.564
24,Fonte Cova,-8.458,41.56
33,Regadas,-8.31,41.558
24,Caldas,-8.473,41.534
39,Rossas,-8.483,41.486
79,Sandim,-8.346,41.557
39,Guilheta,-8.793,41.607
28,Agra,-8.737,41.496
28,Aldeia,-8.719,41.514
39,Lugar de Cima,-8.784,41.576
39,Eira D'Ana,-8.736,41.535
33,Chouso,-8.755,41.566
24,Lagoinhos,-8.741,41.581
66,Terras do Bouro,-8.304,41.719
33,Seara,-8.205,41.692
39,Igreja,-8.343,41.694
24,Assento,-8.208,41.657
46,Ermida,-8.127,41.7
79,Termas do Geres,-8.163,41.715
55,Campo do Geres,-8.195,41.759
39,Admeus,-8.17,41.683
112,Virtelos,-8.529,41.661
28,Cisao,-8.408,41.727
39,Outeiro,-8.483,41.689
28,Revenda,-8.456,41.667
33,Aguela,-8.476,41.632
28,Esparido,-8.432,41.633
39,Santo Andre,-8.491,41.646
39,Agrelo,-8.519,41.621
24,Monte Maior,-8.498,41.659
46,Vilela de Baixo,-8.428,41.708
33,Cruto,-8.506,41.587
39,Leiroinha,-8.526,41.601
79,Cabo,-8.4,41.749
33,Estrumil,-8.365,41.72
46,Aboim,-8.086,41.544
46,Igreja,-8.165,41.527
28,Bemposta,-8.108,41.483
55,Marinhao,-8.127,41.465
55,Cha de Ribeiras,-8.15,41.403
33,Assento,-8.156,41.485
94,Lagoa,-8.086,41.518
33,Lustoso,-8.208,41.479
24,Pinheiros,-8.163,41.471
28,Docim,-8.149,41.446
46,Requeixo,-8.196,41.5
46,Vessadas,-8.296,41.525
33,Monte,-8.391,41.477
28,Fundo de Vila,-8.246,41.501
55,Pedrais,-8.35,41.517
66,Sandiao,-8.422,41.457
55,Mato de Cima,-8.241,41.407
39,Leiradela,-8.188,41.587
55,Rita,-8.331,41.588
33,Assento,-8.238,41.534
33,Pousadela,-8.315,41.625
39,Serzedelo,-8.218,41.603
46,Varzeas,-8.166,41.569
24,Igreja,-8.217,41.581
39,Aldeia,-8.263,41.605
33,Sobradelo,-8.262,41.623
46,Quintela,-8.248,41.547
46,Quereledo,-8.532,41.301
28,Cerro,-8.623,41.318
28,Santa Luzia,-8.421,41.317
46,Maganha,-8.605,41.334
46,Lantemil,-8.578,41.314
33,Eiro,-8.481,41.293
55,Figueiro,-8.125,41.601
28,Aldeia,-8.249,41.647
39,Calvos,-8.065,41.573
33,Cerdeirinhas,-8.19,41.635
66,Vieira do Minho,-8.14,41.627
94,Vila (Ruivaes),-8.047,41.681
24,Chelo e Toucedo,-8.179,41.662
33,Nogueiras e Sanfins,-8.13,41.645
39,Cardal,-8.45,41.378
66,Boavista,-8.495,41.44
24,Aldeia Nova,-8.513,41.383
79,Sapugal,-8.6,41.378
39,Reparade,-8.588,41.419
33,Sobreiral,-8.47,41.391
24,Aldeia Nova,-8.526,41.446
33,Gandra,-8.529,41.432
24,Portela,-8.412,41.418
33,Coura,-8.534,41.457
66,Fonte Cova,-8.539,41.473
24,Estrada,-8.485,41.474
33,Monte,-8.55,41.394
24,Torre de Cima,-8.467,41.456
66,Gens,-8.483,41.114
24,Vessada,-8.517,41.102
24,Lavercos,-8.418,41.029
94,Branzelo,-8.421,41.082
24,Sobrido,-8.424,41.071
46,Zebreiros,-8.511,41.081
94,Codixeira,-8.777,41.436
24,Cadilhe,-8.745,41.405
33,Casal,-8.64,41.405
33,Gandra,-8.611,41.393
33,Pedreira,-8.716,41.403
33,Teso,-8.738,41.45
28,Machuqueiras,-8.711,41.443
24,Passo,-8.741,41.417
24,Azurara,-8.73,41.343
24,Casteloes,-8.703,41.313
46,Tresval,-8.673,41.319
28,Parada,-8.632,41.287
39,Lamelas,-8.679,41.38
55,Vilarinho,-8.683,41.34
33,Monte,-8.628,41.365
33,Igreja,-8.673,41.399
33,Facho,-8.73,41.296
33,Soutelo,-8.678,41.288
39,Areia,-8.733,41.311
66,Vila Boa,-8.64,41.299
39,Outeiro,-7.988,41.284
39,Varzea,-7.988,41.264
24,Candemil,-7.968,41.245
24,Guimarei,-8.109,41.261
28,Alto da Lixa,-8.139,41.315
24,Moure,-8.05,41.266
39,Pidre,-8.14,41.264
33,Belmonte,-8.136,41.238
66,Sao Sebastiao,-8.11,41.303
24,Silvares,-8.068,41.302
94,Cabana e Corujeiras,-8.023,41.238
