rmax,name,lon,lat
100000,Bucureşti,26.101,44.44
5079,Cluj-Napoca,23.592,46.773
2940,Timişoara,21.227,45.754
2450,Iaşi,27.58,47.158
2042,Constanţa,28.63,44.176
2042,Craiova,23.8,44.317
2940,Galaţi,28.035,45.436
2042,Braşov,25.609,45.649
1183,Ploieşti,26.018,44.939
1702,Oradea,21.932,47.057
397,Brăila,27.956,45.274
986,Piteşti,24.863,44.857
1702,Sibiu,24.15,45.792
986,Arad,21.316,46.18
1702,Bacău,26.913,46.561
685,Târgu Mureş,24.56,46.54
822,Buzău,26.817,45.152
2042,Baia Mare,23.572,47.653
986,Botoşani,26.657,47.745
476,Satu Mare,22.878,47.79
476,Drobeta-Turnu Severin,22.658,44.633
476,Râmnicu Vâlcea,24.368,45.104
822,Focşani,27.182,45.69
685,Piatra Neamţ,26.375,46.932
397,Târgovişte,25.462,44.923
1702,Târgu Jiu,23.275,45.037
822,Tulcea,28.798,45.177
476,Slatina,24.367,44.431
986,Călărași,27.325,44.202
986,Bistrita,24.492,47.135
1419,Giurgiu,25.963,43.896
986,Hunedoara,22.909,45.759
276,Deva,22.908,45.874
397,Suceava,26.243,47.644
986,Bârlad,27.673,46.228
571,Sfântu Gheorghe,25.789,45.865
476,Municipiul Alba Iulia,23.571,46.075
685,Municipiul Zalău,23.057,47.187
331,Roman,26.931,46.924
822,Municipiul Vaslui,27.73,46.642
571,Municipiul Slobozia,27.369,44.564
230,Municipiul Alexandria,25.328,43.97
822,Lunca Bârzavei,21.875,45.323
822,Municipiul Mediaş,24.342,46.159
160,Municipiul Medgidia,28.267,44.248
397,Municipiul Oneşti,26.769,46.251
986,Municipiul Mangalia,28.579,43.813
685,Petroșani-Colonie,23.373,45.408
331,Oraş Năvodari,28.608,44.325
331,Municipiul Miercurea Ciuc,25.802,46.359
476,Municipiul Lugoj,21.906,45.689
476,Municipiul Odorheiu Secuiesc,25.301,46.308
331,Municipiul Râmnicu Sărat,27.046,45.382
822,Oraş Borşa,24.649,47.655
331,Câmpina,25.739,45.128
276,Drăgăneşti / Barcea / Umbrăreşti / Iveşti / Lieşti,27.502,45.699
571,Municipiul Caracal,24.348,44.111
79,Suceava Burdujeni,26.28,47.673
331,Municipiul Dej,23.876,47.137
276,Oraş Mioveni,24.939,44.958
476,Municipiul Tecuci,27.43,45.843
192,Slobozia / Piatra Șoimului / Zăneşti / Borleşti / Rediu,26.513,46.815
685,Municipiul Reghin,24.7,46.775
276,Municipiul Făgăraş,24.976,45.839
476,Turda,23.811,46.556
397,Municipiul Sighetu Marmaţiei,23.893,47.931
331,Municipiul Sighişoara,24.803,46.222
276,Municipiul Câmpulung,25.053,45.276
276,Municipiul Roşiori de Vede,24.989,44.112
230,Municipiul Huşi,28.065,46.676
571,Oltenița,26.638,44.093
