rmax,name,lon,lat
160,Ljungbyhed,13.235,56.075
46,Munka-Ljungby,12.965,56.26
94,Norra Asum,14.144,55.99
39,Nymoella,14.469,56.04
112,Onslunda,14.052,55.599
397,Osby,14.001,56.385
160,Perstorp,13.399,56.136
66,Rinkaby,14.272,55.983
134,Sankt Olof,14.13,55.638
94,Sibbhult,14.198,56.268
39,Simris,14.325,55.536
39,Sjoerroed,13.73,56.144
46,Skepparkroken,12.81,56.292
66,Skillinge,14.279,55.471
79,Skanes-Fagerhult,13.469,56.373
39,Stidsvig,13.136,56.204
46,Stoby,13.826,56.178
94,Stroevelstorp,12.839,56.175
160,Soesdala,13.677,56.039
230,Tomelilla,13.944,55.544
160,Torekov,12.63,56.426
94,Tormestorp,13.745,56.111
66,Torsebro,14.117,56.102
39,Valje,14.542,56.065
94,Vankiva,13.743,56.201
134,Vejbystrand,12.773,56.311
33,Viby,14.233,56.014
39,Vinnoe,14.09,56.048
160,Vinsloev,13.904,56.096
55,Vitaby,14.155,55.685
66,Vittskoevle,14.146,55.857
33,Vaestra Karup,12.725,56.404
66,Asljunga,13.362,56.31
230,Astorp,12.949,56.135
571,Aengelholm,12.877,56.253
79,Oennestad,14.024,56.059
55,Oestersloev,14.247,56.098
66,Oestra Karup,12.948,56.421
94,Oestra Ljungby,13.064,56.189
33,Oestra Tommarp,14.233,55.538
46,Faerloev,14.087,56.074
94,Brantevik,14.344,55.516
134,Glimakra,14.139,56.31
66,Hoeja,12.929,56.227
94,Mala,13.71,56.24
39,Allerum,12.696,56.115
112,Andersloev,13.32,55.438
79,Riala,18.533,59.63
46,Akarp,13.111,55.655
79,Aesperoed,13.918,55.61
55,Oestra Grevie,13.135,55.468
24,Backa,11.994,57.475
46,Bergagard,12.57,56.98
66,Brattas,11.978,57.548
230,Bua,12.12,57.238
476,Falkenberg,12.496,56.903
94,Fjaeras kyrkby,12.173,57.458
79,Frillesas,12.173,57.319
94,Fyllinge,12.935,56.635
33,Genevad,13.03,56.569
160,Getinge,12.733,56.816
94,Glommen,12.365,56.932
66,Gullbrandstorp,12.732,56.706
33,Gundal och Hoegas,11.982,57.562
66,Halla Heberg,11.961,57.45
1183,Halmstad,12.899,56.675
134,Harplinge,12.73,56.745
28,Hassloev,13.006,56.412
66,Heberg,12.628,56.883
46,Himle,12.365,57.073
192,Hishult,13.313,56.427
79,Holm,12.861,56.734
397,Hyltebruk,13.241,57.005
94,Kinnared,13.102,57.026
79,Kvibille,12.835,56.783
192,Landeryd,13.27,57.079
33,Laxvik,12.924,56.6
134,Skivarp,13.572,55.425
79,Stangby,13.194,55.75
112,Tagarp,12.955,55.925
24,Lerkil,11.928,57.459
79,Langas,12.449,56.977
39,Loeftaskog,12.18,57.304
46,Mellbystrand,12.948,56.51
276,Oskarstroem,12.976,56.797
94,Rolfstorp,12.457,57.146
55,Sennan,12.981,56.775
134,Simlangsdalen,13.129,56.721
33,Skogstorp,12.439,56.913
33,Skummesloevsstrand,12.926,56.457
134,Skaellinge,12.47,57.181
94,Sloeinge,12.693,56.856
112,Saeroe,11.944,57.52
134,Torup,13.074,56.954
134,Traesloevslaege,12.281,57.055
46,Soedra Naes,12.274,57.077
39,Troenninge,12.948,56.62
55,Tyloesand,12.736,56.651
79,Tangaberg,12.228,57.173
331,Ullared,12.716,57.133
112,Vallberga,13.024,56.467
94,Vallda,11.963,57.479
986,Varberg,12.27,57.112
112,Veinge,13.068,56.554
