rs,name,lon,lat
24,Visnove,17.754,48.725
66,Zemianska Olca,17.866,47.809
66,Zlatna na Ostrove,17.977,47.77
66,Bodzianske Luky,17.897,47.888
33,Virt,18.322,47.754
39,Holiare,17.817,47.826
476,Levice,18.596,48.215
46,Bajka,18.518,48.15
55,Batovce,18.746,48.291
46,Besa,18.404,48.145
66,Bielovce,18.774,47.993
46,Bory,18.75,48.179
46,Brhlovce,18.739,48.214
39,Cajkov,18.6,48.289
66,Caka,18.471,48.039
112,Demandice,18.784,48.119
55,Devicany,18.705,48.321
39,Dolna Sec,18.564,48.176
33,Dolne Semerovce,18.852,48.112
55,Dolny Pial,18.461,48.132
33,Domadice,18.78,48.177
28,Drzenice,18.696,48.287
79,Farna,18.509,48.004
39,Hokovce,18.87,48.15
33,Hontianska Vrbica,18.703,48.135
39,Cerencany,19.987,48.409
24,Ciz,20.281,48.309
33,Dolne Zahorany,19.901,48.351
39,Drazice,20.067,48.436
28,Male Zlievce,19.447,48.181
46,Modry Kamen,19.337,48.24
33,Mula,19.526,48.193
112,Nenince,19.26,48.145
39,Olovary,19.41,48.153
33,Opatovska Nova Ves,19.277,48.115
33,Opava,19.177,48.197
46,Potor,19.422,48.234
46,Pravica,19.458,48.314
33,Pribelce,19.259,48.195
39,Secianky,19.079,48.095
160,Senne,19.396,48.309
66,Sklabina,19.355,48.16
66,Slovenske Darmoty,19.291,48.09
24,Suchan,19.223,48.315
55,Trebusovce,19.197,48.116
33,Velka Calomija,19.202,48.073
46,Velke Zlievce,19.455,48.2
55,Velky Lom,19.371,48.34
160,Vinica,19.12,48.117
39,Zlatno,18.313,48.464
28,Cerveny Hradok,18.386,48.301
79,Chminianske Jakubovany,21.012,48.993
134,Kapusany,21.331,49.045
94,Kendice,21.245,48.925
28,Lazany,21.1,49.039
46,Lemesany,21.272,48.85
39,Lesicek,21.384,48.918
39,Lipovce,20.952,49.056
28,Lubovec,21.175,48.912
24,Maly Slivnik,21.26,49.119
39,Maly Saris,21.182,49.002
24,Miklusovce,21.08,48.917
46,Mirkovce,21.325,48.89
24,Okruzna,21.367,49.024
24,Ovcie,20.978,48.963
24,Petrovany,21.262,48.911
39,Podhorany,21.358,49.081
33,Pusovce,21.407,49.085
39,Radatice,21.189,48.925
46,Rokycany,21.142,48.961
55,Ruska Nova Ves,21.325,48.978
79,Sedlice,21.119,48.919
55,Svinia,21.123,49.008
28,Sarisska Poruba,21.384,49.041
28,Zemianske Podhradie,17.832,48.84
28,Nova Ves nad Vahom,17.889,48.73
28,Nedanovce,18.296,48.594
46,Ostratice,18.277,48.645
160,Partizanske,18.358,48.629
55,Skacany,18.378,48.657
46,Velke Uherce,18.441,48.604
24,Velky Kliz,18.367,48.55
46,Bosany,18.247,48.578
46,Hradiste,18.375,48.683
55,Chynorany,18.274,48.609
94,Klatova Nova Ves,18.31,48.562
28,Kolacno,18.424,48.592
24,Livina,18.252,48.649
24,Turcianky,18.319,48.582
46,Brodzany,18.344,48.61
24,Male Uherce,18.402,48.62
192,Povazska Bystrica,18.443,49.117
28,Brvniste,18.425,49.21
28,Dolna Marikova,18.36,49.2
79,Domaniza,18.557,49.045
112,Horna Marikova,18.309,49.247
33,Jasenica,18.45,49.181
24,Kostolec,18.53,49.127
39,Papradno,18.413,49.224
79,Plevnik-Drienove,18.495,49.167
46,Precin,18.514,49.089
160,Pruzina,18.479,49.015
24,Stupne,18.438,49.194
79,Udica,18.404,49.159
46,Vrchtepla,18.566,49.132
55,Sverepec,18.406,49.078
55,Dolny Lieskov,18.42,49.052
39,Kliestina,18.354,49.183
39,Male Lednice,18.572,49.068
46,Sadocne,18.546,49.019
46,Bodina,18.561,49.107
39,Pocarova,18.511,49.069
24,Horny Lieskov,18.433,49.065
331,Prievidza,18.624,48.772
28,Bojnice,18.586,48.784
134,Telgart,20.189,48.853
46,Vrbovka,19.409,48.09
24,Zahorce,19.339,48.111
79,Zavada,19.486,48.29
33,Zombor,19.451,48.136
79,Zelovce,19.354,48.123
24,Velke Straciny,19.397,48.196
331,Zvolen,19.139,48.575
55,Babina,19.09,48.428
33,Bacurov,19.056,48.52
66,Budca,19.068,48.572
24,Bzovska Lehotka,19.129,48.414
79,Dobra Niva,19.102,48.468
55,Dubove,19.045,48.505
28,Kovacova,19.102,48.601
112,Ocova,19.293,48.605
55,Ostra Luka,19.052,48.545
66,Strazske,21.836,48.875
