rs,name,lon,lat,r1
397,Bilovodsk,39.579,49.201,397
55,Vypasne,30.259,46.19,46
276,Reshetylivka,34.074,49.563,276
134,Verkhivtseve,34.248,48.481,134
160,Slov'ianoserbsk,38.98,48.693,112
192,Hubynykha,35.254,48.809,192
476,Ichki,34.932,45.344,331
3528,Dnipro,35.018,48.468,1702
986,Kryvyi Rih,33.395,47.92,822
571,Sarny,26.608,51.333,476
476,Rudky,23.487,49.654,134
112,Shevchenko,37.145,48.221,66
66,Heorhiivka,39.255,48.428,33
986,Sevastopol,33.54,44.592,476
397,Zarichne,26.125,51.82,331
230,Boryspil,30.956,50.359,134
33,Znam'ianka Druha,32.593,48.715,0
230,Yalta,37.273,46.958,112
397,Zelenodolsk,33.654,47.557,112
94,Voznesenka,35.46,46.87,55
230,Kozacha Lopan,36.184,50.335,112
230,Velyki Kopani,32.974,46.49,160
192,Hnivan,28.347,49.091,134
822,Olevsk,27.649,51.226,476
160,Shchastia,39.23,48.737,134
276,Horodnytsia,27.317,50.809,230
112,Dokuchaievske,36.451,49.893,94
66,Andriivka,36.622,49.535,39
7312,Odesa,30.718,46.473,2940
192,Vyshhorod,30.49,50.586,134
66,Rodakove,39.026,48.558,55
134,Kozova,25.159,49.431,134
79,Pechenizhyn,24.889,48.514,0
79,Partenit,34.342,44.575,39
24,Bohdanivka,36.11,48.502,24
397,Volochysk,26.209,49.536,397
55,Liubymivka,33.572,46.807,55
986,Kremenchuk,33.434,49.078,685
1183,Pervomaisk,30.844,48.039,571
79,Rubizhne,38.388,49.009,79
276,Znam'ianka,32.674,48.715,276
476,Sievierodonetsk,38.479,48.948,397
230,Lozuvatka,33.292,48.064,112
230,Debaltseve,38.418,48.341,160
571,Bashtanka,32.44,47.405,276
476,Chutove,35.167,49.715,230
571,Myrhorod,33.61,49.965,397
986,Ivano-Frankivsk,24.712,48.916,822
276,Armiansk,33.692,46.109,134
230,Zorynsk,38.619,48.415,55
331,Borshchiv,26.04,48.802,192
33,Myrne,34.059,44.984,28
230,Novhorodka,32.653,48.355,230
276,Lutuhyne,39.21,48.403,192
112,Bezliudivka,36.273,49.871,79
160,Ovidiopol,30.435,46.253,79
134,Mishkovo-Pohorilove,32.105,46.995,66
230,Dniprorudne,34.991,47.382,0
160,Dubliany,24.086,49.901,79
822,Shepetivka,27.064,50.183,476
160,Turbiv,28.727,49.342,160
276,Lymanske,29.97,46.666,192
134,Druzhkivka,37.529,48.617,112
112,Kivsharivka,37.679,49.63,66
276,Dubove,23.893,48.193,230
79,Voznesenivka,39.787,48.074,79
230,Petropavlivka,36.436,48.455,112
571,Rozdilna,30.077,46.848,571
79,Bushtyno,23.479,48.053,66
46,Chudei,25.607,48.052,33
230,Radekhiv,24.643,50.279,230
192,Zolote,38.516,48.693,55
66,Kalynivka,30.232,50.226,55
192,Novhorod-Siverskyi,33.263,52.009,192
192,Bohorodchany,24.538,48.807,134
230,Shumsk,26.116,50.118,230
112,Panteleimonivka,37.973,48.203,94
66,Kypuche,38.719,48.439,55
331,Bilmak,36.648,47.358,276
476,Yevpatoriia,33.365,45.203,0
134,Yavoriv,23.388,49.94,112
66,Staryi Krym,37.478,47.164,0
331,Berezna,31.784,51.57,230
276,Mala Vyska,31.633,48.644,160
230,Piskivka,29.611,50.702,192
79,Kolinkivtsi,26.127,48.41,0
476,Yuzhne,31.101,46.624,230
192,Volodarka,29.914,49.526,192
397,Korets,27.159,50.619,276
397,Chornomorsk,30.654,46.303,192
276,Bakhmut,37.999,48.597,160
192,Nikolske,37.321,47.203,192
276,Yedy-Kuiu,35.773,45.296,134
397,Vasylkiv,30.325,50.185,230
397,Kiliia,29.255,45.466,276
331,Trostianets,34.971,50.473,160
476,Yemilchyne,27.808,50.872,331
2042,Luhansk,39.329,48.567,986
134,Sudova Vyshnia,23.364,49.791,134
331,Siversk,38.093,48.875,192
39,Pidvolochysk,26.138,49.526,0
94,Kotsiubynske,30.333,50.49,66
230,Brovary,30.802,50.511,134
331,Rokytne,27.215,51.272,276
55,Chornobaivka,32.547,46.698,55
160,Novomykolaivka,35.909,47.977,0
160,Petropavlivka,39.267,48.805,79
79,Liubymivka,39.434,48.04,66
276,Zakharivka,29.758,47.332,230
230,Sokal,24.284,50.485,112
397,Ratne,24.527,51.666,276
397,Yakymivka,35.163,46.697,192
331,Yuzhnoukrainsk,31.176,47.823,230
28,Masandra,34.188,44.504,20
276,Koziatyn,28.833,49.716,192
192,Shevchenkove,29.333,45.555,94
39,Vyshkovo,23.427,48.038,33
476,Brody,25.153,50.078,397
94,Kvasyliv,26.267,50.557,46
55,Hostomel,30.238,50.58,28
331,Novoazovsk,38.081,47.116,331
66,Peresichne,35.976,50.029,55
192,Kostiantynivka,37.702,48.523,160
230,Enerhodar,34.655,47.498,192
397,Nyzhni Sirohozy,34.377,46.841,276
79,Sutysky,28.416,49.042,55
230,Kushuhum,35.216,47.712,112
276,Krasnokutsk,35.147,50.06,192
134,Molochansk,35.597,47.203,66
94,Starobesheve,38.03,47.751,46
112,Vlasivka,33.279,49.118,79
571,Novovolynsk,24.17,50.733,331
276,Rozdolne,33.489,45.77,230
571,Kodyma,29.127,48.096,230
397,Kamin-Kashyrskyi,24.963,51.623,0
192,Druzhba,33.94,52.048,94
24,Babai,36.192,49.895,20
79,Bilytske,37.184,48.407,79
230,Kulykivka,31.643,51.373,0
397,Krasnohrad,35.453,49.373,0
276,Shyshaky,34.005,49.877,134
112,Stepanivka,34.633,50.943,112
230,Soledar,38.072,48.691,112
66,Perevalsk,38.818,48.436,33
79,Budy,36.019,49.894,33
276,Vapniarka,28.743,48.535,134
276,Perehinske,24.188,48.812,160
55,Pryvillia,38.298,49.005,55
160,Mezhova,36.724,48.254,0
230,Popilnia,29.46,49.944,192
986,Varash,25.85,51.345,685
134,Donets,36.57,49.508,66
160,Verkhnodniprovsk,34.336,48.648,0
134,Velyki Mosty,24.144,50.241,66
192,Pomichna,31.407,48.243,94
55,Alupka,34.049,44.422,39
276,Tulchyn,28.851,48.672,230
94,Yasenivskyi,39.216,48.159,66
112,Hvardiiske,35.32,48.736,66
39,Shklo,23.532,49.95,28
230,Sokyriany,27.416,48.449,134
33,Novohuivynske,28.678,50.201,0
397,Bobrynets,32.163,48.054,331
230,Halych,24.73,49.125,112
55,Beryslav,33.426,46.842,55
94,Krasne,24.622,49.916,46
230,Mankivka,30.333,48.964,230
94,Volodymyrivka,37.386,47.732,0
397,Borova,37.638,49.38,230
79,Voskhod,34.388,45.509,55
79,Karnaukhivka,34.736,48.47,0
134,Vuhlehirsk,38.273,48.313,79
192,P'iatykhatky,33.702,48.412,112
112,Bile,39.039,48.496,94
1419,Artsyz,29.427,45.985,476
230,Horodok,23.664,49.785,134
276,Burshtyn,24.627,49.259,230
331,Pershotravensk,36.402,48.349,276
571,Bolhrad,28.613,45.684,276
55,Pokotylivka,36.174,49.913,33
331,Teplyk,29.749,48.661,192
397,Khotyn,26.49,48.509,192
476,Vesele,34.908,47.016,276
192,Kacha,33.545,44.777,94
331,Nova Odesa,31.785,47.297,276
160,Nova Zbur'ivka,32.451,46.453,79
230,Marhanets,34.616,47.648,134
55,Oleksandrivsk,39.194,48.579,28
230,Tatarbunary,29.611,45.843,160
685,Kaniv,31.449,49.745,331
1419,Mykolaiv,32.008,46.945,685
230,Shevchenkove,37.174,49.694,0
55,Sieverne,38.692,48.086,55
1183,Skadovsk,32.912,46.118,476
33,Serednie Vodiane,23.9,47.982,33
46,Hrushovo,23.767,48.006,46
55,Verkhnie Vodiane,23.959,48.006,33
230,Horodnie,28.849,45.89,112
230,Zoria,29.697,45.99,160
331,Plakhtiivka,29.719,46.098,112
331,Svesa,33.932,51.947,230
276,Stanytsia Luhanska,39.474,48.665,134
94,Novofedorivka,33.575,45.093,46
230,Obukhiv,30.633,50.114,230
397,Berezhany,24.94,49.445,331
476,Kremenets,25.734,50.097,331
160,Yaremche,24.568,48.461,79
476,Malyn,29.265,50.769,476
476,Pokrovsk,37.175,48.282,331
276,Irpin,30.244,50.52,192
160,Taranivka,36.148,49.623,112
79,Rozkishne,39.273,48.491,79
571,Hadiach,33.989,50.37,331
276,Novodonetske,36.982,48.635,79
160,Husiatyn,26.188,49.072,0
192,Dovhe,23.281,48.365,94
55,Oleksiievo-Druzhkivka,37.613,48.58,0
134,Svitlodarsk,38.221,48.433,134
112,Horodkivka,28.68,48.378,112
230,Novoiavorivsk,23.572,49.932,0
134,Khrystynivka,29.973,48.812,0
160,Sartana,37.691,47.177,79
160,Mykhailivka,35.224,47.272,160
397,Bohuslav,30.874,49.544,276
55,Novi Petrivtsi,30.444,50.624,39
685,Pavlohrad,35.885,48.528,571
1183,Uman,30.219,48.749,986
160,Bolekhiv,23.854,49.068,112
66,Vatutine,31.063,49.014,0
476,Kramatorsk,37.568,48.722,476
276,Slov'iansk,37.612,48.85,134
230,Stryi,23.841,49.261,230
986,Izium,37.281,49.205,331
476,Alchevsk,38.793,48.476,276
685,Starokostiantyniv,27.211,49.753,397
2450,Uzhhorod,22.298,48.619,1419
685,Bila Tserkva,30.117,49.802,685
476,Bilohir'ia,26.414,50.002,160
2940,Vinnytsia,28.474,49.232,1702
1419,Lubny,32.987,50.016,571
986,Okhtyrka,34.9,50.31,571
1702,Ternopil,25.601,49.555,986
160,Slavuta,26.868,50.3,160
3528,Simferopol,34.104,44.955,2042
230,Rovenky,39.348,48.072,192
66,Snizhne,38.75,48.035,0
55,Molodohvardiisk,39.651,48.349,0
331,Chuhuiv,36.683,49.835,331
94,Antratsyt,39.092,48.126,0
94,Yasynuvata,37.863,48.127,94
94,Brianka,38.665,48.499,55
79,Avdiivka,37.747,48.142,79
822,Khust,23.296,48.177,397
685,Nizhyn,31.879,51.044,476
986,Oleksandriia,33.098,48.664,476
230,Snovsk,31.947,51.818,192
1183,Konotop,33.202,51.237,986
476,Liubashivka,30.259,47.836,331
397,Lebedyn,34.481,50.582,331
331,Khmilnyk,27.953,49.558,0
822,Romny,33.485,50.742,397
822,Horlivka,38.067,48.328,276
46,Staromykhailivka,37.586,47.999,0
1419,Korosten,28.629,50.96,685
