rs,name,lon,lat,r1
100000,Sarajevo,18.363,43.849,0
1773,Banja Luka,17.204,44.79,240
1232,Mostar,17.814,43.338,200
1027,Tuzla,18.682,44.539,200
714,Zenica,17.923,44.2,200
496,Bijeljina,19.212,44.757,200
714,Bihać-Centar,15.871,44.815,240
414,Prijedor,16.72,44.981,200
414,Doboj-Usora,18.083,44.726,200
2552,Trebinje,18.349,42.714,200
714,Modriča,18.298,44.96,200
288,Bardaci,17.849,44.596,200
1232,Zagrad,15.825,45.164,200
496,Stara Gradiška,17.259,45.143,200
240,Sanski Most-Muhići,16.663,44.765,200
240,Pirota,17.652,44.226,200
414,Bugojno,17.446,44.057,200
288,Ljubuški-Baščina,17.513,43.213,200
595,Foča-Foca,18.777,43.505,200
414,Mali Zvornik,19.099,44.385,200
288,Ozrakovići,18.177,43.991,200
345,Goražde-Vinarići,18.979,43.666,200
714,Livno-Žabljak,17.006,43.824,200
288,Puškari,15.922,44.963,200
414,Potkleče,18.143,44.439,200
496,Konjic,17.961,43.65,200
414,Posušje,17.326,43.47,200
240,Dẑakići,19.014,44.501,200
240,Šamac,18.473,45.063,200
288,Nevesinje,18.121,43.257,200
345,Mrkonjić Grad-Kasimovac,17.085,44.416,200
496,Dvor,16.382,45.045,200
240,Klašnice,17.301,44.895,200
240,Rapatnica-Bare,18.483,44.708,200
288,Vučine,19.295,43.786,200
345,Bileća-Bileca,18.429,42.872,200
288,Hanke,18.521,44.407,200
240,Okolica-Jug II,17.657,44.869,200
288,Šipovo,17.086,44.283,200
345,Bratunac-Danići,19.331,44.183,200
288,Vlasenica,18.945,44.183,200
414,Kostajnica,16.543,45.22,200
240,Sokolac-Đurkovića Brdo,18.798,43.939,200
714,Gacko,18.535,43.167,200
