rmax,name,lon,lat
3062,Arlon,5.817,49.684
288,Ath,3.774,50.629
288,Athus,5.83,49.561
345,Barvaux,5.495,50.351
414,Bastogne,5.718,50.002
345,Beez,4.922,50.469
496,Bertrix,5.256,49.855
345,Beverlo,5.22,51.087
240,Bruly,4.527,49.969
595,Cerfontaine,4.413,50.17
288,Couvin,4.492,50.056
240,De Klinge,4.09,51.256
288,Florenville,5.31,49.701
414,Genk,5.495,50.965
240,Hulshout,4.788,51.076
345,Huy,5.241,50.518
345,Maaseik,5.792,51.095
414,Mechelen,4.481,51.028
240,Moircy,5.475,49.994
714,Poperinge,2.728,50.855
240,Rahier,5.778,50.386
288,Tintange,5.752,49.879
345,Tongeren,5.464,50.781
288,Virton,5.531,49.567
240,Wanlin,5.061,50.159
240,Le Bilot,4.279,50.66
414,Louvain-la-Neuve,4.612,50.669
288,La Calamine,6.013,50.716
240,Mesen,2.898,50.766
288,Ronse,3.601,50.748
345,Saint-Vith,6.126,50.281
100000,Bruxelles / Brussel,4.36,50.846
414,Antwerpen,4.432,51.192
714,Liège,5.566,50.629
714,Gent,3.731,51.053
1027,Charleroi,4.461,50.416
414,Brugge,3.226,51.206
288,Kortrijk / Kuurne / Harelbeke,3.281,50.842
288,Verviers,5.866,50.591
240,Kapellen / Ekeren,4.428,51.294
714,Tournai,3.388,50.61
240,Aalter,3.461,51.089
240,Geraardsbergen,3.872,50.77
595,Marche-en-Famenne,5.333,50.209
240,Sprimont / Aywaille,5.66,50.488
240,Dinant,4.914,50.257
