rs,name,lon,lat
856,Loerrach,7.659,47.612
240,Todtmoos,8.001,47.739
1232,Freiburg im Breisgau,7.85,47.995
496,Erzingen,8.421,47.659
240,Loeffingen,8.344,47.884
414,Ebingen,9.026,48.214
714,Konstanz,9.176,47.663
288,Emmendingen,7.848,48.122
414,Spielmannsau,10.305,47.347
856,Kempten (Allgaeu),10.318,47.724
288,Memmingen,10.185,47.988
345,Lindau (Bodensee),9.684,47.546
240,Bad Waldsee,9.751,47.923
240,Ehingen (Donau),9.725,48.284
288,Horn,10.721,47.573
288,Landsberg am Lech,10.878,48.05
345,Kaufbeuren,10.621,47.88
345,Murnau am Staffelsee,11.202,47.682
496,Garmisch-Partenkirchen,11.086,47.492
496,Mitterfirmiansreut,13.65,48.893
345,Edling,12.165,48.056
345,Pocking,13.31,48.4
595,Waldkraiburg,12.4,48.208
496,Bad Reichenhall,12.877,47.726
345,Kiefersfelden,12.188,47.615
856,Passau,13.42,48.569
595,Rosenheim,12.129,47.856
414,Cham,12.667,49.219
240,Dingolfing,12.5,48.628
288,Straubing,12.572,48.876
595,Regen,13.126,48.97
288,Eggenfelden,12.762,48.404
240,Deggendorf,12.96,48.842
288,Freising,11.748,48.404
240,Altduernbuch,11.835,48.789
856,Regensburg,12.102,49.015
414,Landshut,12.159,48.539
496,Ingolstadt,11.423,48.765
240,Aichach,11.134,48.461
414,Roth,11.091,49.245
414,Weissenburg in Bayern,10.972,49.03
345,Heidenheim an der Brenz,10.155,48.678
240,Huernheim,10.487,48.797
288,Greiselbach,10.412,49.011
595,Aalen,10.092,48.835
414,Burgau,10.406,48.432
856,Ulm,9.99,48.398
345,Bietigheim-Bissingen,9.133,48.948
496,Heilbronn,9.218,49.14
496,Reutlingen,9.212,48.492
1478,Stuttgart,9.178,48.776
496,Karlsruhe,8.405,49.01
240,Kniebis,8.311,48.473
288,Calw,8.741,48.713
240,Steinfeld,8.036,49.049
240,Landau in der Pfalz,8.112,49.197
496,Baden-Baden,8.24,48.762
240,Oetigheim,8.23,48.893
288,Achern,8.074,48.629
414,Merzig,6.643,49.444
414,Berscheid,6.231,49.983
714,Saarbruecken,6.996,49.237
240,Ihn,6.606,49.324
240,Habkirchen,7.137,49.133
240,Perl,6.386,49.473
856,Offenburg,7.944,48.469
1773,Trier,6.638,49.758
345,Pirmasens,7.608,49.197
240,Lahr/Schwarzwald,7.874,48.339
496,Wittlich,6.889,49.986
288,Sankt Wendel,7.173,49.468
496,Idar-Oberstein,7.312,49.713
288,Kaiserslautern,7.769,49.445
288,Baerenbach,7.302,49.947
3062,Frankfurt am Main,8.682,50.111
288,Speyer,8.437,49.316
288,Wiesbaden,8.239,50.082
345,Alzey,8.112,49.745
288,Heppenheim (Bergstrasse),8.644,49.641
240,Pfohlbach,9.375,49.672
345,Muthof,9.546,49.304
288,Aschaffenburg,9.148,49.974
240,Mudau,9.203,49.534
414,Bad Mergentheim,9.773,49.491
345,Ansbach,10.577,49.304
288,Bad Kissingen,10.078,50.201
288,Bad Windsheim,10.419,49.503
345,Schweinfurt,10.231,50.052
595,Wuerzburg,9.937,49.794
595,Bamberg,10.887,49.893
1478,Nuernberg,11.075,49.451
288,Erlangen,11.003,49.595
414,Pegnitz,11.544,49.756
496,Bayreuth,11.571,49.946
240,Grub,11.377,49.342
240,Hersbruck,11.43,49.508
496,Amberg,11.856,49.442
714,Weiden in der Oberpfalz,12.16,49.676
240,Waldsassen,12.305,50.003
288,Kreuth,11.927,49.312
240,Neunburg vorm Wald,12.382,49.349
414,Tirschenreuth,12.336,49.878
595,Zittau,14.806,50.896
288,Selb,12.131,50.17
595,Altenberg,13.757,50.767
496,Schmalzgrube,13.131,50.53
240,Riechberg,13.185,50.942
1027,Dresden,13.737,51.052
496,Chemnitz,12.922,50.834
414,Doebeln,13.121,51.122
856,Plauen,12.135,50.496
856,Gera,12.08,50.876
288,Weissenfels,11.967,51.2
345,Breitenfeld,12.322,50.338
240,Wildenau,12.455,50.557
240,Greiz,12.202,50.655
414,Hof,11.914,50.317
288,Altenburg,12.437,50.987
240,Tanna,11.857,50.494
288,Zwickau,12.496,50.719
240,Golmsdorf,11.668,50.973
496,Gahma,11.539,50.523
1027,Erfurt,11.027,50.977
288,Eschwege,10.058,51.186
595,Ilmenau,10.916,50.686
496,Eisenach,10.322,50.977
856,Coburg,10.964,50.258
496,Muehlhausen/Thueringen,10.458,51.21
288,Arnstadt,10.947,50.833
414,Crock,10.886,50.452
856,Fulda,9.675,50.553
240,Huelsa,9.461,50.947
240,Brand,9.957,50.531
345,Unterhaun,9.722,50.835
240,Huenfeld,9.769,50.673
496,Marburg,8.769,50.809
345,Frohnhausen,8.624,50.965
496,Bad Nauheim,8.735,50.363
595,Giessen,8.675,50.586
414,Seck,8.048,50.577
856,Koblenz,7.598,50.36
1027,Siegen,8.025,50.875
345,Mayen,7.222,50.329
1232,Koeln,6.957,50.938
714,Aachen,6.085,50.774
595,Nonnenbach,6.634,50.414
240,Urb,6.206,50.246
345,Erkelenz,6.314,51.079
345,Pruem,6.424,50.207
414,Daun,6.831,50.197
345,Simmerath,6.301,50.606
288,Uebach-Palenberg,6.119,50.919
414,Ahaus,7.005,52.076
240,Duelmen,7.279,51.829
414,Kleve,6.139,51.788
240,Dinslaken,6.735,51.562
240,Freiheit,7.115,51.718
240,Goch,6.159,51.675
240,Duisburg,6.765,51.433
714,Bocholt,6.616,51.838
240,Guetersloh,8.381,51.91
288,Greven,7.613,52.093
288,Hagen,7.467,51.36
240,Ascheberg,7.624,51.792
595,Warstein,8.354,51.443
288,Luedenscheid,7.634,51.216
414,Hamm,7.817,51.678
595,Muenster,7.627,51.962
714,Bielefeld,8.532,52.021
345,Korbach,8.873,51.272
240,Uslar,9.635,51.661
345,Hoexter,9.382,51.776
240,Sielen,9.382,51.553
1232,Kassel,9.495,51.315
