rmax,name,lon,lat
345,Venray,5.981,51.53
496,Weert,5.701,51.251
345,Zierikzee,3.913,51.65
496,Dieren,6.097,52.054
414,Leeuwarden,5.807,53.204
240,Ter Apel,7.065,52.88
240,Harlingen,5.437,53.17
240,Ferwert,5.824,53.338
345,Harderwijk,5.626,52.344
714,Enschede,6.889,52.216
414,West-Terschelling,5.213,53.358
856,Nijmegen,5.856,51.829
496,Assen,6.561,53.003
414,Sneek,5.661,53.03
414,Utrecht,5.111,52.099
345,Almelo,6.661,52.356
1027,Den Helder,4.746,52.95
595,Alkmaar,4.75,52.627
240,Heerenveen,5.937,52.948
414,Veghel,5.539,51.618
288,Edam,5.053,52.511
856,Zwolle,6.108,52.52
288,Meppel,6.186,52.696
240,Haren,5.588,51.802
595,Roosendaal,4.457,51.532
414,Lelystad,5.456,52.507
496,Tiel,5.425,51.891
714,Emmen,6.917,52.778
288,Koudum,5.451,52.913
240,Renesse,3.773,51.732
345,Made,4.79,51.677
1773,Groningen,6.56,53.215
288,Drachten,6.089,53.107
288,Hoogeveen,6.491,52.725
345,Beilen,6.512,52.86
595,Levice,18.596,48.215
345,Prievidza,18.624,48.772
414,Zvolen,19.139,48.575
595,Rožňava,20.527,48.658
595,Čadca,18.791,49.439
240,Dolný Kubín,19.296,49.213
240,Detva,19.412,48.542
240,Súdovce,18.836,48.209
856,Lučenec,19.67,48.329
496,Trnava,17.582,48.374
595,Nové Zámky,18.162,47.987
288,Medzev,20.894,48.698
2552,Žilina,18.74,49.216
240,Sabinov,21.099,49.103
288,Liptovský Mikuláš,19.612,49.084
496,Medzilaborce,21.905,49.272
414,Šaľa,17.872,48.149
288,Topoľčany,18.172,48.56
595,Bardejov,21.282,49.295
288,Spišská Nová Ves,20.565,48.938
1027,Banská Bystrica,19.147,48.739
345,Veľký Krtíš,19.34,48.215
856,Bratislava,17.119,48.154
2552,Košice,21.26,48.724
288,Stará Ľubovňa,20.693,49.302
714,Trenčín,18.038,48.893
240,Turňa nad Bodvou,20.879,48.6
288,Michalovce,21.906,48.749
496,Malacky,17.02,48.438
414,Revúca,20.115,48.685
288,Rimavská Sobota,20.017,48.385
288,Vrbovce,17.472,48.799
595,Humenné,21.906,48.938
288,Brezno,19.64,48.803
496,Heľpa,19.971,48.862
288,Kecerovce,21.417,48.825
414,Trebišov,21.72,48.637
240,Pezinok,17.27,48.29
595,Nitra,18.079,48.302
240,Jelka,17.505,48.143
288,Trstice,17.803,48.015
240,Malužiná,19.771,48.98
288,Poprad,20.301,49.051
714,Prešov,21.244,48.993
1478,Piešťany,17.824,48.587
414,Sekule,17,48.599
496,Nová Baňa,18.64,48.423
288,Hurbanovo,18.194,47.875
288,Hnúšťa,19.956,48.575
240,Šurany,18.179,48.089
288,Krásno,12.786,50.109
240,Oslov,14.212,49.399
240,Horažďovice,13.701,49.321
240,Blšany,13.471,50.217
240,Mýto,13.735,49.789
240,Nepomuk,13.582,49.486
345,Břidličná,17.371,49.912
288,Slapy,14.396,49.815
240,Vnorovy,17.351,48.931
240,Horní Bříza,13.356,49.84
288,Ševětín,14.572,49.1
345,Police,15.63,48.966
345,Jiřice,15.318,49.553
345,Jevišovice,15.99,48.987
345,Hory,12.561,50.255
496,Líšťany,13.799,50.314
240,Seč,13.505,49.588
288,Stod,13.165,49.639
288,Doksy,14.656,50.565
288,Krhov,16.019,49.1
414,Těmice,15.06,49.352
345,Kralovice,13.487,49.982
414,Třemošnice,15.58,49.869
345,Votice,14.639,49.64
288,Nedašov,18.07,49.108
240,Štědrá,13.114,50.058
414,Volary,13.887,48.909
288,Králův Dvůr,14.035,49.95
714,Znojmo,16.049,48.856
