rmax,name,lon,lat
3674,Saint-Georges,-51.8,3.889
496,Apatou,-54.342,5.157
4408,Saint-Laurent-du-Maroni,-54.028,5.504
595,Saint-Elie,-53.287,4.826
100000,Cayenne,-52.334,4.939
1232,Iracoubo,-53.204,5.48
1027,Kourou,-52.642,5.158
414,Macouria,-52.473,5.013
595,Sinnamary,-52.958,5.378
496,Roura,-52.323,4.728
1478,Regina,-52.128,4.314
496,Ouanary,-51.671,4.209
288,Awala-Yalimapo,-53.907,5.736
2127,Saul,-53.207,3.623
1773,Maripasoula,-54.027,3.641
1027,Camopi,-52.33,3.167
2127,Grand-Santi,-54.381,4.273
595,Papaichton,-54.148,3.81
