rs,name,lon,lat,r1
100000,Bucureşti,26.101,44.44,0
4408,Cluj-Napoca,23.592,46.773,496
2552,Timişoara,21.227,45.754,345
2127,Iaşi,27.58,47.158,595
1773,Constanţa,28.63,44.176,414
1773,Craiova,23.8,44.317,414
2552,Galaţi,28.035,45.436,288
1773,Braşov,25.609,45.649,288
1027,Ploieşti,26.018,44.939,200
1478,Oradea,21.932,47.057,288
345,Brăila,27.956,45.274,200
856,Piteşti,24.863,44.857,200
1478,Sibiu,24.15,45.792,200
856,Arad,21.316,46.18,200
1478,Bacău,26.913,46.561,200
595,Târgu Mureş,24.56,46.54,200
714,Buzău,26.817,45.152,200
1773,Baia Mare,23.572,47.653,200
856,Botoşani,26.657,47.745,200
496,Satu Mare,22.878,47.79,200
414,Drobeta-Turnu Severin,22.658,44.633,200
345,Râmnicu Vâlcea,24.368,45.104,200
714,Focşani,27.182,45.69,200
595,Piatra Neamţ,26.375,46.932,200
345,Târgovişte,25.462,44.923,200
1232,Târgu Jiu,23.275,45.037,200
714,Tulcea,28.798,45.177,200
414,Slatina,24.367,44.431,200
856,Călărași,27.325,44.202,200
856,Bistrita,24.492,47.135,200
1232,Giurgiu,25.963,43.896,200
856,Hunedoara,22.909,45.759,200
240,Deva,22.908,45.874,200
345,Suceava,26.243,47.644,200
856,Bârlad,27.673,46.228,200
496,Sfântu Gheorghe,25.789,45.865,200
414,Municipiul Alba Iulia,23.571,46.075,200
595,Municipiul Zalău,23.057,47.187,200
288,Roman,26.931,46.924,200
714,Municipiul Vaslui,27.73,46.642,200
496,Municipiul Slobozia,27.369,44.564,200
240,Municipiul Alexandria,25.328,43.97,200
714,Lunca Bârzavei,21.875,45.323,200
714,Municipiul Mediaş,24.342,46.159,200
345,Municipiul Oneşti,26.769,46.251,200
714,Municipiul Mangalia,28.579,43.813,200
595,Petroșani-Colonie,23.373,45.408,200
288,Oraş Năvodari,28.608,44.325,200
288,Municipiul Miercurea Ciuc,25.802,46.359,200
414,Municipiul Lugoj,21.906,45.689,200
240,Municipiul Odorheiu Secuiesc,25.301,46.308,200
288,Municipiul Râmnicu Sărat,27.046,45.382,200
714,Oraş Borşa,24.649,47.655,200
288,Câmpina,25.739,45.128,200
496,Municipiul Caracal,24.348,44.111,200
288,Municipiul Dej,23.876,47.137,200
240,Oraş Mioveni,24.939,44.958,200
414,Municipiul Tecuci,27.43,45.843,200
496,Municipiul Reghin,24.7,46.775,200
288,Municipiul Făgăraş,24.976,45.839,200
414,Turda,23.811,46.556,200
345,Municipiul Sighetu Marmaţiei,23.893,47.931,200
240,Municipiul Sighişoara,24.803,46.222,200
414,Municipiul Câmpulung,25.053,45.276,200
496,Oltenița,26.638,44.093,200
288,Municipiul Rădăuţi,25.916,47.841,200
496,Municipiul Fălticeni,26.299,47.458,200
240,Bilca,25.685,47.917,200
288,Municipiul Caransebeş,22.222,45.415,200
240,Vălenii de Munte,26.04,45.2,200
595,Municipiul Turnu Măgurele,24.872,43.753,200
288,Municipiul Paşcani,26.719,47.252,200
288,Municipiul Carei,22.467,47.686,200
345,Municipiul Dorohoi,26.4,47.95,200
240,Municipiul Sebeş,23.57,45.957,200
288,Oraş Cernavoda,28.032,44.346,200
345,Municipiul Târgu Secuiesc,26.131,45.998,200
595,Municipiul Motru,22.97,44.802,200
345,Municipiul Gheorgheni,25.594,46.721,200
345,Dâmbovicioara,25.545,44.662,200
595,Municipiul Salonta,21.654,46.802,200
288,Dănești,25.77,46.546,200
856,Calafat,22.933,43.989,200
288,Oraş Cugir,23.363,45.838,200
496,Urziceni,26.645,44.714,200
288,Moinești,26.487,46.479,200
345,Oraş Sânnicolau Mare,20.623,46.071,200
240,Roșia Jiu,23.16,44.897,200
288,Municipiul Aiud,23.72,46.31,200
288,Municipiul Marghita,22.335,47.35,200
595,Municipiul Drăgăşani,24.262,44.658,200
240,Oraş Balş,24.118,44.344,200
496,Municipiul Vatra Dornei,25.357,47.347,200
