rmax,name,lon,lat
288,Ratece,13.716,46.498
345,Kuzma,16.082,46.834
414,Ormoz,16.149,46.407
496,Tolmin,13.732,46.183
414,Senovo,15.477,46.02
595,Luce,14.745,46.355
496,Muta,15.166,46.612
288,Sezana,13.873,45.709
496,Celje,15.264,46.231
1232,Koper,13.722,45.531
496,Jesenice,14.052,46.432
496,Nova Gorica,13.646,45.958
414,Murska Sobota,16.164,46.658
345,Kocevje,14.862,45.641
345,Postojna,14.21,45.774
288,Crnomelj,15.186,45.573
100000,Ljubljana,14.512,46.056
496,Novo mesto,15.165,45.806
288,Ilirska Bistrica,14.241,45.572
1232,Maribor,15.647,46.562
345,Rogaška Slatina,15.637,46.238
