rs,name,lon,lat
211,Aarschot,4.836,50.985
72,Aarsele,3.423,50.997
123,Aartselaar,4.388,51.135
86,Achel,5.479,51.255
60,Adegem,3.486,51.203
86,Alveringem,2.707,51.012
103,Amay,5.325,50.551
72,Amonines,5.556,50.266
60,Amougies,3.507,50.744
522,Anderlecht,4.329,50.839
123,Anderlues,4.271,50.407
123,Anhee,4.877,50.31
86,Anlier,5.62,49.771
103,Anthee,4.761,50.24
60,Antwerpen,4.399,51.221
86,Arendonk,5.087,51.321
3225,Arlon,5.817,49.684
123,Asse,4.201,50.91
60,Assenede,3.753,51.227
86,Assenois,5.465,49.801
253,Ath,3.774,50.629
253,Athus,5.83,49.561
72,Attenrode,4.923,50.877
147,Aubel,5.858,50.705
60,Auby-sur-Semois,5.182,49.816
72,Autelbas,5.871,49.65
103,Auvelais,4.632,50.447
72,Awenne,5.306,50.074
60,Balen,5.175,51.172
147,Barvaux,5.495,50.351
60,Barvaux-Condroz,5.261,50.329
72,Bassilly,3.937,50.673
363,Bastogne,5.718,50.002
86,Baudour,3.835,50.485
147,Beaufays,5.636,50.563
176,Beaumont,4.235,50.237
72,Beauvechain,4.772,50.781
72,Beerse,4.855,51.314
86,Bellevaux,5.111,49.84
103,Bellevaux-Ligneuville,6.055,50.375
60,Berendrecht-Zandvliet-Lillo,4.322,51.344
60,Bernissart,3.651,50.476
72,Bertogne,5.667,50.083
435,Bertrix,5.256,49.855
60,Beselare,3.025,50.848
72,Beverlo,5.22,51.087
86,Bievre,5.022,49.938
86,Binche,4.166,50.411
72,Blankenberge,3.133,51.311
86,Bleharies,3.416,50.514
60,Boechout,4.497,51.164
86,Boekhoute,3.718,51.258
86,Bonsin,5.38,50.371
86,Booischot,4.779,51.053
86,Bouillon,5.068,49.795
60,Bourseigne-Neuve,4.855,50.025
123,Bovigny,5.917,50.225
303,Braine-Alleud,4.369,50.683
123,Braine-le-Comte,4.137,50.611
86,Brasmenil,3.547,50.542
176,Brasschaat,4.486,51.288
60,Bray,4.106,50.431
176,Bree,5.597,51.142
86,Buggenhout,4.203,51.015
60,Bulskamp,2.651,51.043
72,Buzet,4.367,50.538
103,Casteau,4.015,50.513
72,Cerfontaine,4.413,50.17
72,Chaumont-Gistoux,4.698,50.684
176,Chimay,4.315,50.049
72,Chiny,5.341,49.738
60,Ciergnon,5.089,50.167
147,Ciney,5.101,50.297
103,Comblain-au-Pont,5.576,50.476
103,Courcelles,4.376,50.458
86,Courriere,4.984,50.378
253,Cul-des-Sarts,4.455,49.962
72,Denderleeuw,4.081,50.883
123,Denee,4.75,50.316
72,Dentergem,3.419,50.964
103,Dessel,5.112,51.239
60,Deurne,5.096,51.038
147,Diest,5.05,50.985
60,Dikkebus,2.833,50.82
103,Dikkelvenne,3.691,50.918
