rmax,name,lon,lat
303,San Vicente de Alcantara,-7.136,39.361
363,Llerena,-6.016,38.238
901,Azuaga,-5.677,38.26
901,Zafra,-6.411,38.423
60,Fuente del Maestre,-6.447,38.527
303,Villafranca de los Barros,-6.336,38.561
522,Almendralejo,-6.405,38.683
435,Don Benito,-5.861,38.957
253,Guarena,-6.098,38.86
626,Merida,-6.342,38.919
147,Jerez de los Caballeros,-6.769,38.323
435,Olivenza,-7.098,38.684
86,Las Vaguadas,-6.971,38.844
103,Arroyo de la Luz,-6.582,39.485
253,Montehermoso,-6.348,40.088
253,Moraleja,-6.654,40.069
253,Coria,-6.538,39.986
1297,Caceres,-6.371,39.475
253,Jaraiz de la Vera,-5.756,40.058
303,Navalmoral de la Mata,-5.539,39.894
1297,Plasencia,-6.085,40.036
303,Gibraleon,-6.967,37.376
123,Trigueros,-6.833,37.383
176,Punta Umbria,-6.968,37.183
103,San Juan del Puerto,-6.84,37.316
72,Ayamonte,-7.401,37.215
60,Rociana del Condado,-6.595,37.307
901,Aracena,-6.564,37.892
86,Cartaya,-7.149,37.284
626,Valverde del Camino,-6.752,37.573
123,La Palma del Condado,-6.553,37.388
435,Almonte,-6.516,37.261
211,Bollullos Par del Condado,-6.539,37.34
147,Villa del Rio,-4.288,37.981
901,Lucena,-4.486,37.409
86,La Rambla,-4.737,37.607
103,Nueva Carteya,-4.466,37.586
253,Rute,-4.368,37.326
147,Cabra,-4.429,37.473
176,Puente Genil,-4.766,37.388
522,Montilla,-4.638,37.585
303,Baena,-4.323,37.617
103,Aguilar de la Frontera,-4.656,37.514
103,Fuente Palmera,-5.1,37.704
435,Bujalance,-4.379,37.893
363,Palma del Rio,-5.278,37.699
123,Vejer de la Frontera,-5.966,36.251
86,Medina-Sidonia,-5.928,36.462
86,Trebujena,-6.174,36.869
253,Paterna de Rivera,-5.864,36.523
147,Los Barrios,-5.489,36.183
103,Puerto Serrano,-5.541,36.922
303,Ubrique,-5.446,36.675
123,Bornos,-5.743,36.816
123,Benalup-Casas Viejas,-5.813,36.346
