rmax,name,lon,lat
100000,Torshavn,-6.758,62.03
435,Klaksvik,-6.579,62.229
303,Vestmanna,-7.16,62.156
103,Fuglafjoerdur,-6.806,62.247
1297,Vagur,-6.81,61.474
211,Tvoeroyri,-6.804,61.555
86,Soervagur,-7.302,62.075
60,Kollafjoerdur,-6.892,62.122
86,Leirvik,-6.715,62.215
211,Saltangara,-6.717,62.12
86,Toftir,-6.734,62.085
211,Midvagur,-7.2,62.054
86,Kirkja,-6.316,62.32
86,Svinoy,-6.34,62.279
303,Vidareidi,-6.534,62.36
147,Hvannasund,-6.515,62.295
60,Kunoy,-6.669,62.295
72,Troellanes,-6.784,62.362
103,Mikladalur,-6.763,62.335
123,Skala,-6.786,62.163
86,Oyndarfjoerdur,-6.851,62.279
147,Gjogv,-6.942,62.326
363,Eidi,-7.095,62.301
103,Nordskali,-7,62.214
60,Haldorsvik,-7.092,62.277
103,Hosvik,-6.942,62.153
60,Kaldbak,-6.83,62.06
72,Nolsoy,-6.673,62.01
103,Kirkjuboeur,-6.792,61.954
86,Velbastadur,-6.854,61.983
103,Kvivik,-7.076,62.123
60,Koltur,-6.97,61.989
60,Hestur,-6.88,61.956
103,Saksun,-7.177,62.248
522,Mykines,-7.647,62.104
123,Gasadalur,-7.435,62.11
176,Skopun,-6.884,61.904
435,Sandur,-6.816,61.835
103,Skalavik,-6.663,61.83
72,Sandvik,-6.928,61.634
147,Hvalba,-6.952,61.604
72,Hov,-6.752,61.508
60,Anirnar,-6.575,62.256
60,Porkeri,-6.739,61.484
86,Lopra,-6.769,61.443
176,Sumba,-6.714,61.406
60,Famjin,-6.878,61.525
60,Skaelingur,-7.006,62.095
60,Lambareidi,-6.728,62.143
72,Sydradalur,-6.912,62.019
363,Stora Dimun,-6.753,61.685
