rmax,name,lon,lat
60,Vieux-Fort,-61.697,15.949
1081,Grand-Bourg,-61.315,15.883
147,Saint-Louis,-61.318,15.954
60,Trois-Rivieres,-61.644,15.976
176,Baie-Mahault,-61.586,16.267
147,Le Gosier,-61.491,16.206
60,Petit-Bourg,-61.589,16.191
176,Port-Louis,-61.531,16.417
72,Baillif,-61.746,16.021
100000,Basse-Terre,-61.732,15.997
176,Bouillante,-61.769,16.132
86,Gourbeyre,-61.692,15.995
147,Deshaies,-61.793,16.307
103,Lamentin,-61.632,16.272
103,Pointe-Noire,-61.789,16.233
123,Capesterre-Belle-Eau,-61.564,16.043
123,Goyave,-61.571,16.133
253,Pointe-a-Pitre,-61.532,16.241
626,Sainte-Rose,-61.697,16.333
103,Petit-Canal,-61.489,16.379
176,Saint-Francois,-61.273,16.251
303,Sainte-Anne,-61.385,16.225
363,La Desirade,-61.074,16.303
123,Le Moule,-61.343,16.331
176,Capesterre-de-Marie-Galante,-61.22,15.892
147,Vieux-Habitants,-61.764,16.06
72,Morne-a-l'Eau,-61.456,16.332
60,Anse-Bertrand,-61.508,16.472
103,Terre-de-Bas,-61.643,15.85
522,Terre-de-Haut,-61.581,15.867
