rmax,name,lon,lat
100000,Budapest,19.093,47.492
1867,Debrecen,21.63,47.532
1081,Miskolc,20.765,48.096
2688,Szeged,20.155,46.254
1867,Gyõr,17.643,47.68
2240,Pécs,18.226,46.081
147,Rákosliget,19.265,47.479
901,Székesfehérvár,18.432,47.196
901,Nyíregyháza,21.726,47.961
626,Kecskemét,19.689,46.912
1297,Szombathely,16.619,47.235
522,Tatabánya,18.395,47.579
901,Szolnok,20.188,47.18
303,Érd,18.907,47.394
363,Veszprém,17.915,47.096
1081,Sopron,16.584,47.683
626,Eger,20.378,47.9
626,Kaposvár,17.789,46.358
901,Zalaegerszeg,16.838,46.837
103,Rózsadomb,18.225,46.039
363,Dunakeszi-Fenyves (Toboz),19.16,47.631
1297,Békéscsaba,21.09,46.676
435,Dunaújváros,18.932,46.966
176,Szigethalom-Marlyntelep,19.023,47.331
435,Hódmezővásárhely,20.327,46.42
522,Nagykanizsa,16.999,46.458
211,Erdőskert,19.207,47.393
435,Gyöngyös,19.928,47.781
901,Baja,18.958,46.182
751,Vác,19.134,47.783
363,Szekszárd,18.701,46.346
363,Cegléd,19.798,47.172
363,Kazincbarcika,20.624,48.252
303,Esztergom,18.739,47.792
435,Mosonmagyaróvár,17.272,47.869
522,Pápa,17.471,47.326
435,Kiskunfélegyháza,19.85,46.713
123,Gyula,21.28,46.646
123,Budaörs,18.953,47.46
176,Győrújbarát,17.643,47.609
303,Komló,18.253,46.193
303,Hajdúböszörmény,21.513,47.668
211,Szentes,20.259,46.658
626,Ajka,17.554,47.105
60,Gödöllő,19.354,47.603
253,Jászberény,19.915,47.499
435,Kiskunhalas,19.486,46.429
123,Galgahévíz-Ökofalu,19.553,47.62
103,Gárdony-Gárdonyfürdő,18.642,47.219
303,Hajdúszoboszló,21.395,47.443
626,Karcag,20.924,47.318
211,Várpalota,18.143,47.203
147,Dorog-Zrínyi Miklós lakótelep,18.734,47.729
176,Kistarcsa-Telep,19.266,47.556
72,Dunaharaszti,19.099,47.353
86,Aszód,19.493,47.662
86,Szentendre-Bükköspart,19.071,47.671
176,Tata,18.323,47.654
303,Makó,20.48,46.219
253,Keszthely,17.242,46.768
303,Nagykőrös,19.782,47.034
176,Abony,20.011,47.188
72,Nyergesújfalu / Lábatlan,18.506,47.756
253,Békés,21.131,46.772
751,Siófok-Belváros,18.052,46.902
253,Oroszlány,18.31,47.486
363,Orosháza,20.673,46.56
522,Paks,18.853,46.624
435,Dabas,19.31,47.191
60,Százhalombatta,18.913,47.317
147,Pilisvörösvár,18.907,47.62
522,Mohács,18.682,45.991
522,Balassagyarmat,19.296,48.074
901,Sátoraljaújhely,21.658,48.398
211,Sülysáp-Tápiósüly,19.569,47.452
147,Remetekertváros,18.957,47.558
435,Mezőtúr,20.626,47.002
363,Tiszaújváros,21.039,47.932
211,Törökszentmiklós,20.413,47.176
176,Tiszavasvári,21.36,47.96
435,Újfehértó,21.682,47.803
253,Bátonyterenye,19.831,47.996
303,Szerencs-Szerencsi Ipari Park,21.191,48.158
211,Kalocsa,18.974,46.527
253,Dombóvár,18.133,46.376
103,Almádi-Budatava,18.021,47.044
123,Hajdúsámson,21.752,47.598
751,Ózd,20.281,48.218
176,Gyomaendrőd,20.807,46.931
147,Monor,19.444,47.349
176,Hajdúnánás,21.429,47.845
363,Tapolca,17.44,46.883
72,Nagykáta,19.743,47.414
103,Csongrád,20.147,46.71
176,Balmazújváros,21.343,47.613
363,Mátészalka,22.323,47.957
72,Pomáz-Szelistye,19.023,47.645
103,Hadházitelep,21.574,47.597
211,Sárvár,16.935,47.253
176,Bicske,18.634,47.49
303,Pilis,19.548,47.284
103,Gyömrő,19.397,47.427
253,Eperjes telep,19.81,48.102
103,Albertirsa,19.611,47.24
176,Tiszaföldvár-Homok,20.254,46.969
253,Sárbogárd,18.619,46.881
211,Hatvan,19.693,47.669
72,Isaszeg,19.4,47.537
86,Budakeszi-Alvég,18.927,47.517
253,Nyírbátor,22.13,47.839
626,Tiszafüred,20.761,47.616
176,Ráckeve-Szulla,18.945,47.154
253,Mezőkövesd,20.569,47.809
123,Alsózsolca-Vaytelep,20.893,48.052
60,Piliscsaba,18.826,47.639
72,Veresegyház,19.285,47.653
253,Sarkad,21.38,46.741
123,Edelény,20.738,48.294
363,Szarvas,20.556,46.862
211,Balatonboglár-Szőlőskislak,17.68,46.781
60,Sajószentpéter,20.709,48.218
435,Siklós,18.293,45.86
176,Derecske,21.567,47.353
303,Kisvárda,22.081,48.22
147,Dunavarsány-Kisvarsány,19.069,47.269
211,Tolna,18.773,46.422
363,Kőszeg,16.541,47.388
123,Tiszakécske,20.094,46.933
123,Nyékládháza,20.838,48.002
176,Nádudvar,21.161,47.426
901,Szeghalom,21.17,47.023
72,Ócsa,19.233,47.299
147,Túrkeve,20.744,47.104
211,Dunaföldvár,18.915,46.811
147,Lajosmizse,19.559,47.025
363,Mór,18.207,47.373
123,Lőrinci-Selyp,19.678,47.768
363,Jánoshalma,19.329,46.3
626,Kiskőrös,19.285,46.622
211,Sárospatak,21.564,48.317
176,Kisújszállás,20.754,47.215
103,Győr-Győrszentiván,17.738,47.701
176,Füzesabony,20.415,47.751
626,Berettyóújfalu,21.534,47.227
147,Bonyhád,18.524,46.299
123,Fehérgyarmat,22.516,47.988
86,Kiskunlacháza,19.006,47.183
176,Kunszentmiklós,19.12,47.024
253,Ercsi,18.893,47.25
147,Dévaványa,20.959,47.031
253,Kecel,19.247,46.523
176,Sándorfalva,20.104,46.365
211,Kunhegyes,20.634,47.366
435,Kapuvár,17.028,47.593
363,Heves,20.283,47.596
435,Nagyatád,17.365,46.225
147,Polgár,21.115,47.865
147,Hosszúpályi,21.749,47.396
72,Halásztelek,18.984,47.366
176,Encs-Abaújdevecser,21.106,48.327
901,Barcs,17.459,45.962
60,Törökbálint,18.916,47.438
103,Hernádnémeti,20.968,48.085
176,Putnok,20.435,48.292
435,Körmend,16.6,47.014
86,Létavértes,21.882,47.384
176,Nagyecsed,22.384,47.862
626,Tamási,18.284,46.633
123,Göd,19.146,47.705
303,Szigetvár,17.8,46.05
253,Újszász,20.077,47.294
103,Balatonfüred,17.88,46.96
176,Bátaszék,18.725,46.195
176,Püspökladány,21.117,47.319
435,Zirc,17.873,47.264
103,Üllő,19.343,47.384
303,Páty,18.829,47.515
86,Biatorbágy,18.824,47.472
72,Hajdúhadház,21.668,47.679
211,Celldömölk,17.154,47.255
147,Kompolt,20.249,47.745
211,Vésztő,21.267,46.927
176,Kisbér-Hánta,18.021,47.503
86,Soltvadkert,19.391,46.582
211,Mindszent,20.189,46.523
123,Martfű,20.284,47.018
522,Bácsalmás,19.336,46.128
147,Fegyvernek,20.529,47.249
211,Sümeg,17.285,46.98
176,Kistelek,19.981,46.474
147,Kunszentmárton,20.286,46.839
60,Adony / Iváncsa,18.845,47.138
211,Szentgotthárd,16.276,46.953
147,Kiskunmajsa,19.74,46.488
103,Mezőberény,21.026,46.829
303,Polgárdi,18.304,47.065
211,Pásztó,19.698,47.92
363,Ács,18.012,47.714
103,Zsámbék,18.724,47.551
147,Szentgál,17.747,47.122
522,Lenti,16.539,46.628
147,Jászapáti,20.143,47.511
147,Ibrány,21.705,48.125
147,Kaba,21.273,47.357
211,Mezőcsát,20.905,47.823
72,Gorkij-lakótelep,19.778,48.078
