rmax,name,lon,lat
1081,Cavan,-7.358,53.993
4644,Letterkenny,-7.726,54.955
751,Dundalk,-6.402,54.003
901,Drogheda,-6.348,53.714
522,Monaghan,-6.97,54.248
147,Carrickmacross,-6.72,53.977
1297,Sligo,-8.473,54.273
303,Portlaoise,-7.294,53.033
176,Portarlington,-7.186,53.16
522,Longford,-7.799,53.727
522,Tullamore,-7.491,53.275
303,Edenderry,-7.051,53.343
435,Mullingar,-7.339,53.526
901,Athlone,-7.928,53.429
1556,Galway,-9.037,53.282
522,Tuam,-8.85,53.515
176,Ballinasloe,-8.224,53.331
363,Loughrea,-8.564,53.199
751,Castlebar,-9.296,53.854
522,Ballina,-9.164,54.114
176,Westport,-9.521,53.801
253,Roscommon,-8.19,53.631
100000,Dublin,-6.274,53.332
303,Balbriggan,-6.183,53.606
86,Skerries,-6.109,53.579
253,Rush,-6.09,53.522
72,Donabate,-6.147,53.487
72,Lusk,-6.161,53.524
86,Kildare,-6.91,53.157
103,Naas,-6.661,53.219
363,Newbridge,-6.797,53.18
103,Celbridge,-6.539,53.338
123,Maynooth,-6.59,53.382
211,Athy,-6.971,52.993
253,Clane,-6.686,53.293
363,Navan,-6.687,53.652
86,Dunboyne,-6.484,53.424
253,Kells,-6.877,53.727
147,Greystones-Delgany,-6.079,53.15
435,Wicklow,-6.045,52.981
363,Bray,-6.105,53.204
751,Arklow,-6.158,52.798
626,Ennis,-8.979,52.851
211,Shannon,-8.872,52.712
1867,Limerick,-8.62,52.661
363,Nenagh,-8.199,52.863
435,Thurles,-7.812,52.677
303,Carlow,-6.924,52.836
901,Kilkenny,-7.245,52.655
435,Clonmel,-7.703,52.356
363,Tipperary,-8.158,52.474
211,Carrick-on-Suir,-7.414,52.349
1556,Waterford,-7.116,52.252
211,Tramore,-7.165,52.159
363,Dungarvan,-7.632,52.092
435,Wexford,-6.47,52.34
435,Enniscorthy,-6.565,52.502
303,New Ross,-6.944,52.396
253,Gorey,-6.295,52.675
3225,Cork,-8.472,51.894
60,Cobh,-8.298,51.851
147,Midleton,-8.172,51.914
522,Mallow,-8.653,52.142
253,Youghal,-7.85,51.956
303,Fermoy,-8.275,52.14
1081,Tralee,-9.702,52.269
626,Killarney,-9.503,52.06
103,Laytown_Bettystown,-6.243,53.687
60,Kilmacanoge,-6.134,53.169
522,Virginia,-7.076,53.834
123,Bailieborough,-6.968,53.916
86,Kingscourt,-6.804,53.906
211,Cootehill,-7.082,54.073
103,Ballyjamesduff,-7.206,53.864
147,Belturbet,-7.441,54.102
123,Bellananagh,-7.407,53.932
86,Ballyconnell,-7.583,54.116
103,Killishandra,-7.528,54.016
303,Donegal,-8.11,54.653
363,Ballybofey/Stranorlar,-7.767,54.805
363,Buncrana,-7.454,55.132
435,Ballyshannon,-8.189,54.502
60,Bundoran,-8.274,54.48
103,Convoy,-7.664,54.86
211,Killybegs,-8.443,54.637
176,Rathmelton,-7.649,55.035
303,Moville,-7.04,55.189
86,Annagary,-8.32,55.022
72,Gleneely,-7.146,55.239
72,Castlefin,-7.593,54.803
86,Fahan,-7.478,55.092
103,Ardara,-8.41,54.765
211,Carndonagh,-7.261,55.251
147,Saint Johnstown,-7.461,54.932
86,Lifford,-7.495,54.841
253,Dunglow,-8.357,54.95
147,Millford,-7.697,55.087
435,Glenties,-8.283,54.798
253,Carrick-on-Shannon,-8.091,53.947
303,Manorhamilton,-8.176,54.305
147,Mohill,-7.865,53.922
123,Louth,-6.538,53.952
303,Ardee,-6.538,53.855
123,Dunleer,-6.393,53.831
176,Carlingford,-6.186,54.04
72,Castlebellingham,-6.388,53.898
147,Clogherhead,-6.238,53.792
103,Collon,-6.485,53.778
60,Termonfeckin,-6.268,53.762
363,Castleblayney,-6.738,54.12
253,Clones,-7.231,54.179
103,Ballybay,-6.902,54.129
211,Emyvale,-6.959,54.34
303,Tubbercurry,-8.728,54.055
147,Drumcliff,-8.499,54.328
211,Collooney,-8.485,54.183
72,Balllisodare,-8.508,54.21
123,Ballymote,-8.516,54.09
72,Cliffony,-8.453,54.43
72,Mountmellick,-7.325,53.117
253,Abbeyleix,-7.348,52.914
123,Mountrath,-7.474,53.003
103,Durrow,-7.396,52.845
147,Rathdowney,-7.584,52.855
86,Stradbally,-7.151,53.018
253,Ballymahon,-7.762,53.563
147,Edgeworthstown,-7.607,53.695
211,Granard,-7.491,53.779
363,Birr,-7.91,53.096
211,Clara,-7.613,53.343
253,Banagher,-7.986,53.19
147,Ferbane,-7.827,53.271
176,Kilcormac,-7.728,53.176
86,Killeigh,-7.447,53.214
123,Daingean,-7.29,53.297
147,Geashill,-7.321,53.236
176,Moate,-7.711,53.395
253,Kinnegad,-7.1,53.455
123,Kilbeggan,-7.497,53.368
123,Killucan,-7.141,53.515
253,Athenry,-8.745,53.301
72,Clarinbridge,-8.88,53.229
303,Oughterard,-9.319,53.429
103,Barna,-9.146,53.252
303,Gort,-8.817,53.066
