rs,name,lon,lat,r1
86,Pikeliskes,25.239,54.877,60
86,Glitiskes,25.224,54.985,50
147,Rudausiai,25.576,54.906,72
147,Medininkai,25.646,54.536,103
60,Piktakonys,25.407,54.557,50
72,Teresiskes,25.249,54.488,50
123,Suzionys,25.508,54.99,0
72,Skirlenai,25.622,54.97,72
86,Rastinenai,25.046,54.763,86
60,Saviciunai,25.576,54.576,50
60,Kena,25.619,54.649,50
72,Dukstos,24.972,54.823,60
60,Tarnenai,25.149,54.547,50
123,Gargzdai,21.392,55.71,123
72,Zukai,22.26,55.114,72
60,Kriokiskiai,22.17,55.154,50
60,Kentriai,21.993,55.197,50
72,Raguvele,24.662,55.656,72
86,Staskuniskis,25.032,55.376,50
72,Grikiapeliai,25.328,55.652,50
60,Cekonys,25.233,55.58,50
86,Trakiskis,24.514,55.733,50
72,Janauciai,22.88,55.598,50
86,Norgelai,24.107,55.972,60
86,Saboniai,24.213,56.059,50
72,Sujetai,24.095,55.83,50
60,Aukstadvaris,24.296,55.479,50
72,Silai,24.606,55.493,72
72,Geguzine,24.342,55.856,72
60,Tabariskes,25.604,54.44,60
72,Gerviskes,25.21,54.288,50
60,Dailides,25.105,54.189,50
72,Jokubavas,21.343,55.83,50
72,Senoji Ipiltis,21.25,56.12,60
72,Suke,21.348,55.982,60
86,Laukzeme,21.202,56.07,50
60,Rukai,21.669,56.178,50
60,Narvydziai,21.555,56.293,50
86,Luknes,21.444,56.234,50
60,Puoke,21.9,56.187,50
123,Kaukolikai,21.713,56.232,60
103,Silavotas,23.77,54.671,86
72,Pivasiunai,24.375,54.46,72
72,Mikalavas,24.341,54.427,50
86,Azuoliniai,23.601,54.428,50
86,Verebiejai,23.696,54.457,86
72,Joginiskiai,23.389,55.055,50
86,Zelsva,23.404,54.435,50
60,Naujiena,23.406,54.395,50
147,Geleziai,24.699,55.84,72
86,Palevenele,25.002,55.907,60
60,Puciakalne,24.886,56.413,60
60,Pakalniskiai,23.847,55.771,50
60,Viluciai,25.525,55.703,50
60,Leliunai,25.279,55.619,50
60,Zemieji Svirnai,24.888,55.391,50
103,Baleliai,24.713,55.46,60
60,Petronys,24.567,55.316,50
60,Zeimiai,24.686,55.286,60
103,Rubikiai,25.284,55.534,50
86,Andrioniskis,25.044,55.598,60
147,Viesintos,24.992,55.69,72
