rmax,name,lon,lat
123,Zevenaar,6.071,51.932
60,Valthermond,6.949,52.874
123,Gilze,4.94,51.542
60,Garderen,5.715,52.233
363,Venray,5.981,51.53
211,Goes,3.892,51.505
60,Boornbergum,6.046,53.083
86,Middelburg,3.612,51.496
123,Dinteloord,4.368,51.635
103,Losser,7.002,52.263
86,Blauwhuis,5.532,53.023
86,Laren,6.365,52.192
303,Doetinchem,6.298,51.965
72,Bathmen,6.286,52.25
103,Smilde,6.451,52.949
72,Wolphaartsdijk,3.822,51.531
86,Tzum,5.562,53.157
86,Hoenderloo,5.879,52.118
147,Oosterwolde,6.294,52.989
123,Oss,5.523,51.765
60,Weiteveen,6.999,52.672
72,Oudheusden,5.135,51.725
86,Hank,4.896,51.734
60,Nieuw Heeten,6.352,52.32
103,Uithoorn,4.827,52.244
60,Hillegom,4.585,52.289
60,Vinkel,5.461,51.705
72,Nederweert,5.75,51.284
176,Vroomshoop,6.565,52.461
303,Weert,5.701,51.251
60,Wachtum,6.751,52.724
253,Zierikzee,3.913,51.65
60,Lonneker,6.913,52.25
103,Spijk,6.837,53.389
72,Huissen,5.936,51.941
72,Kloosterburen,6.393,53.388
103,Bolsward,5.524,53.066
60,Ochten,5.57,51.909
176,Putte,4.393,51.363
86,Herkingen,4.087,51.711
253,Vaals,6.014,50.773
60,Ruinerwold,6.248,52.723
72,Scharnegoutum,5.678,53.06
60,Noordeinde,5.877,52.514
86,Dreumel,5.433,51.849
60,Bunschoten-Spakenburg,5.371,52.245
72,Malden,5.854,51.784
86,Grubbenvorst,6.143,51.421
103,Espel,5.642,52.726
60,Schoonloo,6.702,52.905
72,Venhuizen,5.216,52.668
86,Beuningen,5.768,51.858
72,Wilsum,5.969,52.529
86,Diepenveen,6.146,52.289
86,Rolde,6.648,52.986
176,Stede Broec,5.238,52.698
123,Kloosterzande,4.017,51.371
86,Monster,4.176,52.025
72,Aalden,6.72,52.79
103,Noordwolde,6.141,52.892
363,Terneuzen,3.845,51.321
176,Norg,6.457,53.066
72,Donkerbroek,6.239,53.018
86,Ooltgensplaat,4.35,51.683
60,Simpelveld,5.983,50.836
60,Standdaarbuiten,4.513,51.613
86,Damwald,5.995,53.29
211,Dieren,6.097,52.054
60,Franeker,5.534,53.188
72,Vlijmen,5.218,51.698
72,Langelo,6.445,53.093
60,Cothen,5.31,51.999
60,Ovezande,3.821,51.429
435,Leeuwarden,5.807,53.204
86,Sint Nicolaasga,5.742,52.922
176,Asten,5.748,51.405
123,Eerbeek,6.062,52.104
253,Oostburg,3.49,51.327
72,Bennekom,5.674,52.002
147,Vaassen,5.968,52.29
72,Hoofdplaat,3.662,51.37
60,Hoonhorst,6.229,52.486
123,Aardenburg,3.442,51.273
147,Oosthuizen,4.997,52.575
72,Sloten,5.645,52.894
72,Opeinde,6.062,53.134
86,Eersel,5.322,51.359
176,Best,5.399,51.509
103,Sint-Annaland,4.103,51.601
103,De Rips,5.809,51.552
72,Langeveen,6.713,52.47
60,Fijnaart,4.465,51.637
86,Termunten,7.045,53.297
72,Heibloem,5.896,51.301
147,Groenlo,6.612,52.042
60,Heteren,5.758,51.954
253,Ter Apel,7.065,52.88
86,Ten Boer,6.693,53.278
60,Nieuw-Schoonebeek,6.986,52.647
72,Nieuwehorne,6.062,52.953
72,De Wilp,6.252,53.118
123,Swifterbant,5.643,52.566
72,Oostkapelle,3.553,51.566
60,Elshout,5.142,51.702
123,Balk,5.583,52.897
60,Slagharen,6.556,52.626
60,Beek en Donk,5.631,51.531
60,Oirschot,5.313,51.507
72,Wijster,6.516,52.817
72,Wanroij,5.82,51.658
123,Beekbergen,5.963,52.159
