rmax,name,lon,lat
303,Wolsztyn,16.119,52.114
211,Pniewy,16.261,52.508
626,Swiebodzin,15.531,52.247
363,Gora,16.547,51.667
123,Grodzisk Wielkopolski,16.364,52.227
147,Opalenica,16.405,52.31
123,Kozuchow,15.593,51.745
363,Leszno,16.569,51.841
303,Nowy Tomysl,16.129,52.304
363,Szamotuly,16.584,52.613
176,Wschowa,16.319,51.802
522,Glogow,16.075,51.649
253,Nowa Sol,15.711,51.802
147,Przemkow,15.793,51.526
363,Miedzyrzecz,15.587,52.435
103,Sierakow,16.085,52.647
211,Skwierzyna,15.495,52.594
1081,Zielona Gora,15.503,51.936
123,Czempin,16.763,52.143
147,Lubon,16.874,52.342
176,Pobiedziska,17.282,52.471
363,Gostyn,17.004,51.879
147,Rogozno,16.986,52.752
253,Koscian,16.645,52.086
176,Kozmin Wielkopolski,17.445,51.829
147,Trzemeszno,17.821,52.56
176,Witkowo,17.776,52.44
253,Mosina,16.851,52.231
147,Oborniki,16.817,52.648
86,Puszczykowo,16.854,52.271
626,Srem,17.015,52.089
3225,Poznan,16.918,52.407
522,Gniezno,17.596,52.536
435,Jarocin,17.506,51.968
363,Rawicz,16.907,51.629
211,Pleszew,17.777,51.894
86,Kostrzyn,17.218,52.397
123,Murowana Goslina,17.012,52.579
253,Krotoszyn,17.439,51.701
303,Milicz,17.285,51.527
253,Ostrow Wielkopolski,17.818,51.653
211,Slupca,17.874,52.29
123,Swarzedz,17.082,52.413
211,Sroda Wielkopolska,17.276,52.217
435,Wrzesnia,17.571,52.33
303,Znin,17.732,52.85
211,Debrzno,17.235,53.541
123,Grodzisk Mazowiecki,20.621,52.104
253,Zyrardow,20.444,52.056
303,Grojec,20.868,51.866
147,Mszczonow,20.526,51.974
147,Blonie,20.617,52.182
176,Pruszkow,20.8,52.16
60,Piastow,20.837,52.183
253,Nasielsk,20.801,52.588
100000,Warszawa,20.998,52.233
72,Nowy Dwor Mazowiecki,20.716,52.43
522,Plonsk,20.376,52.61
123,Lomianki,20.895,52.337
147,Radzymin,21.178,52.42
103,Marki,21.105,52.324
211,Glubczyce,17.823,50.199
435,Lubaczow,23.122,50.165
522,Bogatynia,14.961,50.902
176,Lwowek Slaski,15.581,51.109
60,Jaworzyna Slaska,16.432,50.913
86,Polanica - Zdroj,16.513,50.397
176,Zlotoryja,15.924,51.126
103,Zarow,16.495,50.94
86,Swiebodzice,16.333,50.856
176,Gryfow Slaski,15.419,51.028
253,Piensk,15.047,51.246
176,Jawor,16.189,51.05
123,Kamienna Gora,16.028,50.779
303,Strzegom,16.344,50.956
147,Wolow,16.633,51.334
176,Lubawka,15.997,50.7
211,Sroda Slaska,16.593,51.164
211,Swidnica,16.485,50.826
60,Bielawa,16.624,50.691
176,Chocianow,15.904,51.417
176,Chojnow,15.933,51.272
176,Kudowa - Zdroj,16.241,50.433
751,Zgorzelec,15.015,51.134
901,Walbrzych,16.287,50.742
211,Polkowice,16.076,51.503
176,Sulejowek,21.283,52.246
303,Minsk Mazowiecki,21.557,52.179
253,Pultusk,21.081,52.691
522,Wyszkow,21.447,52.591
72,Zabki,21.115,52.289
253,Warka,21.177,51.782
147,Gora Kalwaria,21.216,51.982
253,Kozienice,21.558,51.58
60,Konstancin - Jeziorna,21.095,52.078
147,Piaseczno,21.009,52.057
211,Otwock,21.269,52.105
211,Ryki,21.933,51.626
176,Deblin,21.857,51.553
522,Garwolin,21.625,51.901
522,Sokolow Podlaski,22.233,52.407
147,Wegrow,22.028,52.399
253,Siemiatycze,22.866,52.423
901,Siedlce,22.277,52.168
253,Radzyn Podlaski,22.646,51.78
522,Lukow,22.387,51.924
147,Miedzyrzec Podlaski,22.779,51.983
363,Grajewo,22.455,53.647
435,Kolno,21.939,53.402
363,Pisz,21.808,53.629
303,Orzysz,21.941,53.799
211,Wysokie Mazowieckie,22.51,52.915
363,Zambrow,22.241,52.985
751,Elk,22.356,53.824
901,Lomza,22.071,53.177
303,Bialogard,15.991,54.007
435,Darlowo,16.41,54.412
363,Kolobrzeg,15.576,54.173
522,Tczew,18.779,54.095
303,Kartuzy,18.197,54.329
176,Wejherowo,18.25,54.604
3870,Gdansk,18.648,54.347
176,Wladyslawowo,18.397,54.795
211,Malbork,19.033,54.036
176,Skarszewy,18.44,54.072
176,Slawno,16.674,54.357
1081,Bartoszyce,20.815,54.253
626,Braniewo,19.823,54.368
211,Paslek,19.656,54.062
253,Ketrzyn,21.375,54.078
435,Gizycko,21.772,54.041
303,Wegorzewo,21.746,54.208
253,Lidzbark Warminski,20.58,54.124
303,Olecko,22.506,54.034
253,Orneta,20.134,54.116
522,Elblag,19.404,54.156
522,Goldap,22.307,54.303
303,Sejny,23.345,54.106
1867,Suwalki,22.927,54.106
72,Jordanow,19.831,49.651
123,Andrychow,19.345,49.851
123,Brzeszcze,19.143,49.979
303,Proszowice,20.295,50.192
72,Sucha Beskidzka,19.597,49.742
147,Wieliczka,20.049,49.979
435,Nowy Targ,20.035,49.478
103,Chrzanow,19.398,50.137
86,Sulkowice,19.801,49.841
60,Trzebinia,19.469,50.159
147,Niepolomice,20.216,50.031
147,Jastrowie,16.812,53.422
147,Naklo nad Notecia,17.597,53.14
303,Chodziez,16.91,52.993
435,Chojnice,17.565,53.694
123,Czluchow,17.359,53.667
1081,Pila,16.765,53.152
435,Zlotow,17.048,53.361
901,Szczecinek,16.692,53.71
211,Tuchola,17.866,53.584
626,Wagrowiec,17.204,52.803
211,Sepolno Krajenskie,17.534,53.443
253,Szubin,17.733,53.007
123,Chelmno,18.431,53.351
253,Czersk,17.973,53.774
176,Sztum,19.029,53.923
176,Gniew,18.829,53.837
211,Gniewkowo,18.407,52.892
72,Pelplin,18.705,53.925
176,Nowe,18.726,53.646
253,Wabrzezno,18.937,53.279
211,Barcin,17.939,52.856
253,Chelmza,18.609,53.185
435,Kwidzyn,18.931,53.703
123,Solec Kujawski,18.218,53.072
363,Torun,18.613,53.021
901,Grudziadz,18.754,53.488
211,Swiecie,18.435,53.407
626,Inowroclaw,18.263,52.8
363,Starogard Gdanski,18.514,53.948
363,Koronowo,17.941,53.31
1556,Bydgoszcz,18.001,53.123
1081,Kalisz,18.084,51.758
363,Turek,18.504,52.019
103,Strzelno,18.166,52.628
303,Mogilno,17.942,52.661
1081,Konin,18.255,52.228
123,Janikowo,18.115,52.748
253,Kruszwica,18.32,52.667
253,Klodawa,18.911,52.248
435,Zakopane,19.963,49.29
147,Jaworzno,19.277,50.198
86,Wadowice,19.483,49.884
72,Kety,19.224,49.877
303,Krakow,19.938,50.055
253,Zywiec,19.211,49.689
103,Ledziny,19.132,50.14
103,Libiaz,19.321,50.09
303,Myslenice,19.937,49.834
253,Oswiecim,19.229,50.038
363,Kolo,18.638,52.199
363,Wloclawek,19.066,52.649
211,Zdunska Wola,18.963,51.592
176,Poddebice,18.957,51.893
176,Sieradz,18.721,51.596
435,Brzeg,17.47,50.855
435,Bystrzyca Klodzka,16.646,50.284
522,Monki,22.794,53.404
303,Dabrowa Bialostocka,23.351,53.643
147,Wasilkow,23.206,53.199
522,Augustow,22.978,53.843
751,Bielsk Podlaski,23.191,52.769
86,Choroszcz,22.985,53.145
253,Czarna Bialostocka,23.281,53.296
626,Sokolka,23.503,53.406
363,Lapy,22.883,52.99
901,Wlodawa,23.547,51.546
626,Biala Podlaska,23.124,52.02
211,Terespol,23.608,52.073
211,Parczew,22.901,51.641
147,Hajnowka,23.581,52.74
103,Glogow Malopolski,21.963,50.151
303,Dynow,22.225,49.815
253,Kolbuszowa,21.768,50.234
363,Ustrzyki Dolne,22.59,49.43
363,Sanok,22.198,49.561
626,Przemysl,22.768,49.788
147,Lesko,22.329,49.475
86,Jedlicze,21.651,49.718
435,Jaroslaw,22.674,50.016
176,Ropczyce,21.631,50.058
626,Rzeszow,21.998,50.035
626,Krosno,21.764,49.695
123,Przeworsk,22.492,50.054
522,Lezajsk,22.423,50.253
176,Lancut,22.234,50.063
253,Bychawa,22.541,51.012
211,Sandomierz,21.739,50.686
176,Nowa Sarzyna,22.342,50.343
435,Lubartow,22.609,51.46
123,Opole Lubelskie,21.972,51.148
211,Rudnik nad Sanem,22.246,50.442
363,Bilgoraj,22.712,50.524
1556,Lublin,22.559,51.248
1081,Stalowa Wola,22.06,50.568
303,Poniatowa,22.067,51.194
211,Krasnik,22.219,50.932
123,Swidnik,22.697,51.216
86,Nisko,22.135,50.517
522,Lipsko,21.649,51.159
522,Pulawy,21.971,51.419
211,Tarnobrzeg,21.671,50.572
303,Janow Lubelski,22.417,50.703
147,Skawina,19.836,49.973
72,Bukowno,19.463,50.263
211,Koniecpol,19.675,50.775
123,Lazy,19.405,50.425
103,Dabrowa Gornicza,19.205,50.327
72,Poreba,19.34,50.488
147,Myszkow,19.346,50.566
72,Siewierz,19.228,50.472
60,Slawkow,19.379,50.286
253,Zawiercie,19.429,50.484
176,Zelow,19.218,51.465
176,Belchatow,19.37,51.367
522,Piotrkow Trybunalski,19.678,51.415
626,Radomsko,19.439,51.069
211,Opoczno,20.279,51.371
86,Sulejow,19.888,51.354
303,Miechow,20.036,50.351
211,Sedziszow,20.052,50.561
363,Wloszczowa,19.973,50.851
147,Busko - Zdroj,20.722,50.457
751,Pinczow,20.527,50.52
176,Kazimierza Wielka,20.485,50.268
751,Kielce,20.631,50.871
303,Szydlowiec,20.854,51.217
123,Suchedniow,20.854,51.047
103,Staporkow,20.553,51.139
363,Konskie,20.411,51.189
211,Przysucha,20.626,51.35
86,Skarzysko - Kamienna,20.862,51.116
253,Pionki,21.443,51.462
211,Zwolen,21.58,51.354
1297,Radom,21.152,51.401
363,Ostrowiec Swietokrzyski,21.387,50.945
211,Ilza,21.24,51.161
176,Starachowice,21.07,51.056
253,Polaniec,21.283,50.431
253,Strzelin,17.068,50.784
253,Jelcz - Laskowice,17.35,51.04
253,Paczkow,17.01,50.461
253,Prudnik,17.583,50.319
86,Ziebice,17.038,50.603
176,Niemodlin,17.619,50.642
72,Pilawa Gorna,16.749,50.682
86,Stronie Slaskie,16.872,50.297
303,Opatow,21.425,50.802
435,Staszow,21.174,50.556
522,Mielec,21.451,50.274
363,Bochnia,20.435,49.945
123,Brzesko,20.607,49.968
72,Ryglice,21.139,49.878
103,Piwniczna - Zdroj,20.707,49.431
72,Stary Sacz,20.635,49.561
363,Krynica - Zdroj,20.953,49.405
435,Tarnow,20.984,50.012
176,Dabrowa Tarnowska,20.983,50.155
363,Debica,21.414,50.052
253,Gorlice,21.159,49.656
253,Jaslo,21.474,49.747
211,Trzebnica,17.064,51.307
147,Ladek - Zdroj,16.882,50.344
147,Lewin Brzeski,17.616,50.756
147,Namyslow,17.716,51.072
60,Oborniki Slaskie,16.912,51.3
103,Otmuchow,17.173,50.466
