rs,name,lon,lat,r1
100000,Beograd,20.454,44.786,0
901,Novi Sad,19.799,45.255,522
2688,Niš,21.905,43.32,1297
1081,Kragujevac,20.902,44.009,751
2688,Subotica,19.662,46.096,901
901,Novi Pazar,20.505,43.139,901
211,Pančevo,20.657,44.868,123
435,Zrenjanin,20.393,45.375,435
626,Kraljevo,20.676,43.722,303
176,Borča,20.472,44.866,86
363,Čačak,20.353,43.887,253
522,Kruševac,21.327,43.574,363
626,Leskovac,21.942,42.996,303
901,Valjevo,19.905,44.276,363
751,Šabac,19.69,44.749,435
1556,Vranje,21.898,42.55,435
435,Smederevo,20.925,44.652,211
1867,Užice,19.843,43.855,363
522,Pirot,22.59,43.158,435
147,Batajnica,20.277,44.904,147
176,Požarevac,21.185,44.619,176
253,Jagodina,21.26,43.978,253
901,Zaječar,22.272,43.904,626
751,Sombor,19.11,45.776,363
626,Kikinda,20.463,45.829,435
363,Sremska Mitrovica,19.61,44.973,211
147,Zeleznik,20.373,44.723,72
901,Vršac,21.299,45.12,435
303,Bor,22.104,44.065,147
522,Loznica,19.229,44.537,303
103,Ruma,19.818,45.007,0
211,Bačka Palanka,19.388,45.248,0
211,Paraćin,21.413,43.86,123
253,Prokuplje,21.596,43.241,211
253,Inđija,20.077,45.048,176
522,Vrbas,19.646,45.571,303
626,Smederevska Palanka,20.961,44.371,253
211,Arandjelovac,20.562,44.309,0
211,Gornji Milanovac,20.461,44.027,147
103,Stara Pazova,20.159,44.987,72
103,Ćuprija,21.379,43.932,72
303,Temerin,19.891,45.408,176
435,Ada,20.13,45.784,211
253,Apatin,18.984,45.671,123
626,Knjaževac,22.265,43.57,303
303,Senta,20.082,45.927,147
751,Negotin,22.529,44.229,303
626,Priboj,19.533,43.568,303
363,Becej,20.038,45.619,176
72,Nova Pazova,20.218,44.944,50
303,Aleksinac,21.704,43.54,211
435,Kuršumlija,21.266,43.138,211
147,Vlasotince,22.131,42.966,147
435,Sjenica,20.006,43.276,363
1867,Kladovo,22.615,44.614,363
363,Vladičin Han,22.072,42.707,176
86,Gorica,20.386,44.682,50
751,Šid,19.227,45.127,147
147,Кула,19.528,45.608,86
253,Trstenik,21.004,43.617,253
123,Surcin,20.278,44.794,72
303,Bačka Topola,19.633,45.817,211
211,Bujanovac,21.759,42.469,103
363,Tutin,20.331,42.988,176
253,Arilje,20.097,43.751,176
60,Surdulica,22.174,42.69,0
211,Kovin,20.978,44.744,103
60,Velika Plana,21.071,44.331,0
303,Raška,20.617,43.285,147
147,Жабаљ,20.074,45.373,123
60,Vrnjačka Banja,20.898,43.625,0
211,Svilajnac,21.195,44.234,103
123,Kać-Каћ,19.941,45.304,86
253,Kanjiza,20.052,46.063,123
60,Palić,19.75,46.11,60
176,Požega,20.039,43.844,86
176,Bajina Bašta,19.564,43.973,0
176,Чуруг,20.066,45.47,103
253,Dimitrovgrad,22.763,43.014,147
147,Srbobran,19.795,45.549,103
363,Ivanjica,20.234,43.578,147
435,Ub,20.073,44.459,211
60,Sremska Kamenica-Сремска Каменица,19.848,45.223,50
176,Petrovac na Mlavi,21.418,44.378,176
176,Bela Palanka,22.314,43.221,0
253,Sivac,19.38,45.705,123
60,Dobanovci,20.227,44.827,50
123,Ripanj,20.514,44.647,103
435,Bela Crkva,21.423,44.902,211
435,Kacarevo,20.7,44.965,103
176,Kostolac,21.167,44.711,86
211,Cantavir,19.768,45.918,123
176,Lajkovac,20.166,44.371,72
176,Bajmok-Бајмок,19.418,45.973,147
103,Novi Bečej,20.136,45.598,72
123,Lapovo Municipality-Lapovo,21.1,44.185,60
253,Nova Varoš,19.817,43.462,176
72,Banatsko Novo Selo,20.784,44.991,60
60,Sevojno,19.895,43.845,50
211,Prijepolje,19.63,43.368,123
303,Aleksandrovac,21.049,43.46,147
211,Lebane,21.734,42.917,147
211,Mali Iđoš,19.694,45.673,103
435,Guncati,20.412,44.595,72
211,Grocka,20.714,44.674,147
176,Backo Petrovo Selo,20.081,45.707,86
86,Jabuka,20.6,44.949,72
72,Rumenka,19.742,45.295,50
176,Omoljica,20.739,44.76,86
303,Kovačica,20.621,45.112,123
86,Crvenka,19.457,45.658,60
72,Vrčin,20.595,44.667,60
72,Ugrinovci,20.189,44.875,50
176,Grdelica,22.07,42.891,86
147,Dolovo,20.88,44.903,86
123,Zrenjanin,20.447,45.311,60
72,Batočina,21.083,44.154,50
147,Bački Petrovac,19.592,45.359,123
176,Beška,20.067,45.131,86
253,Svrljig,22.128,43.413,147
86,Topola,20.684,44.256,0
253,Čajetina,19.707,43.742,123
86,Vranjska Banja,21.995,42.557,72
363,Majdanpek,21.936,44.425,363
253,Sokobanja,21.875,43.643,123
253,Melenci,20.319,45.516,123
123,Bolec,20.606,44.732,72
363,Odžaci,19.258,45.505,176
123,Bavanište,20.874,44.82,86
86,Umka,20.312,44.683,50
86,Novo Miloševo,20.3,45.715,0
253,Veliko Gradište,21.514,44.762,123
363,Blace,21.287,43.298,176
72,Padina,20.726,45.117,72
