rs,name,lon,lat,r1
144,Blovice,13.54,49.582,100
172,Novy Hrozenkov,18.198,49.337,100
144,Novy Hradek,16.244,50.357,100
120,Bezverov,13.059,49.995,100
120,Bezdruzice,12.971,49.907,120
120,Kaznejov,13.383,49.893,100
144,Lidecko,18.051,49.203,100
144,Satov,16.01,48.793,100
144,Planice,13.471,49.39,100
120,Jemnice,15.57,49.019,100
172,Bor,12.775,49.712,100
120,Bobrova,16.119,49.475,100
120,Bochov,13.045,50.151,100
144,Osice,15.686,50.143,100
120,Nova Rise,15.564,49.139,100
206,Nyrsko,13.144,49.294,100
172,Otaslavice,17.071,49.388,100
172,Hranice,12.176,50.305,100
120,Kurivody,14.804,50.586,100
144,Bolebor,13.413,50.54,100
120,Chynava,14.074,50.027,100
120,Borovany,14.642,48.899,100
206,Libochovice,14.044,50.406,100
144,Holysov,13.101,49.594,100
120,Nemcice,15.294,50.084,100
144,Luby,12.406,50.252,100
120,Morkovice,17.208,49.248,100
120,Netolice,14.197,49.049,100
172,Bystre,16.347,49.628,100
172,Nepomuk,13.582,49.486,100
120,Olsany,13.627,49.401,100
206,Liskovec,17.181,49.123,100
120,Bzova,13.862,49.898,100
120,Cernovice,14.961,49.373,100
120,Rataje,17.111,49.587,100
247,Jesenice,13.469,50.097,100
144,Velke Kunetice,17.266,50.317,100
120,Chrast,15.934,49.902,100
172,Lomnice,16.414,49.405,100
144,Otnice,16.814,49.086,100
120,Chodova Plana,12.73,49.893,100
735,Vyssi Brod,14.312,48.616,100
144,Lomnice nad Luznici,14.717,49.085,100
247,Mirosov,13.658,49.688,100
206,Miroslav,16.313,48.948,100
120,Mirotice,14.037,49.429,100
144,Nova Bystrice,15.103,49.019,100
120,Radimer,16.431,49.699,100
120,Rana,13.779,50.412,100
172,Velka Skrovnice,16.317,50.03,100
144,Olesna,14.31,49.346,100
172,Belice,14.472,49.766,100
120,Liptal,17.922,49.291,100
206,Chvalcov,17.711,49.389,100
296,Pacov,15.002,49.471,120
120,Lukov,17.73,49.29,100
144,Skaly,17.224,49.913,100
172,Mikulov,13.722,50.688,100
206,Horni Briza,13.356,49.84,100
144,Radonice,13.285,50.298,100
206,Habartice,15.065,51.019,100
120,Merin,15.884,49.393,100
172,Kremze,14.306,48.905,100
172,Ceska Kamenice,14.418,50.798,100
144,Sitborice,16.78,49.014,100
144,Orlicke Zahori,16.475,50.279,100
120,Sevetin,14.572,49.1,100
120,Niva,16.852,49.445,100
120,Ricky v Orlickych horach,16.459,50.211,100
172,Mnichov,17.38,50.137,100
144,Moravsky Beroun,17.442,49.794,100
120,Nadejkov,14.479,49.503,100
120,Koberice,18.052,49.985,100
172,Cerna v Posumavi,14.111,48.738,100
144,Kolinec,13.439,49.299,100
144,Lany,15.557,50.446,100
120,Doloplazy,17.411,49.567,100
355,Osoblaha,17.714,50.274,144
144,Krpy,14.689,50.329,100
172,Zirovnice,15.188,49.253,100
120,Kozi,13.294,49.307,100
144,Kostalov,15.404,50.572,100
144,Zelnava,13.965,48.812,100
144,Roztoky,13.868,50.027,100
206,Zelezna Ruda,13.235,49.137,120
206,Smirice,15.865,50.3,100
172,Tis,15.493,49.705,100
206,Zacler,15.911,50.663,100
296,Javornik,17.003,50.391,120
206,Vizovice,17.855,49.223,100
120,Slavonice,15.352,48.998,100
144,Uhercice,15.63,48.913,100
144,Hrotovice,16.061,49.108,100
120,Bela nad Radbuzou,12.718,49.591,100
172,Trhove Sviny,14.639,48.842,100
172,Kraliky,16.761,50.084,120
247,Breznice,13.951,49.558,100
120,Mlada Vozice,14.809,49.533,100
206,Manetin,13.233,49.992,100
120,Hluboke Masuvky,16.026,48.924,100
120,Belcice,13.876,49.502,100
206,Polna,15.719,49.487,100
120,Brasy,13.578,49.837,100
120,Pohorska Ves,14.648,48.67,100
120,Pohorelice,16.524,48.981,100
144,Kamenna,17.031,49.859,100
144,Slopne,17.847,49.156,100
296,Hevlin,16.381,48.752,100
172,Hermanuv Mestec,15.665,49.947,100
144,Hrusovany nad Jevisovkou,16.403,48.83,120
120,Castrov,15.18,49.308,100
120,Studene,16.589,50.067,100
172,Loucna nad Desnou,17.091,50.072,100
120,Celadna,18.338,49.549,100
172,Mnisek pod Brdy,14.262,49.866,100
120,Mnichov,12.764,49.497,100
144,Horni Ujezd,16.233,49.803,100
206,Modrava,13.499,49.024,144
120,Cenkov,14.004,49.777,100
120,Strani,17.707,48.902,120
247,Vejprty,13.032,50.492,120
172,Sluknov,14.453,51.004,100
172,Skalna,12.361,50.17,100
120,Potstat,17.652,49.637,100
120,Radesin,14.145,50.34,100
172,Zruc nad Sazavou,15.106,49.74,100
172,Lazanky,16.388,49.279,100
296,Doksy,14.656,50.565,100
206,Potucky,12.736,50.428,100
144,Zajeci,16.766,48.873,100
120,Zliv,14.366,49.066,100
144,Kopidlno,15.27,50.331,100
172,Stare Mesto,16.947,50.162,100
355,Kralovice,13.487,49.982,120
120,Senozaty,15.198,49.569,100
120,Dolni Mala Upa,15.814,50.724,100
144,Cesky Dub IV,14.993,50.659,100
144,Sedlec,14.533,49.572,100
120,Suchdol nad Luznici,14.877,48.893,100
120,Male Predmesti,12.933,49.529,100
206,Horni Rokytnice,15.464,50.727,100
172,Tremosnice,15.58,49.869,100
120,Zlutice,13.163,50.092,120
144,Zulova,17.099,50.309,100
120,Bukova,13.824,49.628,100
120,Zbilidy,15.423,49.444,100
144,Zbraslavice,15.183,49.812,100
172,Stare Hamry,18.446,49.473,100
120,Stare Herminovy,17.626,49.933,100
144,Votice,14.639,49.64,120
144,Chynov,14.811,49.407,100
144,Turov,15.996,49.989,100
172,Stitary,15.844,48.935,100
120,Udraz,14.309,49.282,100
172,Ceske Velenice,14.964,48.769,172
247,Velka Ledhuje,16.239,50.539,172
247,Velke Opatovice,16.679,49.612,100
206,Volary,13.887,48.909,100
296,Volyne,13.886,49.166,100
206,Cernosice,14.32,49.96,100
735,Znojmo,16.049,48.856,296
144,Steti,14.374,50.453,100
120,Bystrice nad Pernstejnem,16.262,49.523,120
172,Prelouc,15.559,50.037,120
144,Vitkov,17.749,49.775,100
172,Rosice,16.388,49.182,100
206,Ceska Lipa,14.538,50.686,172
735,Jihlava,15.591,49.396,511
144,Trinec,18.67,49.678,144
247,Veseli nad Moravou,17.383,48.952,100
296,Susice,13.52,49.232,120
511,Cheb,12.374,50.08,247
355,Cesky Krumlov,14.315,48.812,144
735,Ceske Budejovice,14.474,48.975,613
2191,Brno,16.61,49.193,1269
172,Zabreh,16.872,49.883,100
247,Dvur Kralove nad Labem,15.814,50.432,100
206,Koprivnice,18.145,49.6,100
735,Olomouc,17.251,49.594,355
120,Brandys nad Labem-Stara Boleslav,14.663,50.188,120
172,Vlasim,14.899,49.706,120
735,Karlovy Vary,12.886,50.221,247
355,Zatec,13.546,50.327,100
144,Napajedla,17.512,49.172,100
206,Louny,13.797,50.357,120
206,Dobris,14.167,49.781,100
426,Hlinsko,15.908,49.762,172
206,Jicin,15.351,50.438,206
296,Sternberk,17.299,49.73,120
144,Moravska Trebova,16.664,49.759,100
247,Ceska Trebova,16.447,49.902,120
511,Svitavy,16.468,49.757,247
120,Policka,16.265,49.715,100
172,Vysoke Myto,16.161,49.954,144
206,Novy Bydzov,15.491,50.242,100
426,Pisek,14.147,49.31,247
144,Horice,15.632,50.366,100
355,Marianske Lazne,12.701,49.965,172
296,Stribro,13.004,49.753,172
247,Boskovice,16.66,49.488,100
120,Trebon,14.77,49.004,120
882,Plzen,13.377,49.748,511
206,Kromeriz,17.393,49.298,120
172,Vodnany,14.175,49.149,120
735,Zlin,17.666,49.227,296
355,Brumov-Bylnice,18.022,49.092,206
144,Kraslice,12.518,50.324,120
206,Nejdek,12.729,50.322,100
206,Ricany,14.654,49.992,120
120,Slapanice,16.727,49.169,100
144,Dubnany,17.09,48.917,100
144,Chomutov,13.418,50.46,120
296,Tachov,12.634,49.795,144
296,Sedlcany,14.427,49.661,120
144,Strakonice,13.902,49.262,120
296,As,12.195,50.224,120
247,Prostejov,17.112,49.472,100
144,Cesky Tesin,18.626,49.746,100
355,Turnov,15.157,50.587,120
296,Frydlant,15.08,50.921,120
206,Rychnov nad Kneznou,16.275,50.163,172
1269,Tabor,14.658,49.414,355
247,Decin,14.214,50.783,100
426,Most,13.636,50.503,206
247,Kadan,13.271,50.376,100
247,Domazlice,12.929,49.441,206
120,Bilina,13.775,50.549,100
296,Krnov,17.704,50.089,120
247,Trest,15.482,49.291,100
172,Dacice,15.437,49.082,172
120,Pelhrimov,15.223,49.431,120
206,Kralupy nad Vltavou,14.312,50.241,100
144,Hradek nad Nisou,14.845,50.853,120
172,Ivancice,16.378,49.101,120
206,Valasske Mezirici,17.971,49.472,100
120,Telc,15.452,49.185,100
172,Havlickuv Brod,15.581,49.608,172
511,Benesov,14.687,49.782,247
1522,Ostrava,18.281,49.835,882
206,Moravske Budejovice,15.809,49.052,144
172,Humpolec,15.359,49.542,100
206,Vrchlabi,15.609,50.627,144
172,Kutna Hora,15.268,49.949,100
206,Zdar nad Sazavou,15.939,49.563,172
247,Litomerice,14.131,50.534,100
206,Litvinov,13.61,50.601,100
511,Sumperk,16.971,49.965,296
296,Prachatice,13.997,49.014,172
247,Pribram,14.01,49.691,247
1269,Usti nad Labem,14.04,50.661,426
120,Hlucin,18.192,49.898,100
355,Trebic,15.881,49.216,172
247,Kyjov,17.123,49.01,120
355,Vyskov,16.998,49.278,172
247,Tyn nad Vltavou,14.421,49.223,144
144,Rakovnik,13.733,50.105,144
120,Sobeslav,14.718,49.261,120
206,Vsetin,17.996,49.339,172
735,Klatovy,13.294,49.396,296
613,Hodonin,17.132,48.849,296
247,Blatna,13.882,49.425,144
296,Beroun,14.071,49.965,144
172,Slany,14.087,50.23,100
206,Milevsko,14.36,49.451,120
247,Kladno,14.103,50.147,172
511,Kolin,15.2,50.029,296
100000,Praha,14.417,50.085,100000
296,Varnsdorf,14.618,50.912,172
882,Hradec Kralove,15.833,50.209,426
735,Trutnov,15.912,50.562,296
355,Pardubice,15.78,50.039,144
613,Jesenik,17.205,50.229,172
172,Velke Mezirici,16.012,49.355,120
206,Jablunkov,18.765,49.577,100
120,Bruntal,17.465,49.988,120
296,Frydek-Mistek,18.348,49.686,100
120,Havirov,18.436,49.781,100
426,Odry,17.831,49.663,144
120,Zelezny Brod,15.254,50.643,100
144,Dobruska,16.16,50.292,100
