rs,name,lon,lat,r1
172,Ilukste,26.295,55.977,120
120,Sedere,26.172,55.931,100
206,Indra,27.534,55.876,172
172,Piedruja,27.446,55.797,100
144,Liepna,27.472,57.344,100
172,Ziguri,27.666,57.265,100
144,Pope,21.853,57.4,100
144,Varve,21.558,57.306,100
172,Zlekas,21.828,57.124,100
172,Uzava,21.457,57.229,100
206,Piltene,21.678,57.224,120
144,Ergeme,25.816,57.806,100
120,Lode,25.378,58.008,100
120,Vilpulka,25.233,57.963,100
735,Rujiena,25.332,57.897,296
144,Karki,25.61,57.817,100
247,Ramata,25.011,57.95,100
144,Mazsalaca,25.053,57.863,120
120,Vecate,25.135,57.795,100
247,Aloja,24.88,57.769,100
206,Ainazi,24.359,57.863,100
511,Salacgriva,24.358,57.753,206
296,Seda,25.75,57.65,120
144,Vijciems,25.955,57.585,100
172,Trikata,25.709,57.547,100
172,Launkalne,25.859,57.328,100
120,Drusti,25.857,57.231,100
206,Dzerbene,25.676,57.191,100
247,Vecpiebalga,25.816,57.061,100
206,Renceni,25.43,57.73,120
120,Straupe,24.952,57.355,100
172,Pale,24.669,57.699,100
172,Vilkene,24.608,57.609,100
144,Liepupe,24.468,57.464,100
144,Ladezers,24.697,57.423,100
172,Ledurga,24.743,57.322,120
120,Ridzene,25.429,57.264,100
172,Skujene,25.468,57.094,100
120,Giksi,25.324,57.168,100
120,Augsligatne,25.038,57.19,100
247,Nitaure,25.191,57.069,100
247,Saulkrasti,24.416,57.267,120
206,Vangazi,24.548,57.093,100
120,Birini,24.666,57.246,100
144,Adazi,24.327,57.072,100
172,Matisi,25.156,57.698,120
247,Dikli,25.091,57.597,100
144,Pociems,24.852,57.597,100
144,Dauguli,25.064,57.527,100
172,Rubene,25.257,57.468,100
247,Rauna,25.609,57.333,100
426,Kolka,22.587,57.743,172
296,Dundaga,22.354,57.509,206
613,Roja,22.811,57.504,206
296,Mersrags,23.124,57.337,144
120,Valgalciems,22.947,57.41,100
120,Tingere,22.528,57.451,100
426,Engure,23.225,57.16,172
144,Kulciems,23.034,57.27,100
144,Seme,23.129,57.045,100
296,Ance,22.023,57.513,100
172,Blazma,22.063,57.356,100
206,Spare,22.267,57.219,100
206,Renda,22.292,57.067,100
206,Ugale,22.021,57.277,206
206,Stende,22.532,57.147,100
247,Kandava,22.774,57.042,144
144,Sabile,22.571,57.048,100
247,Valdemarpils,22.592,57.372,100
120,Zaube,25.262,56.996,100
426,Ergli,25.636,56.897,206
144,Licupe,25.42,56.896,100
172,Sidgunda,24.918,56.962,120
247,Madliena,25.155,56.846,120
206,Ropazi,24.632,56.974,100
120,Kakciems,24.601,56.915,100
144,Jugla,24.819,56.896,100
206,Jaunkalsnava,25.971,56.689,100
120,Vietalva,25.768,56.737,100
206,Plavinas,25.721,56.617,100
426,Kalupe,26.543,56.097,120
144,Rozupe,26.357,56.333,100
247,Dunava,26.203,56.215,100
120,Nicgale,26.364,56.135,100
206,Mezare,26.242,56.538,120
120,Kastire,26.869,56.212,100
120,Priezmale,27.212,56.151,100
296,Malta,27.165,56.347,144
172,Birzi,25.773,56.408,100
172,Zasa,25.981,56.292,100
355,Akniste,25.747,56.162,120
120,Rubeni,25.986,56.136,100
296,Subate,25.91,56.004,100
120,Mengele,25.412,56.807,100
247,Irsi,25.592,56.791,100
