rs,name,lon,lat,r1
426,Bryne,5.653,58.734,172
144,Naerboe,5.645,58.667,100
1058,Egersund,5.999,58.448,247
1058,Kristiansand,7.999,58.147,882
247,Vennesla,7.976,58.268,100
120,Soegne,7.817,58.096,100
355,Mandal,7.455,58.029,247
355,Flekkefjord,6.665,58.295,296
613,Arendal,8.775,58.466,355
247,Grimstad,8.594,58.344,100
172,Lillesand,8.376,58.251,100
206,Notodden,9.265,59.561,172
882,Krageroe,9.413,58.872,247
511,Porsgrunn/Skien,9.614,59.179,426
172,Larvik,10.053,59.051,100
206,Sandefjord,10.224,59.131,120
296,Toensberg,10.409,59.268,296
120,Horten,10.484,59.416,100
144,Holmestrand,10.315,59.489,100
296,Kongsberg,9.651,59.671,247
426,Hoenefoss,10.257,60.166,206
355,Drammen,10.222,59.743,206
296,Aamot/Geithus,9.966,59.935,144
613,Lillehammer,10.459,61.12,247
206,Gjoevik,10.692,60.794,144
144,Raufoss,10.614,60.727,100
1826,Hamar,11.079,60.795,735
355,Elverum,11.562,60.886,206
172,Brumunddal,10.943,60.884,100
426,Kongsvinger,11.996,60.186,355
100000,Oslo,10.723,59.916,100000
296,Raaholt,11.176,60.284,120
144,Kloefta,11.136,60.074,100
511,Jessheim,11.173,60.146,206
144,Fetsund,11.161,59.928,100
120,Nesoddtangen,10.664,59.859,100
144,Droebak,10.636,59.651,100
355,Ski,10.837,59.717,172
355,Moss,10.658,59.434,144
296,Askim,11.166,59.584,144
120,Mysen,11.326,59.553,100
1269,Fredrikstad/Sarpsborg,11.106,59.28,511
355,Halden,11.386,59.122,120
120,Tranby,10.265,59.812,100
355,Sand,6.254,59.487,144
247,Hauge,6.288,58.344,120
426,Skjold,19.295,69.027,172
426,Leknes,13.629,68.146,296
206,Straumen,15.599,67.35,100
247,Straumen,11.298,63.871,100
247,Sand,11.538,60.393,120
426,Fagernes,9.237,60.988,247
172,Farsund,6.787,58.092,120
172,Skjold,5.577,59.503,100
296,Haga,5.769,60.386,144
296,Dale,5.82,60.585,172
355,Dale,5.396,61.36,144
247,Sande,5.795,61.323,100
206,Husoey,17.661,69.544,100
296,Boe,14.466,68.616,100
296,Husoey,12.096,66.503,100
2191,Foerde,5.848,61.456,882
426,Haegeland,7.742,58.384,100
206,Skjaerhalden,11.036,59.025,144
206,Moi,6.55,58.458,120
144,Liknes,6.963,58.315,120
247,Lyngdal,7.068,58.137,172
120,Vigeland,7.302,58.083,100
247,Mehamn,27.851,71.035,100
172,Kiberg,31.002,70.286,100
206,Breivikbotn,22.294,70.59,100
511,Deanusaldi,28.191,70.199,426
613,Kirkenes,30.042,69.728,247
882,Lakselv,24.947,70.053,426
511,Brekstad,9.665,63.689,296
426,Fillan,8.974,63.605,247
