rs,name,lon,lat,r1
46,Vieux-Fort,-61.697,15.949,28
986,Grand-Bourg,-61.315,15.883,230
134,Saint-Louis,-61.318,15.954,46
66,Trois-Rivieres,-61.644,15.976,66
134,Baie-Mahault,-61.586,16.267,55
134,Le Gosier,-61.491,16.206,55
55,Petit-Bourg,-61.589,16.191,46
160,Port-Louis,-61.531,16.417,55
66,Baillif,-61.746,16.021,24
100000,Basse-Terre,-61.732,15.997,100000
134,Bouillante,-61.769,16.132,55
79,Gourbeyre,-61.692,15.995,24
134,Deshaies,-61.793,16.307,55
94,Lamentin,-61.632,16.272,33
94,Pointe-Noire,-61.789,16.233,79
33,Saint-Claude,-61.697,16.027,28
24,Les Abymes,-61.504,16.271,24
112,Capesterre-Belle-Eau,-61.564,16.043,94
112,Goyave,-61.571,16.133,55
230,Pointe-a-Pitre,-61.532,16.241,192
476,Sainte-Rose,-61.697,16.333,112
94,Petit-Canal,-61.489,16.379,55
160,Saint-Francois,-61.273,16.251,66
276,Sainte-Anne,-61.385,16.225,55
331,La Desirade,-61.074,16.303,112
112,Le Moule,-61.343,16.331,66
160,Capesterre-de-Marie-Galante,-61.22,15.892,55
160,Vieux-Habitants,-61.764,16.06,66
66,Morne-a-l'Eau,-61.456,16.332,55
55,Anse-Bertrand,-61.508,16.472,39
79,Terre-de-Bas,-61.643,15.85,39
476,Terre-de-Haut,-61.581,15.867,112
