rs,name,lon,lat,r1
856,Cavan,-7.358,53.993,345
3674,Letterkenny,-7.726,54.955,856
595,Dundalk,-6.402,54.003,240
856,Drogheda,-6.348,53.714,288
414,Monaghan,-6.97,54.248,240
856,Sligo,-8.473,54.273,496
288,Portlaoise,-7.294,53.033,200
414,Longford,-7.799,53.727,200
414,Tullamore,-7.491,53.275,200
288,Edenderry,-7.051,53.343,200
414,Mullingar,-7.339,53.526,288
856,Athlone,-7.928,53.429,414
1478,Galway,-9.037,53.282,496
414,Tuam,-8.85,53.515,200
345,Loughrea,-8.564,53.199,200
595,Castlebar,-9.296,53.854,496
496,Ballina,-9.164,54.114,200
240,Roscommon,-8.19,53.631,200
100000,Dublin,-6.274,53.332,100000
240,Swords,-6.221,53.46,200
288,Balbriggan,-6.183,53.606,200
345,Newbridge,-6.797,53.18,240
288,Navan,-6.687,53.652,200
345,Wicklow,-6.045,52.981,200
288,Bray,-6.105,53.204,200
714,Arklow,-6.158,52.798,345
496,Ennis,-8.979,52.851,200
1478,Limerick,-8.62,52.661,595
345,Nenagh,-8.199,52.863,240
414,Thurles,-7.812,52.677,200
288,Carlow,-6.924,52.836,200
856,Kilkenny,-7.245,52.655,345
414,Clonmel,-7.703,52.356,240
288,Tipperary,-8.158,52.474,200
1232,Waterford,-7.116,52.252,595
345,Dungarvan,-7.632,52.092,200
414,Wexford,-6.47,52.34,345
345,Enniscorthy,-6.565,52.502,200
240,New Ross,-6.944,52.396,200
2552,Cork,-8.472,51.894,1232
288,Midleton,-8.172,51.914,200
496,Mallow,-8.653,52.142,200
288,Fermoy,-8.275,52.14,200
856,Tralee,-9.702,52.269,496
496,Killarney,-9.503,52.06,200
240,Bailieborough,-6.968,53.916,200
496,Donegal,-8.11,54.653,200
288,Ballybofey/Stranorlar,-7.767,54.805,200
288,Buncrana,-7.454,55.132,200
288,Ballyshannon,-8.189,54.502,200
240,Moville,-7.04,55.189,200
345,Glenties,-8.283,54.798,200
240,Carrick-on-Shannon,-8.091,53.947,200
240,Manorhamilton,-8.176,54.305,200
240,Ardee,-6.538,53.855,200
345,Castleblayney,-6.738,54.12,200
288,Tubbercurry,-8.728,54.055,200
240,Abbeyleix,-7.348,52.914,200
288,Birr,-7.91,53.096,200
240,Ferbane,-7.827,53.271,200
240,Athenry,-8.745,53.301,200
288,Oughterard,-9.319,53.429,200
288,Gort,-8.817,53.066,200
714,Clifden,-10.02,53.489,414
414,Kilronan,-9.673,53.118,200
345,Claremorris,-8.998,53.721,200
1478,Belmullet,-9.987,54.224,345
240,Castlereagh,-8.494,53.77,200
240,Kilcock,-6.668,53.4,200
288,Dunlavin,-6.701,53.058,200
414,Kilrush,-9.484,52.639,200
288,Ennistimon,-9.293,52.939,200
288,Newcastle West,-9.049,52.449,240
240,Kilmallock,-8.571,52.398,200
595,Roscrea,-7.797,52.958,200
240,Templemore,-7.83,52.797,200
240,Hacketstown,-6.558,52.866,200
288,Thomastown,-7.137,52.526,200
240,Piltown,-7.324,52.35,200
240,Mitchelstown,-8.269,52.269,200
345,Bantry,-9.446,51.683,200
240,Bandon,-8.734,51.746,200
240,Newmarket,-8.998,52.215,200
345,Macroom,-8.958,51.905,200
496,Skibbereen,-9.267,51.549,240
240,Ballycotton,-8.013,51.83,200
288,Dunmanway,-9.112,51.719,200
240,Skull,-9.544,51.527,200
288,Listowel,-9.485,52.446,200
496,Dingle,-10.27,52.139,288
345,Kenmare,-9.583,51.88,200
240,Milltown,-9.717,52.145,200
414,Cahersiveen,-10.225,51.946,200
345,Bunclody,-6.65,52.654,200
240,Dunmore East,-6.999,52.154,200
240,Millstreet,-9.06,52.06,200
240,Fethard,-7.692,52.468,200
414,Bunbeg,-8.302,55.063,240
240,Rosslare Harbour,-6.343,52.248,200
240,Castlepollard,-7.293,53.678,200
240,Carraroe,-9.599,53.263,200
240,Mount Bellew,-8.493,53.468,200
240,"Grange ",-8.524,54.391,200
240,Pallas Grean,-8.337,52.566,200
240,Roosky,-7.917,53.833,200
496,Keel-Dooagh,-10.113,53.973,200
240,Waterville,-10.171,51.827,200
288,Louisburgh,-9.802,53.764,200
240,Clonmany,-7.409,55.265,200
