rs,name,lon,lat,r1
2629,Saint-Georges,-51.8,3.889,1058
511,Apatou,-54.342,5.157,296
120,Mana,-53.776,5.667,120
3784,Saint-Laurent-du-Maroni,-54.028,5.504,1522
511,Saint-Élie,-53.287,4.826,355
100000,Cayenne,-52.334,4.939,100000
172,Montsinéry-Tonnegrande,-52.492,4.893,100
613,Iracoubo,-53.204,5.48,247
882,Kourou,-52.642,5.158,355
355,Macouria,-52.473,5.013,144
1269,Sinnamary,-52.958,5.378,355
172,Matoury,-52.33,4.851,100
426,Roura,-52.323,4.728,100
1269,Régina,-52.128,4.314,426
355,Ouanary,-51.671,4.209,172
247,Awala-Yalimapo,-53.907,5.736,144
1269,Saül,-53.207,3.623,511
1522,Maripasoula,-54.027,3.641,1269
882,Camopi,-52.33,3.167,613
1826,Grand-Santi,-54.381,4.273,511
511,Papaichton,-54.148,3.81,206
