rs,name,lon,lat,r1
100000,København,12.492,55.701,100000
276,Hørsholm-Rungsted,12.501,55.897,112
112,Taastrup-Høje Taastrup,12.292,55.647,55
112,Hillerød,12.313,55.934,79
24,Skanderborg-Højvangen,9.946,56.044,20
94,Vinderød Enghave-Karlsgave,12.009,55.982,94
66,Sædding,8.422,55.506,28
94,Smørumnedre,12.316,55.747,55
112,Sorø,11.559,55.437,94
94,Fredensborg,12.392,55.976,33
276,Vejen,9.129,55.474,160
331,Morsø,8.86,56.782,134
33,Hedensted,9.701,55.783,20
24,Nakskov,11.137,54.837,20
230,Sæby,10.51,57.334,94
39,Ølstykke-Ølstykke Stationby,12.186,55.771,33
276,Ribe,8.771,55.333,134
28,Rønne (Bornholm),14.706,55.107,20
571,Skagen-Vesterby,10.578,57.727,230
28,Aabenraa,9.41,55.038,20
55,Nørre Tranders,10.003,57.031,39
24,Guldborgsund,11.864,54.772,20
55,Tibberup-Espergærde,12.546,55.987,24
33,Skjern,8.504,55.945,20
230,Hirtshals,9.969,57.577,94
24,Ebeltoft,10.681,56.204,20
192,Nordborg,9.764,55.049,112
134,Gråsten,9.595,54.914,94
24,Lystrup,10.234,56.237,20
230,Hadsund-Hadsund Huse,10.117,56.718,134
55,Næsby,10.36,55.425,24
94,Abild,8.877,54.978,39
55,Fårvang,9.734,56.269,24
112,Jels,9.219,55.351,55
66,Lørslev,10.081,57.429,28
24,Allesø,10.312,55.456,20
39,Nørre Kongerslev,10.13,56.908,20
55,Rostrup,9.929,56.728,28
55,Sandager,9.93,55.328,28
79,Ejby,12.075,55.496,39
55,Ejby,11.839,55.693,28
66,Åle,9.567,55.89,20
79,Isenvad,9.201,56.1,33
160,Rødby,11.389,54.7,66
79,Hellebæk,12.546,56.077,33
24,Kildebrønde,12.261,55.61,20
79,Krunderup,8.542,56.396,33
94,Strøby Egede,12.28,55.408,46
55,Hampen,9.354,56.013,24
46,Seden Strand,10.453,55.441,33
24,Skodsbøl,9.655,54.904,20
28,Teestrup,11.888,55.329,20
94,Hørby,10.387,57.323,39
39,Skellerup,10.652,55.333,24
66,Oue,9.976,56.695,39
46,Grænge,11.769,54.775,20
24,Ræhr,8.656,57.096,20
39,Thurø By,10.677,55.051,33
46,Råsted,9.951,56.511,20
33,Levring,9.464,56.308,20
66,Ebberup,9.987,55.246,46
79,Hjordkær,9.301,55.026,39
94,Studsgård,8.908,56.092,39
46,Stenlille,11.593,55.536,39
79,Sjølund,9.533,55.403,33
46,Rinkenæs,9.562,54.892,20
33,Karlebo,12.408,55.921,33
134,Gjøl,9.732,57.068,46
112,Farstrup,9.467,56.985,79
160,Kibæk,8.863,56.029,94
94,Ødsted,9.394,55.658,39
66,Sønder Onsild,9.765,56.584,33
79,Mønsted,9.181,56.447,33
33,Svallerup,11.168,55.609,28
55,Skraverup,11.69,55.208,24
46,Rold,9.817,56.775,24
33,Hejls,9.577,55.38,20
79,Bjæverskov,12.041,55.45,39
39,Ny Nørup,9.31,55.706,33
24,Hvornum,9.667,56.597,20
46,Gevninge,11.964,55.651,24
33,Moseby,11.668,55.905,20
39,Tolne,10.313,57.487,20
33,Sønder Jernløse,11.647,55.656,20
28,Rolsted,10.572,55.321,20
39,Tange,9.584,56.351,24
66,Vonge,9.413,55.861,39
