rs,name,lon,lat,r1
4233,Górnośląski Związek Metropolitalny,18.986,50.294,1702
46,Gdańsk,18.599,54.374,24
2450,Białystok,23.142,53.132,986
24,Gdynia,18.506,54.515,20
28,Bielsko-Biała,19.031,49.811,20
24,Gliwice,18.671,50.299,20
28,Elbląg,19.41,54.169,20
94,Wałbrzych,16.278,50.792,39
94,Mysłowice,19.122,50.235,39
33,Grudziądz,18.752,53.473,20
24,Inowrocław,18.259,52.789,20
94,Kasztelanka,18.157,53.156,79
46,Nowy Sącz,20.704,49.616,20
39,Świdnica,16.484,50.846,20
331,Legionowo,20.929,52.398,134
39,Mielec,21.442,50.294,20
112,Słoneczne,14.656,53.376,55
79,Śródmieście,18.508,54.557,33
192,Kobyłka-Kobylak,21.229,52.341,112
33,Żory-Rogoźna,18.695,50.042,20
39,Radzionków-Rojca,18.89,50.394,33
24,Biała Podlaska,23.119,52.033,20
94,Wielki Kack,18.48,54.469,39
39,Starogard Gdański,18.522,53.966,20
55,Kwidzyn,18.937,53.731,24
331,Bolesławiec,15.569,51.258,276
24,Piekary Śląskie,18.948,50.384,20
28,Dzierżoniów,16.646,50.735,20
134,Olkusz,19.569,50.274,112
24,Wodzisław Śląski,18.456,50.008,20
28,Piaseczno,21.02,52.071,20
112,Psie Pole,17.125,51.152,46
55,Nowe Gulczewo,19.76,52.536,33
66,Czechowice-Dziedzice,19.006,49.918,24
79,Józefów,21.224,52.148,33
55,Bartoszowice,17.102,51.107,39
230,Sucha Beskidzka – Maków Podhalański,19.634,49.704,230
28,Biłgoraj,22.721,50.538,20
134,Halemba,18.834,50.241,28
33,Sławków - Bukowno - Bolesław,19.433,50.292,33
46,Bochnia,20.426,49.969,20
33,Radlin-Biertułtowy,18.48,50.05,24
46,Rawicz,16.855,51.608,24
134,Rabka-Zdrój,19.939,49.607,94
46,Kraśnik Fabryczny,22.16,50.96,33
39,Jósefosław,21.029,52.095,20
331,Gryfino,14.498,53.255,94
24,Myszków,19.328,50.579,20
28,Boguszowice Osiedle,18.599,50.053,28
33,Płońsk,20.376,52.627,20
331,Sulechów,15.624,52.085,134
476,Ostrów Mazowiecka,21.891,52.802,192
192,Stara Wieś,22.012,49.709,112
24,Braniewo,19.82,54.379,20
230,Ustka,16.861,54.579,94
39,Stogi,18.706,54.361,24
192,Krzeszowice,19.616,50.132,79
33,Nowy Tomyśl,16.128,52.319,20
192,Jędrzejów,20.292,50.641,134
39,Pionki,21.455,51.48,20
24,Pułtusk,21.083,52.702,20
79,Mnich,18.789,49.897,46
55,Dąbrowa Narodowa i Osiedle Stałe,19.228,50.23,28
112,Grebalów,20.056,50.096,55
79,Raszyn,20.926,52.157,46
331,Nowa Dęba,21.751,50.408,134
160,Wronki,16.385,52.706,112
112,Leśnica,16.878,51.145,79
24,Andrychów,19.353,49.862,20
276,Tłuszcz,21.441,52.433,94
112,Osiek,19.323,49.974,55
160,Aleksandrów Kujawski,18.697,52.872,112
24,Nidzica,20.424,53.363,20
55,Dąbie,14.681,53.4,20
