rs,name,lon,lat,r1
331,Біловодськ,39.579,49.201,276
55,Випасне,30.259,46.19,39
276,Решетилівка,34.074,49.563,230
112,Верхівцеве,34.248,48.481,112
160,Слов'яносербськ,38.98,48.693,94
192,Губиниха,35.254,48.809,134
571,Ічкі,34.932,45.344,276
3528,Дніпро,35.018,48.468,1419
986,Кривий Ріг,33.395,47.92,685
685,Сарни,26.608,51.333,397
230,Рудки,23.487,49.654,94
134,Шевченко,37.145,48.221,55
66,Георгіївка,39.255,48.428,28
986,Севастополь,33.54,44.592,397
397,Зарічне,26.125,51.82,276
230,Бориспіль,30.956,50.359,112
33,Знам'янка Друга,32.593,48.715,33
230,Ялта,37.273,46.958,79
397,Зеленодольськ,33.654,47.557,94
94,Вознесенка,35.46,46.87,46
230,Козача Лопань,36.184,50.335,94
230,Великі Копані,32.974,46.49,134
192,Гнівань,28.347,49.091,112
822,Олевськ,27.649,51.226,397
230,Щастя,39.23,48.737,112
276,Городниця,27.317,50.809,160
134,Докучаєвське,36.451,49.893,79
66,Андріївка,36.622,49.535,28
7312,Одеса,30.718,46.473,2450
230,Вишгород,30.49,50.586,94
66,Родакове,39.026,48.558,46
160,Козова,25.159,49.431,112
94,Печеніжин,24.889,48.514,79
79,Партеніт,34.342,44.575,33
24,Богданівка,36.11,48.502,20
397,Волочиськ,26.209,49.536,331
66,Любимівка,33.572,46.807,46
1183,Кременчук,33.434,49.078,571
1183,Первомайськ,30.844,48.039,476
94,Рубіжне,38.388,49.009,66
276,Знам'янка,32.674,48.715,230
476,Сєвєродонецьк,38.479,48.948,276
230,Лозуватка,33.292,48.064,94
230,Дебальцеве,38.418,48.341,134
571,Баштанка,32.44,47.405,230
476,Чутове,35.167,49.715,192
571,Миргород,33.61,49.965,331
986,Івано-Франківськ,24.712,48.916,571
276,Армянськ,33.692,46.109,94
94,Зоринськ,38.619,48.415,39
331,Борщів,26.04,48.802,160
33,Мирне,34.059,44.984,24
230,Новгородка,32.653,48.355,160
276,Лутугине,39.21,48.403,160
66,Безлюдівка,36.273,49.871,66
160,Овідіополь,30.435,46.253,66
134,Мішково-Погорілове,32.105,46.995,55
230,Дніпрорудне,34.991,47.382,192
160,Дубляни,24.086,49.901,55
822,Шепетівка,27.064,50.183,397
160,Турбів,28.727,49.342,112
276,Лиманське,29.97,46.666,160
134,Дружківка,37.529,48.617,94
112,Ківшарівка,37.679,49.63,55
276,Дубове,23.893,48.193,192
79,Вознесенівка,39.787,48.074,66
230,Петропавлівка,36.436,48.455,94
476,Роздільна,30.077,46.848,397
79,Буштино,23.479,48.053,55
46,Чудей,25.607,48.052,28
230,Радехів,24.643,50.279,160
192,Золоте,38.516,48.693,39
66,Калинівка,30.232,50.226,39
192,Новгород-Сіверський,33.263,52.009,134
192,Богородчани,24.538,48.807,112
230,Шумськ,26.116,50.118,160
112,Пантелеймонівка,37.973,48.203,79
94,Кипуче,38.719,48.439,46
331,Більмак,36.648,47.358,230
571,Євпаторія,33.365,45.203,476
160,Яворів,23.388,49.94,94
66,Старий Крим,37.478,47.164,55
331,Березна,31.784,51.57,160
276,Мала Виска,31.633,48.644,112
230,Пісківка,29.611,50.702,160
79,Колінківці,26.127,48.41,66
476,Южне,31.101,46.624,192
192,Володарка,29.914,49.526,160
397,Корець,27.159,50.619,230
