rs,name,lon,lat,r1
856,Suomussalmi,28.906,64.883,496
414,Ylikiiminki,26.143,65.03,200
240,Kannonkoski,25.265,62.977,200
345,Karttula,26.968,62.896,200
240,Vesanto,26.412,62.93,200
714,Viitasaari,25.859,63.077,414
496,Pielavesi,26.753,63.236,200
496,Pihtipudas,25.568,63.369,200
288,Kurkimäki,27.501,62.779,200
345,Outokumpu,29.024,62.725,288
240,Polvijärvi,29.376,62.857,200
345,Kontiolahti,29.853,62.754,200
345,Uimaharju,30.261,62.914,200
496,Juuka,29.254,63.241,240
345,Rautavaara,28.295,63.496,240
345,Nilsiä,28.085,63.204,200
240,Juankoski,28.327,63.062,200
595,Ilomantsi,30.932,62.67,414
345,Lapinlahti,27.386,63.36,200
288,Sonkajärvi,27.525,63.669,200
288,Kiuruvesi,26.615,63.652,240
288,Vieremä,27.005,63.745,200
288,Pyhäjärvi,25.972,63.677,240
496,Haapajärvi,25.326,63.752,345
240,Kärsämäki,25.763,63.98,200
345,Haapavesi,25.361,64.14,288
595,Pyhäntä,26.338,64.102,200
345,Otanmäki,27.107,64.11,200
414,Paltamo,27.832,64.406,200
288,Ristijärvi,28.213,64.504,200
414,Hyrynsalmi,28.48,64.68,200
496,Puolanka,27.657,64.874,345
496,Kestilä,26.276,64.351,200
288,Vaala,26.842,64.562,200
288,Utajärvi,26.418,64.76,200
240,Rantsila,25.648,64.51,200
345,Siikajoki,25.107,64.66,200
345,Lumijoki,25.191,64.834,200
288,Virolahti,27.707,60.584,200
288,Kärkölä,25.273,60.869,200
240,Iitti,26.34,60.891,200
240,Asikkala,25.539,61.174,200
288,Jaala,26.474,61.053,200
414,Luumäki,27.562,60.922,200
240,Lemi,27.806,61.062,200
240,Savitaipale,27.687,61.199,240
240,Ruokolahti,28.819,61.292,200
414,Padasjoki,25.276,61.356,200
595,Mäntyharju,26.879,61.417,240
414,Sysmä,25.686,61.504,200
240,Hartola,26.021,61.58,200
240,Leivonmäki,26.122,61.914,200
496,Kangasniemi,26.64,61.989,288
595,Joutsa,26.108,61.742,240
240,Korpilahti,25.558,62.016,200
288,Ristiina,27.248,61.511,200
496,Puumala,28.177,61.524,240
240,Anttola,27.647,61.584,200
288,Sulkava,28.37,61.785,200
496,Juva,27.858,61.896,200
