rs,name,lon,lat,r1
4408,Split,16.465,43.519,1773
1232,Rijeka,14.419,45.34,856
1232,Zadar,15.242,44.116,714
856,Slavonski Brod,18.014,45.161,345
345,Imotski,17.225,43.442,200
345,Novi Marof,16.333,46.178,200
496,Rab,14.777,44.752,200
240,Pakrac,17.195,45.439,200
288,Bednjica,15.977,46.288,200
345,Biograd na Moru,15.452,43.941,200
288,Bistrač,16.635,45.386,200
414,Bjelovar,16.841,45.901,414
288,Božava,14.905,44.141,200
345,Crikvenica,14.689,45.175,200
595,Čabar,14.646,45.596,200
414,Nedelišće,16.382,46.375,414
240,Dabar,16.555,43.832,200
414,Daruvar,17.224,45.594,414
240,Dobrić,17.589,45.597,200
345,Draše,15.717,46.007,200
714,Duboševica,18.69,45.888,288
714,Dubrovnik,18.097,42.65,714
414,Duga Resa,15.501,45.447,345
595,Dugopolje,16.194,44.333,240
240,Dunave,18.402,42.54,200
240,Glina,16.091,45.338,200
595,Gospić,15.377,44.545,345
345,Grmov,14.38,44.824,200
240,Gudalji,15.305,45.725,200
595,Hrvatska Kostajnica,16.541,45.228,200
345,Humac,16.758,43.142,200
345,Hvar,16.441,43.173,240
240,Ićevo,15.919,43.91,200
714,Ilok,19.379,45.222,414
240,Ist,14.766,44.274,200
240,Ivanić Grad,16.394,45.706,240
345,Jastrebarsko,15.651,45.672,200
1027,Knin,16.195,44.038,414
288,Komiža,16.09,43.045,288
856,Koprivnica,16.832,46.163,496
240,Korčula,17.137,42.956,200
345,Krapina,15.867,46.162,288
496,Krk,14.575,45.026,200
240,Krndija,18.381,45.451,200
595,Labin,14.124,45.086,200
496,Makarska,17.021,43.295,345
714,Mali Lošinj,14.476,44.528,496
1232,Metković,17.649,43.051,714
288,Našice,18.093,45.491,288
345,Nova Gradiška,17.378,45.259,345
288,Marija Bistrica,16.118,46.007,200
240,Novalja,14.884,44.558,200
288,Novska,16.979,45.341,288
714,Ogulin,15.226,45.266,496
240,Omiš,16.697,43.442,200
2552,Osijek,18.676,45.56,1478
345,Pasadur,16.823,42.766,200
288,Petrinja,16.279,45.44,288
288,Plavno,16.175,44.171,200
240,Ploče,17.433,43.056,240
240,Punta Križa,14.494,44.638,200
240,Pušća,15.636,46.118,200
414,Rovinj,13.641,45.08,414
414,Sinj,16.638,43.704,200
496,Šibenik,15.896,43.734,345
240,Topoline,18.377,45.562,200
345,Tuk Bjelopoljski,15.732,44.711,200
345,Vinkovci,18.801,45.291,200
595,Virovitica,17.384,45.833,496
288,Vrgorac,17.369,43.205,200
100000,Zagreb,15.977,45.813,100000
345,Županja,18.696,45.072,345
345,Erdut,19.062,45.525,240
496,Medulin,13.938,44.821,414
240,Pitomača,17.237,45.951,240
595,Popovača,16.628,45.568,414
240,Slatina,17.695,45.701,240
240,Borovo,18.977,45.401,200
414,Đakovo,18.415,45.314,200
1027,Umag,13.528,45.436,496
240,Babino Polje,17.551,42.736,240
288,Bansko Vrpolje,16.329,45.111,288
240,Berek,16.83,45.741,200
856,Blato,16.792,42.938,288
240,Brckovljani,16.293,45.834,200
288,Brod Moravice,14.971,45.464,200
240,Cerna,18.689,45.192,200
288,Cerovlje,14.012,45.276,200
496,Cetingrad,15.741,45.159,240
240,Civljane,16.401,43.951,200
288,Čaglin,17.989,45.351,200
288,Drenovci,18.909,44.92,200
288,Fužine,14.714,45.305,200
240,Lanišće,14.116,45.409,200
288,Lovinac,15.687,44.392,200
240,Lovreć,16.985,43.49,200
345,Marina,16.108,43.514,200
345,Milna,16.449,43.33,200
288,Novigrad,15.551,44.181,200
345,Plaški,15.367,45.077,200
1027,Plitvička Jezera,15.622,44.883,288
345,Sali,15.165,43.938,200
414,Ston,17.697,42.838,200
288,Tisno,15.641,43.798,200
345,Udbina,15.767,44.532,240
240,Unešić,16.182,43.742,200
414,Viljevo,18.064,45.751,200
345,Vir,15.084,44.302,200
240,Žakanje,15.337,45.61,200
