rs,name,lon,lat,r1
100000,Amsterdam,4.871,52.382,100000
856,Rotterdam,4.497,51.917,345
288,Den Haag,4.327,52.052,200
240,Leiden,4.47,52.17,200
2127,Eindhoven,5.457,51.445,496
288,Tilburg,5.054,51.565,200
1027,Arnhem,5.915,51.968,414
1232,Heerlen,5.983,50.906,414
240,Breda,4.772,51.593,200
240,Beverwijk/Heemskerk,4.67,52.498,200
288,Ede,5.654,52.029,200
414,Venlo,6.155,51.364,345
496,Bergen op Zoom,4.284,51.498,240
414,Vlissingen,3.579,51.459,345
240,Veendam,6.869,53.103,200
288,Middelharnis,4.156,51.756,200
240,Bergeijk,5.356,51.319,200
288,Born,5.809,51.033,200
240,Bunde,5.731,50.895,200
240,'s-Hertogenbosch,5.296,51.697,200
345,Venray,5.981,51.53,200
288,Dinteloord,4.368,51.635,200
288,Doetinchem,6.298,51.965,200
240,Uithoorn,4.827,52.244,200
240,Weert,5.701,51.251,200
240,Spijk,6.837,53.389,200
288,Putte,4.393,51.363,200
288,Vaals,6.014,50.773,200
345,Terneuzen,3.845,51.321,200
414,Leeuwarden,5.807,53.204,345
240,Eerbeek,6.062,52.104,200
240,Oostburg,3.49,51.327,200
240,Oostkapelle,3.553,51.566,200
345,Schagen,4.791,52.788,200
240,Winterswijk,6.72,51.973,200
240,Harlingen,5.437,53.17,200
240,Rekken,6.723,52.096,200
240,Baarle-Nassau,4.93,51.444,200
288,Harderwijk,5.626,52.344,200
240,Brielle,4.163,51.894,200
288,Stavoren,5.359,52.882,200
240,Overslag,3.891,51.204,200
240,Emmeloord,5.745,52.71,200
714,Enschede,6.889,52.216,496
345,West-Terschelling,5.213,53.358,200
414,Hardenberg,6.621,52.57,200
240,Hilversum,5.17,52.223,200
240,Stadskanaal,6.962,52.983,200
288,Nijmegen,5.856,51.829,200
240,Ouwerkerk,3.982,51.625,200
240,Eijsden,5.708,50.779,200
414,Assen,6.561,53.003,200
345,Sneek,5.661,53.03,200
414,Utrecht,5.111,52.099,240
496,Apeldoorn,5.957,52.211,200
595,Schiermonnikoog,6.161,53.478,200
240,Boxmeer,5.946,51.648,200
240,Barneveld,5.585,52.143,200
288,Almelo,6.661,52.356,200
345,Den Helder,4.746,52.95,240
345,Roermond,6,51.19,200
240,Winsum,6.522,53.33,200
496,Alkmaar,4.75,52.627,200
240,Heerenveen,5.937,52.948,200
240,Marum,6.264,53.146,200
240,Hoorn,5.072,52.653,200
240,Lochem,6.411,52.159,200
240,Dordrecht,4.682,51.809,200
714,Zwolle,6.108,52.52,240
240,Schore,3.999,51.463,200
345,Megchelen,6.394,51.838,200
240,Meppel,6.186,52.696,200
288,Raalte,6.269,52.385,200
240,Lopik,4.949,51.975,200
345,Lelystad,5.456,52.507,240
345,Denekamp,7.006,52.379,200
496,Tiel,5.425,51.891,200
414,Emmen,6.917,52.778,200
496,Renesse,3.773,51.732,200
1478,Groningen,6.56,53.215,856
240,Hoogeveen,6.491,52.725,200
240,Dokkum,5.997,53.325,200
288,Beilen,6.512,52.86,200
240,Bad Nieuweschans,7.21,53.182,200
240,Liessel,5.822,51.413,200
