rs,name,lon,lat,r1
100000,Tórshavn,-6.758,62.03,100000
363,Klaksvík,-6.579,62.229,147
303,Vestmanna,-7.16,62.156,147
86,Fuglafjørður,-6.806,62.247,86
1081,Vágur,-6.81,61.474,435
176,Tvøroyri,-6.804,61.555,60
72,Sørvágur,-7.302,62.075,50
60,Kollafjørður,-6.892,62.122,60
72,Leirvík,-6.715,62.215,50
176,Saltangará,-6.717,62.12,72
211,Miðvágur,-7.2,62.054,72
72,Kirkja,-6.316,62.32,50
72,Svínoy,-6.34,62.279,60
253,Viðareiði,-6.534,62.36,103
123,Hvannasund,-6.515,62.295,50
60,Kunoy,-6.669,62.295,60
60,Trøllanes,-6.784,62.362,50
103,Mikladalur,-6.763,62.335,50
86,Nes,-6.719,62.078,50
60,Skála,-6.786,62.163,50
72,Oyndarfjørður,-6.851,62.279,50
123,Gjógv,-6.942,62.326,50
253,Eiði,-7.095,62.301,103
72,Ljósá,-7.059,62.272,50
86,Norðskáli,-7,62.214,50
103,Hósvík,-6.942,62.153,50
60,Kaldbak,-6.83,62.06,50
60,Nólsoy,-6.673,62.01,50
86,Kirkjubøur,-6.792,61.954,50
72,Velbastaður,-6.854,61.983,50
86,Kvívík,-7.076,62.123,50
86,Saksun,-7.177,62.248,50
253,Mykines,-7.647,62.104,123
123,Gásadalur,-7.435,62.11,50
147,Skopun,-6.884,61.904,60
363,Sandur,-6.816,61.835,147
86,Skálavík,-6.663,61.83,60
60,Sandvík,-6.928,61.634,50
123,Hvalba,-6.952,61.604,50
60,Hov,-6.752,61.508,50
72,Lopra,-6.769,61.443,50
147,Sumba,-6.714,61.406,60
60,Skælingur,-7.006,62.095,50
72,Syðradalur,-6.912,62.019,50
303,Stóra Dímun,-6.753,61.685,72
