rs,name,lon,lat,r1
86,Bergen,5.331,60.353,50
176,Asker,10.439,59.827,86
72,Krokstadelva,10.03,59.76,72
60,Bodø,14.499,67.276,50
86,Sunde,5.614,58.962,50
253,Skedsmokorset,11.028,59.997,60
435,Bryne,5.653,58.734,176
147,Nærbø,5.645,58.667,50
1081,Egersund,5.999,58.448,253
1081,Kristiansand,7.999,58.147,901
253,Vennesla,7.976,58.268,103
147,Søgne,7.817,58.096,86
363,Mandal,7.455,58.029,211
363,Flekkefjord,6.665,58.295,303
626,Arendal,8.775,58.466,363
253,Grimstad,8.594,58.344,103
176,Lillesand,8.376,58.251,103
211,Notodden,9.265,59.561,147
1081,Kragerø,9.413,58.872,253
522,Porsgrunn/Skien,9.614,59.179,435
176,Larvik,10.053,59.051,72
103,Stavern,10.032,59,50
211,Sandefjord,10.224,59.131,103
253,Tønsberg,10.409,59.268,253
103,Horten,10.484,59.416,72
147,Holmestrand,10.315,59.489,72
303,Kongsberg,9.651,59.671,253
522,Hønefoss,10.257,60.166,211
363,Drammen,10.222,59.743,211
303,Åmot/Geithus,9.966,59.935,147
626,Lillehammer,10.459,61.12,253
253,Gjøvik,10.692,60.794,147
147,Raufoss,10.614,60.727,60
1867,Hamar,11.079,60.795,751
303,Elverum,11.562,60.886,176
176,Brumunddal,10.943,60.884,72
435,Kongsvinger,11.996,60.186,363
100000,Oslo,10.723,59.916,100000
303,Råholt,11.176,60.284,103
147,Kløfta,11.136,60.074,60
522,Jessheim,11.173,60.146,176
147,Fetsund,11.161,59.928,60
123,Nesoddtangen,10.664,59.859,50
147,Drøbak,10.636,59.651,86
103,Ås,10.791,59.664,50
363,Ski,10.837,59.717,147
363,Moss,10.658,59.434,147
303,Askim,11.166,59.584,147
123,Mysen,11.326,59.553,72
1081,Fredrikstad/Sarpsborg,11.106,59.28,522
303,Halden,11.386,59.122,123
103,Tranby,10.265,59.812,60
363,Sand,6.254,59.487,123
253,Hauge,6.288,58.344,123
435,Skjold,19.295,69.027,176
435,Leknes,13.629,68.146,303
211,Straumen,15.599,67.35,72
253,Straumen,11.298,63.871,60
60,Leknes,5.377,60.573,50
253,Sand,11.538,60.393,103
435,Fagernes,9.237,60.988,253
176,Farsund,6.787,58.092,123
176,Skjold,5.577,59.503,103
303,Haga,5.769,60.386,123
303,Dale,5.82,60.585,147
363,Dale,5.396,61.36,123
211,Sande,5.795,61.323,103
211,Husøy,17.661,69.544,86
751,Bø,14.466,68.616,103
253,Husøy,12.096,66.503,103
72,Kvål,10.282,63.231,50
103,Rød,10.943,59.075,50
86,Sætre,10.525,59.681,50
60,Søvik,6.278,62.547,60
103,Sætre,6.094,62.303,60
2240,Førde,5.848,61.456,751
435,Hægeland,7.742,58.384,72
211,Skjærhalden,11.036,59.025,123
72,Hellvik,5.88,58.48,50
211,Moi,6.55,58.458,123
123,Liknes,6.963,58.315,123
72,Feda,6.818,58.27,60
253,Lyngdal,7.068,58.137,176
