rs,name,lon,lat,r1
882,Kilpisjarvi,20.87,69.018,613
120,Geta,19.845,60.374,100
144,Odkarby,19.967,60.309,100
172,Vardoe,20.375,60.245,100
144,Harrstrom,21.179,62.72,100
247,Sottunga,20.667,60.13,100
1058,Mariehamn,19.937,60.096,882
120,Jomala,19.954,60.15,100
296,Finstroem,19.988,60.232,120
144,Lumparland,20.262,60.122,120
247,Foegloe,20.387,60.03,100
247,Bergo,21.184,62.971,100
613,Korsnaes,21.187,62.785,144
355,Kumlinge,20.779,60.259,120
206,Kaskinen,21.23,62.386,100
247,Replot,21.418,63.233,120
426,Naerpes,21.339,62.482,296
613,Braendoe,21.049,60.411,120
172,Myrkky,21.557,62.381,100
144,Petalax,21.427,62.839,100
206,Ahlainen,21.622,61.674,100
247,Luvia,21.636,61.366,100
247,Pomarkku,22.014,61.7,120
206,Kristinestad,21.373,62.274,172
511,Koekar,20.9,59.933,206
144,Sundom,21.547,63.029,100
247,Overmark,21.467,62.61,120
296,Malax,21.563,62.946,120
355,Kaaresuvanto,22.49,68.448,355
2629,Vaasa,21.682,63.091,1058
206,Portom,21.618,62.711,100
206,Metsala,21.527,62.068,144
355,Merikarvia,21.504,61.861,247
120,Petsmo,21.796,63.221,100
172,Kvevlax,21.83,63.162,100
120,Karijoki,21.702,62.305,120
206,Teuva,21.741,62.479,144
613,Uusikaupunki,21.41,60.805,247
144,Kustavi,21.356,60.546,100
735,Rauma,21.512,61.127,296
120,Pihlava,21.629,61.555,100
120,Kuivalahti,21.589,61.273,100
120,Lokalahti,21.464,60.682,100
247,Ihode,21.588,60.992,100
144,Maxmo,22.06,63.214,100
247,Laihia,22.026,62.976,144
144,Siikainen,21.822,61.879,120
296,Jurva,21.989,62.685,172
1522,Pori,21.777,61.479,735
206,Eurajoki,21.737,61.203,100
120,Vahakyro,22.107,63.054,100
206,Taivassalo,21.614,60.56,100
296,Isojoki,21.955,62.119,206
206,Laitila,21.703,60.882,100
247,Korpo,21.562,60.163,144
172,Vehmaa,21.713,60.687,100
172,Pantane,22.058,62.356,100
206,Lappi,21.838,61.102,100
144,Suontaka,21.818,60.941,100
355,Voera,22.255,63.136,100
1269,Kauhajoki,22.176,62.426,355
120,Isokyro,22.317,63,100
247,Oravais,22.38,63.304,144
120,Panelia,21.981,61.227,100
120,Munsala,22.438,63.45,100
172,Hinnerjoki,21.992,60.996,100
355,Nykarleby,22.536,63.521,120
206,Honkajoki,22.275,61.992,144
172,Rymattyla,21.954,60.376,120
296,Koski,22.193,61.47,120
206,Mynamaki,21.986,60.679,100
426,Kurikka,22.39,62.616,172
247,Harjavalta,22.138,61.314,144
296,Nagu,21.906,60.193,144
120,Jamijarvi,22.686,61.821,120
1058,Kolari,23.789,67.332,355
206,Oripaa,22.697,60.857,100
426,Eura,22.154,61.131,206
355,Sieppijarvi,23.986,67.151,120
120,Karkku,23.046,61.448,100
247,Ylistaro,22.528,62.945,144
426,Jakobstad,22.697,63.671,172
206,Jeppo,22.652,63.405,100
206,Masku,22.096,60.564,100
172,Larsmo,22.745,63.75,100
613,Kankaanpaa,22.386,61.809,296
172,Ilmajoki,22.58,62.731,100
120,Koylio,22.309,61.118,100
144,Bennaes,22.792,63.598,100
144,Kaptens,22.861,63.815,100
172,Sakyla,22.334,61.05,100
296,Karvia,22.566,62.137,206
120,Yliharma,22.793,63.146,100
1826,Turku,22.278,60.451,882
296,Alaharma,22.854,63.25,100
1269,Enontekio,23.64,68.385,355
206,Ylane,22.413,60.878,144
296,Pargas,22.314,60.306,120
296,Lavia,22.589,61.597,144
144,Paattinen,22.381,60.594,100
247,Jalasjarvi,22.768,62.49,172
172,Kiikoinen,22.577,61.453,120
882,Seinajoki,22.85,62.787,511
172,Kronoby,23.036,63.728,100
613,Muonio,23.684,67.955,426
172,Esse,23.051,63.594,100
144,Lieto,22.457,60.505,100
1826,Kokkola,23.134,63.839,735
735,Kauhava,23.038,63.101,120
247,Lapua,23.013,62.965,144
172,Aetsa,22.699,61.284,100
120,Riskunmaki,22.978,62.633,100
355,Huittinen,22.695,61.18,144
426,Aura,22.587,60.647,120
120,Vampula,22.691,61.026,100
144,Kortesjarvi,23.152,63.299,100
296,Dalsbruk,22.501,60.02,144
735,Ylitornio,23.673,66.322,355
120,Aavasaksa,23.699,66.378,100
120,Koura,23.092,62.715,100
172,Peraseinajoki,23.064,62.564,100
511,Parkano,23.016,62.002,206
296,Paimio,22.699,60.45,100
144,Kyro,22.755,60.701,100
247,Nedervetil,23.338,63.702,100
144,Tarvasjoki,22.737,60.585,100
511,Sastamala,22.901,61.35,206
206,Sauvo,22.692,60.345,100
172,Alastaro,22.863,60.954,100
206,Marinkainen,23.436,63.944,100
296,Mouhijarvi,23.008,61.512,120
247,Kimito,22.729,60.166,144
172,Kalvia,23.464,63.86,120
206,Ikaalinen,23.075,61.765,100
355,Kihnio,23.178,62.202,172
1058,Pello,23.966,66.776,355
144,Mellila,22.92,60.78,100
355,Evijarvi,23.477,63.368,100
144,Kankaanpaa,23.432,63.009,144
426,Raattama,24.22,68.138,172
247,Akaslompolo,24.167,67.603,206
296,Hameenkyro,23.193,61.647,144
296,Himanka,23.651,64.062,120
355,Loimaa,23.043,60.853,247
144,Karvala,23.542,63.143,100
355,Karunki,24.025,66.035,144
120,Matilda,22.91,60.215,100
247,Karis,23.666,60.072,100
172,Punkalaidun,23.113,61.113,120
172,Nokia,23.512,61.489,100
247,Urjala,23.557,61.079,100
355,Somero,23.524,60.625,144
355,Killinkoski,23.889,62.398,120
296,Pyhajoki,24.258,64.468,206
247,Kaukonen,24.906,67.481,144
296,Kuortane,23.508,62.807,172
511,Tervola,24.811,66.087,247
296,Sievi,24.514,63.908,144
144,Svarta,23.869,60.138,100
206,Koski Tl,23.139,60.655,144
426,Kaustinen,23.708,63.554,247
355,Hanko,22.978,59.831,172
172,Tottijarvi,23.343,61.4,100
613,Salo,23.134,60.388,355
355,Alavus,23.61,62.585,296
355,Pernio,23.132,60.204,144
247,Tornio,24.177,65.844,144
144,Veteli,23.79,63.473,100
296,Kuusjoki,23.217,60.519,100
144,Ypaja,23.281,60.805,100
296,Kalajoki,23.952,64.255,247
172,Rayrinki,23.819,63.374,100
247,Lankojarvi,24.365,66.735,144
355,Kannus,23.927,63.895,172
206,Ullava,23.896,63.705,120
206,Humppila,23.366,60.929,120
120,Kajala,23.27,60.433,100
355,Vimpeli,23.826,63.16,120
120,Muurla,23.276,60.349,100
426,Alajarvi,23.813,63,296
144,Luoma-aho,23.852,63.09,100
144,Yppari,24.099,64.407,100
206,Lappohja,23.244,59.899,100
144,Tenala,23.301,60.059,100
172,Arpela,24.392,66.017,120
355,Virrat,23.773,62.24,247
296,Kuru,23.723,61.879,120
144,Lehtimaki,23.945,62.82,100
120,Eskola,24.165,63.912,100
172,Rautio,24.211,64.075,100
511,Forssa,23.615,60.812,296
296,Meltosjarvi,24.623,66.534,247
172,Kiikala,23.552,60.461,100
2629,Tampere,23.769,61.5,882
296,Levi,24.801,67.805,120
735,Ekenaes,23.458,59.974,247
355,Lempaala,23.755,61.336,120
206,Visuvesi,23.923,62.125,100
206,Halsua,24.174,63.457,144
206,Kammenniemi,23.833,61.626,100
144,Alavieska,24.306,64.167,100
120,Pojo,23.528,60.098,100
120,Vuores,23.808,61.435,100
206,Toholampi,24.248,63.773,120
1269,Kemi,24.572,65.741,511
120,Asemakyla,24.289,63.977,100
206,Liedakkala,24.599,65.863,100
120,Ajos,24.582,65.675,100
172,Teralahti,23.899,61.708,100
296,Ahtari,24.08,62.556,172
735,Kittila,24.911,67.655,511
882,Raahe,24.504,64.69,355
296,Toijala,23.862,61.172,100
172,Merijarvi,24.447,64.295,120
206,Soini,24.213,62.873,172
296,Ruovesi,24.072,61.983,172
172,Karjalohja,23.72,60.242,100
144,Maksniemi,24.758,65.677,100
144,Kangasala,24.034,61.469,100
120,Suinula,24.068,61.546,100
144,Sammatti,23.816,60.322,120
144,Valkeakoski,24.021,61.28,120
735,Ylivieska,24.546,64.072,426
120,Myllymaki,24.278,62.522,100
296,Perho,24.423,63.214,172
355,Hailuoto,24.734,65.016,172
206,Siikajoenkyla,24.763,64.814,120
144,Saukkola,23.961,60.384,100
613,Lohja,24.082,60.248,355
172,Pusula,23.987,60.471,100
247,Renko,24.291,60.894,100
172,Kalvola,24.143,61.096,120
511,Karstula,24.803,62.878,206
120,Lampinsaari,25.129,64.41,100
296,Hauho,24.567,61.17,144
120,Tuulos,24.817,61.113,100
296,Kyyjarvi,24.563,63.045,120
172,Klaukkala,24.743,60.396,120
296,Kannonkoski,25.265,62.977,100
120,Hirsila,24.322,61.742,100
247,Riipi,26.039,67.339,144
120,Jamsankoski,25.169,61.926,100
296,Lammi,25.008,61.08,144
172,Kiiminki,25.771,65.131,120
206,Lestijarvi,24.667,63.525,100
100000,Helsinki,24.939,60.17,100000
247,Palkane,24.275,61.333,100
247,Inga,24.008,60.052,144
120,Haapamaki,24.457,62.248,100
120,Juupajoki,24.372,61.798,100
426,Oulainen,24.825,64.27,172
511,Orivesi,24.356,61.68,206
296,Sahalahti,24.334,61.478,120
206,Kolho,24.493,62.141,100
426,Karkkila,24.229,60.534,144
355,Vihanti,24.995,64.483,144
426,Asemakyla,25.207,65.604,206
206,Nivala,24.963,63.925,172
355,Mantta,24.619,62.032,172
355,Siikajoki,25.107,64.66,144
355,Reisjarvi,24.935,63.606,144
511,Hameenlinna,24.444,60.998,355
172,Vihti,24.327,60.411,100
296,Muurola,25.382,66.378,120
206,Nummela,24.312,60.331,100
613,Keuruu,24.706,62.258,296
172,Pylkonmaki,24.805,62.667,172
120,Lumijoki,25.191,64.834,100
296,Loppi,24.441,60.718,100
296,Kinnula,24.968,63.368,172
247,Multia,24.797,62.41,120
172,Layliainen,24.463,60.623,100
1269,Karigasniemi,25.855,69.398,426
172,Luopioinen,24.659,61.363,144
120,Kiviniemi,25.336,65.117,100
296,Haukipudas,25.347,65.175,120
296,Ii,25.374,65.318,120
206,Kirkkonummi,24.433,60.124,172
120,Otalampi,24.494,60.401,100
206,Langelmaki,24.789,61.729,100
247,Halli,24.831,61.862,120
120,Etelainen,24.683,61.072,100
120,Tervakoski,24.631,60.814,100
120,Turenki,24.655,60.923,100
247,Kivijarvi,25.077,63.12,172
144,Kolmiranta,24.521,60.265,100
247,Liminka,25.434,64.809,172
9412,Oulu,25.48,65.01,3154
3154,Rovaniemi,25.717,66.499,1269
120,Vesikari,25.474,64.863,100
296,Haapavesi,25.361,64.14,206
511,Haapajarvi,25.326,63.752,172
172,Riihimaki,24.762,60.738,100
120,Rajamaki,24.761,60.527,100
120,Nurmijarvi,24.814,60.466,100
206,Saarijarvi,25.259,62.709,172
247,Petajavesi,25.179,62.26,144
296,Hyvinkaa,24.866,60.638,120
120,Tyrnava,25.65,64.764,100
247,Rantsila,25.648,64.51,206
882,Jamsa,25.196,61.866,355
355,Yli-Ii,25.835,65.371,144
247,Kuhmoinen,25.176,61.559,144
144,Hausjarvi,25.03,60.787,100
355,Pihtipudas,25.568,63.369,206
120,Tikkakoski,25.647,62.391,100
247,Uurainen,25.438,62.501,100
735,Viitasaari,25.859,63.077,355
120,Hameenkoski,25.154,61.023,100
2191,Sodankyla,26.589,67.418,735
1058,Ranua,26.516,65.927,355
355,Laukaa,25.951,62.414,144
120,Sumiainen,26.047,62.661,100
247,Utajarvi,26.418,64.76,144
355,Orimattila,25.733,60.805,120
296,Vantaa,25.043,60.292,100
247,Leivonmaki,26.122,61.914,144
613,Jarvenpaa,25.087,60.475,144
206,Nastola,25.947,60.942,120
511,Heinola,26.035,61.205,206
355,Padasjoki,25.276,61.356,144
120,Kuohu,25.453,62.266,100
247,Karsamaki,25.763,63.98,172
144,Kerava,25.103,60.405,100
144,Ohkola,25.139,60.566,100
247,Pulkkila,25.863,64.266,144
120,Salinkaa,25.232,60.712,100
296,Karkola,25.273,60.869,120
426,Muhos,25.992,64.806,206
247,Korpilahti,25.558,62.016,100
172,Piippola,25.962,64.177,100
247,Mantsala,25.321,60.636,144
735,Aanekoski,25.708,62.608,296
426,Ylikiiminki,26.143,65.03,144
247,Muurame,25.675,62.129,100
206,Konginkangas,25.805,62.781,144
172,Soderkulla,25.327,60.301,100
296,Pyhajarvi,25.972,63.677,247
144,Pornainen,25.373,60.477,100
247,Asikkala,25.539,61.174,144
1826,Jyvaskyla,25.748,62.242,735
247,Luhanka,25.701,61.796,144
511,Sysma,25.686,61.504,206
120,Pukkila,25.578,60.646,100
1269,Lahti,25.656,60.983,613
247,Kestila,26.276,64.351,120
1269,Utsjoki,27.015,69.896,735
172,Askola,25.6,60.529,100
144,Pennala,25.705,60.894,100
613,Pyhanta,26.338,64.102,172
296,Porvoo,25.665,60.392,247
426,Inari,27.028,68.906,206
206,Toivakka,26.083,62.098,144
296,Luosto,26.917,67.157,172
247,Hartola,26.021,61.58,120
206,Vierumaki,25.93,61.105,100
247,Myrskyla,25.85,60.671,100
206,Keitele,26.342,63.18,144
206,Lievestuore,26.201,62.262,120
511,Joutsa,26.108,61.742,247
247,Konnevesi,26.286,62.628,172
144,Koskenkyla,25.933,60.499,100
247,Vesanto,26.412,62.93,206
144,Salmela,26.055,60.748,100
206,Frimans,25.997,60.391,100
247,Kiuruvesi,26.615,63.652,206
144,Liljendal,26.055,60.574,100
144,Tervo,26.761,62.957,100
206,Kuortti,26.394,61.422,100
296,Hankasalmi,26.434,62.39,120
120,Hirvensalmi,26.774,61.643,120
1269,Iisalmi,27.19,63.565,511
613,Vaala,26.842,64.562,172
120,Nenonpelto,27.116,62.371,100
120,Inkeroinen,26.835,60.702,100
613,Sukeva,27.434,63.87,144
144,Otava,27.076,61.647,100
144,Hankasalmen asema,26.48,62.302,100
1058,Pudasjarvi,26.999,65.36,355
511,Saariselka,27.416,68.42,206
206,Lapinjarvi,26.2,60.626,100
120,Pukaro,26.238,60.678,100
511,Pielavesi,26.753,63.236,206
426,Loviisa,26.225,60.458,206
7844,Ivalo,27.539,68.66,1058
247,Iitti,26.34,60.891,144
206,Pertunmaa,26.482,61.508,144
120,Vuolijoki,27,64.182,100
735,Kemijarvi,27.397,66.721,511
426,Kangasniemi,26.64,61.989,296
296,Jaala,26.474,61.053,120
296,Vierema,27.005,63.745,120
172,Elimaki,26.45,60.72,120
426,Pelkosenniemi,27.516,67.111,296
120,Rautalampi,26.838,62.621,100
355,Otanmaki,27.107,64.11,172
144,Siskeli,27.786,68.708,100
355,Karttula,26.968,62.896,206
120,Tuovilanlahti,27.111,63.23,100
511,Kouvola,26.701,60.87,296
613,Mantyharju,26.879,61.417,247
426,Suonenjoki,27.119,62.626,247
206,Myllykoski,26.79,60.764,100
296,Pieksamaki,27.149,62.299,247
206,Maaninka,27.303,63.153,144
120,Utti,26.923,60.883,100
355,Lapinlahti,27.386,63.36,144
511,Puolanka,27.657,64.874,355
206,Haukivuori,27.209,62.02,206
296,Sonkajarvi,27.525,63.669,120
247,Tuohikotti,27.06,61.09,144
1058,Kotka,26.947,60.468,613
144,Alapitka,27.542,63.199,100
613,Savukoski,28.158,67.292,206
613,Mikkeli,27.272,61.69,511
1826,Kajaani,27.726,64.225,882
206,Kaipainen,27.125,60.898,100
296,Ristiina,27.248,61.511,120
296,Kurkimaki,27.501,62.779,100
247,Jappila,27.433,62.38,100
120,Sorsakoski,27.66,62.45,100
172,Klamila,27.464,60.517,100
613,Varkaus,27.856,62.318,426
247,Lemi,27.806,61.062,100
355,Paltamo,27.832,64.406,144
172,Virtasalmi,27.463,62.133,120
355,Siilinjarvi,27.665,63.074,144
247,Hamina,27.193,60.569,100
613,Posio,28.167,66.111,355
144,Varpaisjarvi,27.758,63.359,144
3784,Kuopio,27.681,62.893,735
172,Toivala,27.72,62.987,100
206,Suomenniemi,27.448,61.329,120
735,Taivalkoski,28.237,65.576,355
296,Leppavirta,27.79,62.491,120
144,Kontiomaki,28.108,64.336,100
247,Anttola,27.647,61.584,144
426,Luumaki,27.562,60.922,206
296,Ristijarvi,28.213,64.504,120
296,Joroinen,27.824,62.181,120
120,Tahko,28.041,63.295,100
247,Savitaipale,27.687,61.199,172
296,Nilsia,28.085,63.204,144
511,Juva,27.858,61.896,206
206,Vehmersalmi,28.026,62.762,144
511,Salla,28.671,66.831,355
172,Miehikkala,27.696,60.668,100
120,Jurvala,27.764,60.954,100
511,Virolahti,27.707,60.584,206
172,Melalahti,28.163,62.914,100
355,Sotkamo,28.388,64.133,247
120,Muuruvesi,28.204,63.015,100
