rs,name,lon,lat,r1
426,Malacky,17.018,48.436,144
247,Zavod,17.031,48.546,100
247,Gbely,17.122,48.716,100
296,Skalica,17.225,48.845,120
172,Stupava,17.034,48.274,100
120,Laksarska Nova Ves,17.182,48.579,100
120,Rohoznik,17.17,48.457,100
100000,Bratislava,17.119,48.154,100000
511,Senica,17.369,48.681,247
247,Pezinok,17.268,48.289,120
355,Nove Mesto nad Vahom,17.831,48.757,120
172,Hlohovec,17.802,48.429,120
247,Smolenice,17.431,48.506,100
120,Kamenicna,18.038,47.819,100
613,Nove Zamky,18.165,47.985,247
172,Myjava,17.57,48.757,100
247,Samorin,17.314,48.028,120
120,Senec,17.398,48.22,100
172,Kosariska,17.588,48.672,100
144,Cifer,17.491,48.317,100
426,Trnava,17.589,48.38,247
144,Velke Kostolany,17.723,48.51,100
247,Piestany,17.831,48.595,172
247,Dunajska Streda,17.614,47.997,206
172,Sered,17.733,48.286,100
735,Trencin,18.06,48.899,355
144,Dubnica nad Vahom,18.169,48.961,100
355,Sala,17.874,48.152,144
144,Velky Meder,17.77,47.857,100
172,Mocenok,17.931,48.232,100
355,Cicov,17.767,47.77,100
172,Prasice,18.108,48.642,100
120,Svinna,18.163,48.786,100
144,Vycapy-Opatovce,18.083,48.411,100
120,Belusa,18.328,49.064,100
172,Neded,17.971,48.019,100
511,Topolcany,18.175,48.559,172
613,Nitra,18.085,48.308,511
247,Makov,18.48,49.37,120
144,Banovce nad Bebravou,18.26,48.721,100
172,Kolarovo,17.988,47.913,100
206,Povazska Bystrica,18.442,49.116,144
172,Bytca,18.56,49.223,100
172,Partizanske,18.374,48.625,100
206,Surany,18.179,48.088,100
206,Cicmany,18.516,48.955,100
206,Vrable,18.306,48.244,120
511,Komarno,18.127,47.759,172
144,Mana,18.287,48.153,100
144,Hurbanovo,18.192,47.873,100
206,Turcianske Teplice,18.864,48.861,120
144,Skalite,18.899,49.496,100
296,Zlate Moravce,18.398,48.383,120
247,Cadca,18.786,49.437,172
120,Ziar nad Hronom,18.85,48.592,120
172,Zeliezovce,18.659,48.051,144
2191,Zilina,18.74,49.224,882
296,Sahy,18.947,48.07,206
172,Kysucke Nove Mesto,18.786,49.301,100
144,Velke Lovce,18.338,48.06,100
144,Pravenec,18.651,48.858,100
206,Prievidza,18.626,48.773,206
120,Marcelova,18.291,47.787,100
120,Bardonovo,18.421,48.111,100
206,Klastor pod Znievom,18.805,48.973,100
120,Prochot,18.707,48.612,100
120,Nova Bystrica,19.008,49.344,120
511,Levice,18.607,48.219,206
296,Martin,18.921,49.065,120
206,Svodin,18.498,47.915,120
120,Nova Dedina,18.634,48.275,100
120,Zarnovica,18.718,48.483,100
172,Pukanec,18.721,48.353,100
144,Kremnica,18.918,48.705,100
120,Zazriva,19.15,49.271,100
120,Kamenin,18.642,47.886,100
247,Banska Stiavnica,18.893,48.459,100
296,Novot,19.266,49.428,100
144,Pastovce,18.752,47.969,100
355,Sturovo,18.72,47.799,296
206,Dolny Kubin,19.296,49.209,100
144,Hrustin,19.35,49.324,100
882,Banska Bystrica,19.147,48.736,355
172,Hontianske Nemce,18.99,48.286,100
172,Ruzomberok,19.304,49.082,172
355,Zvolen,19.125,48.576,120
172,Krupina,19.064,48.358,100
144,Rabca,19.48,49.481,100
144,Namestovo,19.482,49.407,100
206,Liptovska Luzna,19.331,48.935,120
120,Lucky,19.403,49.128,100
613,Tvrdosin,19.555,49.337,120
172,Vinica,19.121,48.117,100
144,Brusno,19.387,48.791,120
247,Detva,19.42,48.56,172
296,Liptovsky Mikulas,19.613,49.084,296
120,Demanovska Dolina,19.58,48.971,100
296,Velky Krtis,19.349,48.209,172
144,Tornala,20.328,48.423,144
247,Brezno,19.644,48.806,206
120,Sirk,20.1,48.62,100
206,Divin,19.536,48.449,100
120,Cierny Balog,19.65,48.747,100
296,Spisska Bela,20.457,49.188,120
172,Detvianska Huta,19.593,48.567,100
511,Roznava,20.53,48.658,247
120,Henclova,20.587,48.785,100
206,Kovacovce,19.456,48.091,100
120,Celare,19.491,48.142,100
120,Trenc,19.578,48.224,100
172,Polomka,19.854,48.852,100
735,Lucenec,19.666,48.329,296
206,Poltar,19.794,48.432,100
120,Tisovec,19.942,48.681,100
206,Strba,20.083,49.052,120
120,Velke Dravce,19.839,48.346,100
247,Hnusta,19.954,48.58,100
206,Radzovce,19.828,48.219,100
206,Zdiar,20.261,49.271,120
144,Spisske Hanusovce,20.344,49.333,100
355,Revuca,20.115,48.686,206
144,Telgart,20.188,48.852,100
247,Rimavska Sobota,20.019,48.384,172
882,Poprad,20.31,49.055,511
144,Vernar,20.271,48.918,100
144,Velky Blh,20.114,48.447,100
172,Hostice,20.066,48.238,120
120,Jelsava,20.236,48.631,100
296,Dobsina,20.365,48.82,120
120,Kunova Teplica,20.38,48.611,100
247,Plesivec,20.405,48.547,100
144,Mnisek nad Popradom,20.716,49.414,100
172,Levoca,20.589,49.026,100
296,Stara Lubovna,20.691,49.303,247
144,Kral,20.345,48.33,100
247,Spisska Nova Ves,20.568,48.943,144
172,Nalepkovo,20.618,48.843,100
172,Hrhov,20.749,48.607,100
735,Bardejov,21.276,49.292,247
2629,Kosice,21.26,48.724,2191
144,Durkov,21.447,48.708,100
144,Vranov nad Toplou,21.686,48.888,120
120,Smolnik,20.74,48.729,100
120,Krompachy,20.874,48.911,120
120,Lipany,20.962,49.155,100
172,Malcov,21.062,49.305,120
206,Prakovce,20.901,48.817,100
144,Petrova,21.119,49.387,100
172,Medzev,20.888,48.702,100
172,Sabinov,21.096,49.103,100
296,Moldava nad Bodvou,21.001,48.614,120
144,Kosicka Bela,21.107,48.805,100
172,Zborov,21.31,49.368,100
144,Vysna Polianka,21.348,49.43,100
511,Presov,21.24,48.998,206
144,Raslavice,21.318,49.149,100
144,Kurima,21.455,49.226,100
206,Svidnik,21.57,49.307,144
120,Cana,21.326,48.608,100
247,Kecerovce,21.415,48.827,100
296,Giraltovce,21.516,49.112,144
144,Cervenica,21.45,48.888,100
144,Hanusovce nad Toplou,21.499,49.024,100
172,Krajna Bystra,21.677,49.384,100
120,Kuzmice,21.568,48.582,100
120,Michalany,21.621,48.514,100
613,Kralovsky Chlmec,21.976,48.421,120
426,Medzilaborce,21.901,49.271,172
120,Baskovce,21.838,49.033,100
144,Jovsa,22.092,48.818,100
296,Trebisov,21.721,48.623,120
355,Humenne,21.908,48.937,144
144,Vyrava,22.005,49.192,100
144,Streda nad Bodrogom,21.758,48.38,120
144,Brehov,21.82,48.488,100
511,Michalovce,21.92,48.756,355
355,Papin,22.059,49.092,100
172,Snina,22.152,48.988,120
247,Velke Kapusany,22.078,48.554,144
144,Sobrance,22.178,48.742,144
172,Bezovce,22.151,48.632,100
