rs,name,lon,lat,r1
39,Strande,8.162,56.568,20
79,Agger,8.236,56.782,33
39,Nees,8.213,56.395,33
66,Vedersoe,8.205,56.234,24
46,Noerre Fjand,8.159,56.33,20
134,Oerum,8.332,56.816,55
192,Tim,8.314,56.192,66
331,Hanstholm,8.624,57.107,134
24,Flovlev,8.511,56.637,20
79,Ferring,8.125,56.526,39
39,Trans,8.125,56.499,20
134,Harbooere,8.176,56.621,55
112,Thyboroen,8.201,56.697,94
46,Fjaltring,8.139,56.479,33
33,Vandborg,8.174,56.546,24
33,Dybe,8.17,56.512,20
94,Thorsminde,8.13,56.375,55
33,Krik,8.278,56.771,20
55,Klinkby,8.228,56.559,39
39,Vedersoe Klit,8.133,56.257,20
39,Bonnet,8.225,56.519,20
134,Ramme,8.219,56.49,39
55,Boevlingbjerg,8.203,56.439,46
112,Noerre Vorupoer,8.367,56.957,66
79,Stenbjerg,8.358,56.922,28
39,Hovvig,8.118,56.136,28
46,Vestervig,8.317,56.76,39
33,Soendervig,8.111,56.103,28
66,Soender Nissum,8.185,56.308,55
46,Husby,8.18,56.278,24
66,Svankaer,8.36,56.847,24
24,Lodbjerg Hede,8.144,56.148,20
39,Gjellerodde,8.283,56.578,20
24,Noerhede,8.208,56.319,20
39,Lomborg,8.267,56.501,24
28,Faare,8.263,56.453,28
134,Hvide Sande,8.126,56.016,55
28,Helligsoe,8.346,56.702,20
24,Gettrup,8.357,56.721,20
66,Kloster,8.177,56.119,28
24,Rom By,8.306,56.514,20
55,Bedsted,8.399,56.81,28
66,Stadil,8.215,56.199,28
134,Klitmoeller,8.482,57.043,66
66,Staby,8.243,56.264,39
46,Noerhaa,8.443,56.901,24
331,Hurup,8.408,56.748,112
66,Ydby,8.397,56.713,28
46,Soenderhaa,8.45,56.869,20
134,Baekmarksbro,8.31,56.415,55
24,Refs,8.418,56.738,20
24,Hassing,8.451,56.825,20
28,Tim Kirkeby,8.257,56.207,20
46,Jannerup,8.493,56.946,20
28,Tvind Skolerne,8.281,56.256,20
24,Aarup,8.484,56.894,20
55,Vang,8.512,56.986,33
94,Bjerregaard,8.163,55.865,39
39,Fabjerg,8.383,56.525,20
331,Ringkoebing,8.245,56.087,230
39,Heltborg,8.456,56.755,20
46,Visby,8.469,56.792,33
46,Hundborg,8.511,56.925,24
134,Vemb,8.334,56.348,55
55,Moeborg,8.351,56.39,20
55,Villerslev,8.487,56.819,20
24,Hoerdum,8.499,56.85,20
192,Ulfborg,8.322,56.278,134
28,Blaavand,8.089,55.556,20
66,Hee,8.281,56.147,33
28,Doverodde,8.468,56.72,20
66,Noerre Nissum,8.415,56.545,46
55,Lyngs,8.452,56.665,33
66,Vejers Strand,8.123,55.631,66
39,Ulfborg Kirkeby,8.339,56.299,20
79,Snedsted,8.531,56.895,66
39,Graerup Strand,8.138,55.651,20
94,Nymindegab,8.197,55.816,39
66,Henne Strand,8.175,55.742,55
94,Boddum,8.483,56.707,33
39,Vester Vandet,8.583,57.011,33
94,Koldby,8.533,56.847,39
66,Sjoerring,8.578,56.947,39
28,Kallerup,8.571,56.92,20
230,Oksby,8.137,55.544,79
46,No,8.323,56.111,28
46,Velling,8.316,56.052,33
55,Gudum,8.467,56.518,24
46,Thorsted,8.615,56.973,20
79,Bur,8.428,56.366,28
39,Loennestak,8.243,55.79,20
28,Skyum,8.574,56.836,20
24,Raehr,8.656,57.096,20
192,Hvidbjerg,8.522,56.65,79
112,Karby,8.561,56.756,39
46,Skjoldborg,8.608,56.907,24
112,Oesterild,8.84,57.029,55
55,Hover,8.432,56.143,24
94,Hejnsvig,8.992,55.69,46
276,Struer,8.595,56.492,112
55,Amtoft,8.939,57.007,24
46,Vester Nebel,8.547,55.538,28
134,Noerre Nebel,8.291,55.773,112
33,Oese,8.654,55.646,20
46,Vigsoe,8.717,57.096,28
55,Fousing,8.523,56.465,28
33,Bork Havn,8.284,55.847,20
28,Enderupskov,8.949,55.284,28
94,Bording,9.266,56.146,46
33,Oesterboelle,9.453,56.706,20
28,Groenhoej,9.668,57.324,24
24,Billum,8.333,55.62,20
24,Vilsund Vest,8.616,56.879,24
33,Soenderby,8.731,56.684,20
112,Raekker Moelle,8.55,56.021,46
39,Toedsoe,8.811,56.834,33
112,Sejerslev,8.866,56.925,33
94,Torsted,8.415,56.2,46
331,Varde,8.464,55.627,94
79,Uglev,8.545,56.611,33
79,Tved,8.683,57.057,33
94,Nors,8.673,57.018,55
39,Stausoe,8.268,55.735,33
33,Mejls,8.512,55.675,20
39,Tarp,8.469,55.526,24
24,Skinnerup,8.666,56.986,20
55,Linde,8.491,56.421,24
66,Oddesund Nord,8.544,56.582,24
66,Vesterballe,8.216,55.556,39
33,Rettrup,8.895,56.571,20
39,Soender Bork,8.303,55.811,20
46,Hodde,8.65,55.698,20
66,Troldhede,8.747,55.996,46
33,Noerre Bork,8.315,55.833,24
66,Krusbjerg,8.705,55.778,33
55,Hem,8.966,56.596,28
55,Herrup,8.92,56.411,33
112,Aarre,8.66,55.573,39
66,Taebring,8.622,56.789,20
46,Lyby,9.011,56.636,24
28,Resenstad,8.539,56.518,20
33,Faaborg,8.737,55.589,24
79,Vridsted,9.014,56.447,46
79,Goettrup,9.208,57.05,33
112,Lem,8.392,56.031,55
46,Rakkeby,8.623,56.766,20
79,Stauning,8.37,55.961,55
28,Mogenstrup,9.113,56.684,20
112,Idom,8.488,56.331,55
24,Raahede,8.694,55.266,20
28,Ullerup,9.248,57.014,20
39,Sjoerup,9.081,56.431,28
24,Aggersborg,9.258,56.995,20
55,Oelstrup,8.425,56.115,39
33,Malle,9.238,56.916,20
55,Oester Vedsted,8.733,55.313,20
55,Faarbaek,9.074,56.368,39
28,Laanum,9.107,56.449,20
66,Hoegild,8.988,56.062,33
79,Broens,8.722,55.196,28
134,Oksboel,8.273,55.635,94
822,Thisted,8.691,56.953,331
39,Skast,8.696,55.058,20
66,Humlum,8.564,56.539,24
39,Hoejmark,8.411,56.05,20
28,Tambohuse,8.595,56.633,20
39,Froelund,9.084,56.16,24
39,Alstrup,9.268,56.702,20
33,Stenderup,8.877,55.448,24
66,Brund,8.707,56.985,24
28,Fandrup,9.299,56.763,20
39,Abterp,8.773,55.082,20
79,Faurholt,9.132,56.181,20
33,Varming,8.856,55.315,20
79,Blaahoej,9.039,55.876,46
33,Harres,8.773,55.058,20
160,Sundby,8.676,56.875,66
55,Virksund,9.282,56.603,28
39,Naur,8.523,56.376,20
79,Fasterholt,9.104,56.007,46
55,Oesterby,8.769,54.973,28
79,Tranum,9.465,57.133,33
46,Oester Vroegum,8.293,55.657,20
33,Nebel,9.003,55.648,24
94,Bredebro,8.818,55.062,66
46,Okslund,9.016,55.593,20
94,Ulbjerg,9.343,56.628,46
39,Romlund,9.304,56.482,24
46,Noerre Rind,9.341,56.582,24
66,Lindknud,9.022,55.566,55
28,Kaastrup,8.731,57.027,20
79,Isenvad,9.201,56.1,33
66,Broerup,9.03,55.488,46
46,Hillerslev,8.73,57.014,24
33,Dragstrup,8.672,56.822,24
24,Store Ajstrup,9.505,56.951,24
39,Skrae,9.309,56.301,20
33,Borup,9.505,56.921,20
112,Hemmet,8.368,55.85,66
79,Noerre Loegum,8.949,55.111,33
79,Krunderup,8.542,56.396,33
46,Redsted,8.651,56.743,33
46,Uhe,9.188,55.788,24
192,Loegumkloster,8.961,55.062,112
66,Dejbjerg,8.419,56,24
28,Lydum,8.354,55.797,24
55,Jegind,8.624,56.647,39
39,Kaas,9.667,57.202,20
33,Oestrup,9.685,57.258,20
28,Muldbjerg,8.469,56.143,20
79,Skodborg,9.14,55.418,39
39,Jegum Ferieland,8.322,55.675,20
24,Solderup,9.013,54.962,20
33,Bremdal,8.589,56.509,20
46,Tapdrup,9.493,56.444,24
112,Outrup,8.341,55.719,46
24,Vejrumstad,8.583,56.434,20
