rs,name,lon,lat,r1
94,Mathrakion,19.524,39.764,79
28,Gousades,19.704,39.778,20
24,Valaneion,19.756,39.734,20
46,Nymfai,19.784,39.755,28
112,Kato Korakiana,19.827,39.69,46
24,Kato Agios Markos,19.84,39.704,20
33,Pelekas,19.823,39.593,20
24,Porta,19.917,39.75,20
28,Sinarades,19.848,39.566,20
33,Kanalion,19.892,39.609,20
79,Viros,19.883,39.584,20
66,Benitsai,19.912,39.546,20
33,Linia,19.943,39.441,20
134,Othonoi,19.407,39.842,94
192,Ereikoussa,19.578,39.88,79
134,Avliotai,19.663,39.777,55
94,Afion,19.66,39.722,20
55,Kavvadades,19.681,39.747,24
33,Sidarion,19.709,39.791,24
28,Dafni,19.699,39.73,20
39,Makrades,19.689,39.69,20
39,Pagoi,19.702,39.708,24
33,Mesaria,19.725,39.739,20
46,Karousades,19.745,39.781,46
28,Agrafoi,19.743,39.766,20
28,Agros,19.724,39.72,20
24,Astrakeri,19.759,39.793,20
24,Platonas,19.778,39.771,20
39,Doukades,19.74,39.688,20
28,Roda,19.788,39.79,20
66,Liapades,19.741,39.67,33
24,Klimatia,19.784,39.743,20
331,Acharavi,19.818,39.795,134
33,Kanakades,19.762,39.649,20
33,Episkepsis,19.817,39.759,20
28,Ano Korakiana,19.796,39.708,20
39,Giannades,19.762,39.633,28
24,Felekas,19.789,39.679,20
55,Poulades,19.808,39.663,24
33,Agios Ilias,19.874,39.797,28
28,Gazatika,19.817,39.676,20
66,Spartylas,19.842,39.722,20
33,Templonion,19.805,39.641,20
24,Vatos,19.79,39.608,20
55,Kokkinion,19.814,39.61,33
28,Vasilika,19.825,39.625,20
79,Kassiopi,19.921,39.789,66
39,Nisakion,19.896,39.725,33
55,Agnitsini,19.934,39.76,20
28,Potamos,19.876,39.625,20
28,Kato Garouna,19.866,39.54,20
33,Kynopiastai,19.884,39.569,20
33,Ano Pavliana,19.862,39.521,20
822,Kerkyra,19.919,39.622,571
24,Perama,19.913,39.578,20
112,Agios Matthaios,19.873,39.494,79
39,Strongyli,19.911,39.509,20
28,Moraitika,19.925,39.487,28
24,Chlomatiana,19.921,39.463,20
39,Chlomos,19.957,39.457,20
24,Agios Georgios,19.948,39.426,20
33,Argyrades,19.976,39.435,20
66,Petriti,20.001,39.455,24
28,Gymnotopos,20.903,39.289,28
33,Protopappas,20.689,39.781,24
33,Ammoudia,20.483,39.24,24
55,Perasma,21.467,40.754,24
39,Anthochorion,21.13,39.734,24
33,Peponia,21.41,40.293,20
28,Asprokklision,20.223,39.616,20
39,Perivolion,20.015,39.421,33
94,Pogoniani,20.424,40.004,55
79,Ktismata,20.397,39.898,39
66,Lakka,20.136,39.235,33
331,Igoumenitsa,20.264,39.505,230
24,Platanos,20.163,39.21,20
28,Kryonerion,20.5,39.887,20
79,Lista,20.468,39.743,39
24,Kato Koritiani,20.387,39.516,24
94,Kouklioi,20.556,39.819,33
28,Molos,20.047,39.439,20
33,Neochorion,20.436,39.51,20
230,Leptokarya,20.513,39.666,79
33,Iliorrachi,20.703,40.056,20
230,Pyrgos,20.784,40.16,46
39,Kato Zalongon,20.531,39.615,28
33,Pyrsogianni,20.81,40.212,33
66,Kourenta,20.611,39.65,39
192,Oinoi,21.085,40.516,46
134,Nestorion,21.059,40.416,79
112,Grammenon,20.71,39.654,39
33,Valanidorachi,20.519,39.222,20
112,Vrysochorion,20.887,39.999,66
28,Choika,20.586,39.344,20
46,Kypseli,21.029,40.289,33
66,Neos Oikismos,21.201,40.623,66
24,Kleisoura,20.597,39.285,20
