rs,name,lon,lat,r1
496,Patreksfjordur,-23.999,65.598,414
4408,Isafjordur,-23.124,66.075,1232
240,Thingeyri,-23.489,65.877,200
496,Olafsvik,-23.708,64.897,345
1478,Stykkisholmur,-22.725,65.076,496
288,Reykholar,-22.199,65.448,240
345,Grindavik,-22.434,63.843,288
414,Akranes,-22.058,64.319,200
345,Budardalur,-21.762,65.109,288
345,Borgarnes,-21.91,64.545,200
288,Bifrost,-21.549,64.766,200
714,Holmavik,-21.683,65.701,345
288,Hvammstangi,-20.943,65.398,288
714,Selfoss,-21.003,63.937,288
288,Blonduos,-20.28,65.658,240
414,Skagastrond,-20.303,65.823,200
414,Laugarvatn,-20.733,64.218,200
595,Hvolsvollur,-20.231,63.749,240
1773,Vestmannaeyjar,-20.276,63.44,496
414,Varmahlid,-19.444,65.553,200
496,Siglufjordur,-18.907,66.155,200
595,Saudarkrokur,-19.64,65.748,414
240,Olafsfjordur,-18.653,66.071,200
414,Dalvik,-18.53,65.974,288
414,Grimsey,-18.009,66.538,345
240,Hrafnagil,-18.094,65.571,200
496,Vik,-19.006,63.42,414
2127,Akureyri,-18.101,65.689,1773
496,Husavik,-17.343,66.047,345
714,Kirkjubaejarklaustur,-18.038,63.794,414
288,Laugar,-17.36,65.721,200
496,Reykjahlid,-16.91,65.64,345
240,Kopasker,-16.44,66.302,200
1232,Raufarhofn,-15.949,66.454,288
496,Bakkafjordur,-14.803,66.037,200
496,Thorshofn,-15.336,66.198,414
1027,Vopnafjordur,-14.828,65.753,414
1773,Hofn i Hornafirdi,-15.208,64.255,714
2127,Egilsstadir,-14.406,65.262,1027
496,Djupivogur,-14.283,64.657,200
345,Borgarfjordur eystri,-13.816,65.528,288
240,Stodvarfjordur,-13.874,64.833,200
345,Faskrudsfjordur,-14.014,64.93,200
414,Neskaupstadur,-13.676,65.147,200
100000,Reykjavík,-21.903,64.115,100000
