rs,name,lon,lat,r1
714,Stroemstad,11.177,58.943,496
1027,Funaesdalen,12.552,62.545,714
414,Tanumshede,11.326,58.724,200
496,Lysekil,11.446,58.28,200
288,Dingle,11.577,58.529,200
240,Toecksfors,11.848,59.509,200
345,Ed,11.94,58.911,240
1773,Idre,12.716,61.861,595
595,Arjaeng,12.133,59.385,240
1232,Are,13.086,63.396,496
288,Charlottenberg,12.312,59.885,200
345,Stenungsund,11.838,58.075,200
288,Faergelanda,11.993,58.569,200
345,Kungaelv,11.969,57.87,200
345,Saerna,13.141,61.691,200
414,Kungsbacka,12.08,57.494,200
3674,Goeteborg,11.999,57.685,2552
345,Veddige,12.329,57.267,200
240,Vemdalen,13.853,62.445,200
240,Vargarda,12.807,58.035,200
288,Ekshaerad,13.491,60.174,200
714,Malung,13.703,60.693,345
288,Oeverlida,12.898,57.353,200
595,Arvika,12.603,59.665,414
345,Sysslebaeck,12.868,60.732,345
288,Oestmark,12.762,60.282,200
1027,Trollhaettan,12.304,58.278,414
595,Mellerud,12.461,58.698,288
240,Nordkroken,12.408,58.382,200
240,Klaessbol,12.743,59.539,200
240,Floda,12.359,57.808,200
714,Amal,12.698,59.052,345
414,Hede,13.512,62.417,345
288,Torsby,13,60.13,240
856,Saelen,13.262,61.162,288
856,Varberg,12.27,57.112,345
414,Alingsas,12.538,57.93,200
240,Lysvik,13.136,60.017,200
1232,Gaeddede,14.146,64.502,595
595,Stoellet,13.273,60.409,200
345,Sunne,13.143,59.834,200
414,Limedsforsen,13.4,60.888,200
288,Segmon,13.042,59.271,200
414,Falkenberg,12.496,56.903,200
288,Kinna,12.681,57.508,200
240,Ullared,12.716,57.133,200
345,Lidkoeping,13.147,58.495,288
496,Boras,12.94,57.728,414
240,Aelvsered,12.868,57.242,200
414,Lillhaerdal,14.073,61.852,200
345,Laholm,13.032,56.504,200
1478,Oestersund,14.687,63.165,1027
496,Falkoeping,13.553,58.174,200
288,Lesjoefors,14.176,59.98,200
