rs,name,lon,lat,r1
735,Πάφος,32.406,34.78,426
355,Μόρφου,33.019,35.215,206
511,Πόλις,32.426,35.033,120
206,Πέγεια,32.381,34.884,100
172,Αγία Μαρίνα (Χρυσοχούς),32.534,35.111,100
120,Πολέμι,32.507,34.886,100
120,Κούκλια,32.575,34.709,100
296,Λεύκα,32.85,35.114,120
144,Λεμίθου,32.812,34.952,100
296,Πισσούρι,32.702,34.671,206
120,Κορμακίτης,33.01,35.344,100
120,Πραστιό,32.94,35.176,100
172,Κυπερούντα,32.975,34.938,120
144,Λάπηθος,33.175,35.34,100
172,Απεσιά,32.978,34.789,100
120,Λουβαράς,33.04,34.837,100
355,Κερύνεια,33.321,35.34,144
144,Γούρρη,33.159,34.958,100
172,Παρεκκλησιά,33.161,34.744,100
172,Λυθροδόντας,33.294,34.95,100
206,Ξυλοφάγου,33.835,34.976,100
120,Καλαβασός,33.296,34.771,100
144,Ακανθού,33.753,35.374,100
144,Λευκόνοικο,33.732,35.26,100
296,Λύση,33.682,35.106,144
296,Τρίκωμο,33.892,35.286,120
120,Αυγόρου,33.84,35.037,100
172,Άγιος Θεόδωρος,34.029,35.367,100
511,Αμμόχωστος,33.956,35.116,426
247,Κώμα του Γιαλού,34.131,35.428,100
247,Αιγιαλούσα,34.189,35.536,100
144,Παραλίμνι,34,35.032,100
1522,Ριζοκάρπασο,34.379,35.598,426
100000,Lefkosia,33.346,35.149,100000
1058,Lemesos,33.032,34.692,426
296,Larnaka,33.614,34.927,206
172,Pera Chorio,33.401,35.009,100
172,Kiti,33.582,34.852,100
