rs,name,lon,lat,r1
355,Karlshamn,14.856,56.174,296
172,Nykil,15.447,58.287,100
206,Ljungsbro,15.506,58.502,100
511,Tingsryd,14.979,56.528,206
120,Husby,15.998,60.392,100
144,Högsjö,15.669,59.026,100
144,Norberg,15.928,60.066,100
296,Hedemora,15.983,60.282,100
206,Långshyttan,16.038,60.452,100
296,Hovmantorp,15.153,56.784,172
247,Arboga,15.845,59.393,100
1826,Linköping,15.621,58.404,735
247,Arbrå,16.378,61.468,100
247,Stöde,16.587,62.419,172
247,Lenhovda,15.272,56.995,144
882,Bollnäs,16.372,61.348,355
882,Storuman,17.116,65.094,426
355,Junsele,16.862,63.697,144
120,Virsbo,16.052,59.873,100
511,Åseda,15.353,57.167,206
172,Vingåker,15.875,59.046,144
355,Köping,15.997,59.513,206
296,Backaryd,15.153,56.346,100
206,Friggesund,16.551,61.897,100
206,Finspång,15.804,58.705,172
172,Brokind,15.679,58.217,100
144,Sturefors,15.724,58.333,100
426,Kisa,15.635,57.984,172
613,Avesta,16.178,60.14,355
172,Rimforsa,15.682,58.137,120
120,Pauliström,15.507,57.47,100
247,Näsåker,16.902,63.443,172
426,Hofors,16.29,60.55,206
144,Kvillsfors,15.515,57.406,100
144,Mariannelund,15.576,57.613,120
511,Liden,16.809,62.69,120
613,Hassela,16.691,62.115,144
144,Kosta,15.397,56.843,100
206,Åmot,16.446,60.964,100
144,Skruv,15.366,56.677,100
144,Ramnäs,16.189,59.776,100
144,Fors,16.313,60.209,100
296,Virserum,15.582,57.32,120
144,Gistad,15.89,58.466,100
120,Skärblacka,15.921,58.584,100
144,Jädraås,16.468,60.841,100
120,Gullringen,15.719,57.8,100
206,Ronneby,15.278,56.209,144
206,Alberga,16.116,59.281,120
144,Rengsjö,16.614,61.363,100
120,Hallstahammar,16.229,59.616,100
206,Horndal,16.411,60.299,144
120,Svärtinge,16.025,58.654,100
120,Torsåker,16.48,60.511,100
144,Södra Vi,15.793,57.742,100
120,Hålsjö,16.78,61.827,100
120,Målerås,15.567,56.908,100
144,Storvik,16.527,60.588,100
206,Fagerhult,15.664,57.146,144
735,Sorsele,17.533,65.527,355
206,Alstermo,15.638,56.973,120
120,Näs bruk,16.471,60.187,100
247,Emmaboda,15.553,56.633,144
355,Järbo,16.6,60.72,100
172,Bie,16.211,59.089,100
144,Björsäter,16.021,58.336,100
426,Vimmerby,15.847,57.669,296
426,Åtvidaberg,15.998,58.198,172
426,Katrineholm,16.205,58.992,296
144,Målilla,15.788,57.384,100
735,Åsele,17.352,64.163,355
355,Hultsfred,15.838,57.49,144
206,Vissefjärda,15.582,56.537,100
172,Hasslö,15.469,56.111,100
355,Ockelbo,16.719,60.892,172
247,Möklinta,16.539,60.068,100
426,Norrköping,16.179,58.591,206
172,Indal,17.099,62.58,100
144,Östra Ryd,16.165,58.405,100
172,Orrefors,15.746,56.839,100
144,Skog,16.839,61.168,100
613,Sollefteå,17.281,63.166,426
