rs,name,lon,lat,r1
24,Слатино,21.038,42.068,20
24,Волино,20.741,41.22,20
66,Јегуновце,21.126,42.071,46
33,Орман,20.785,41.14,20
46,Јагол,21.005,41.626,20
94,Ростуша,20.6,41.61,33
24,Долно Мелничани,20.573,41.517,20
112,Скудриње,20.609,41.566,46
112,Вешала,20.846,42.061,46
94,Маврово,20.733,41.66,33
24,Јеловјане,20.897,41.959,20
160,Лабуништа,20.598,41.269,66
24,Долно Јеловце,20.836,41.802,20
66,Добри Дол,20.886,41.866,24
66,Симница,20.885,41.717,28
55,Доброште,21.076,42.101,20
94,Извор,20.821,41.48,39
24,Вратница,21.116,42.142,20
33,Милетино,21.016,41.908,20
55,Волковија,20.998,41.863,24
28,Песочани,20.79,41.326,20
39,Ботун,20.79,41.286,24
39,Дворце,21.169,42.099,24
24,Осој,20.931,41.529,20
55,Церово,21.137,41.992,20
571,Кичево,20.956,41.516,230
33,Волче,21.071,41.763,20
24,Поповјани,21.007,41.615,20
94,Седларево,21.127,41.883,39
28,Селокуќи,20.489,41.542,20
46,Грекај,20.584,41.724,28
28,Хаме,20.527,41.551,24
276,Жировница,20.585,41.675,79
39,Жужње,20.624,41.753,20
476,Дебар,20.523,41.524,230
33,Видуше,20.59,41.659,20
94,Нистрово,20.635,41.734,39
39,Требиште,20.59,41.628,20
24,Рајчица,20.546,41.516,20
94,Отишани,20.518,41.447,28
33,Врбјани,20.634,41.685,28
24,Горно Косоврасти,20.575,41.548,20
24,Горенци,20.557,41.503,20
192,Бродец,20.687,41.787,94
28,Ничпур,20.673,41.744,20
33,Праленик,20.549,41.459,20
79,Центар Жупа,20.558,41.479,33
33,Волковија,20.665,41.714,20
28,Присојница,20.61,41.58,20
55,Кракорница,20.694,41.755,24
33,Броштица,20.584,41.492,20
28,Брештани,20.586,41.455,20
46,Беличица,20.691,41.691,20
66,Могорче,20.623,41.531,28
79,Дренок,20.561,41.391,20
55,Лакаица,20.532,41.325,33
46,Галичник,20.653,41.594,24
33,Долгаш,20.586,41.423,20
33,Врбен,20.728,41.721,20
33,Модрич,20.571,41.366,20
46,Бродец,20.893,42.059,20
160,Новак,20.617,41.437,39
39,Горно Јеловце,20.789,41.808,28
55,Ломница,20.833,41.896,33
79,Дуф,20.768,41.75,28
160,Луково,20.591,41.348,46
33,Елевци,20.624,41.42,20
39,Ново Село,20.862,41.944,33
112,Никифорово,20.756,41.702,46
66,Вејце,20.925,42.083,20
55,Лазарополе,20.694,41.536,24
46,Шипковица,20.916,42.035,33
28,Горна Белица,20.558,41.225,28
55,Гари,20.683,41.502,39
55,Пискупштина,20.605,41.321,20
39,Бороец,20.597,41.289,20
24,Орќуше,20.801,41.743,20
94,Тресонче,20.722,41.561,55
24,Урвич,20.895,41.948,20
39,Никифорово,20.776,41.675,20
24,Лисец,20.925,42.003,20
28,Пожаране,20.865,41.854,20
33,Горно Палчиште,20.921,41.98,20
94,Речане,20.827,41.753,24
24,Неготино - Полошко,20.884,41.878,20
33,Леуново,20.803,41.695,20
24,Гајре,20.944,42.012,20
24,Долно Палчиште,20.925,41.968,20
33,Вруток,20.837,41.767,20
192,Боговиње,20.911,41.925,66
33,Лавце,20.957,42.025,20
33,Ѓермо,20.969,42.051,20
24,Глобочица,20.644,41.317,24
39,Ново Село,20.83,41.734,20
33,Мала Речица,20.945,41.993,20
66,Градец,20.901,41.895,24
46,Камењане,20.925,41.945,20
28,Октиси,20.609,41.232,20
55,Равен,20.856,41.781,20
79,Врапчиште,20.884,41.835,33
33,Вишни,20.598,41.193,20
33,Дебреше,20.88,41.818,20
39,Збажди,20.672,41.351,20
24,Ташмаруништа,20.639,41.271,24
476,Тетово,20.967,42.006,276
24,Здуње,20.876,41.794,20
33,Сретково,20.845,41.706,20
46,Велешта,20.641,41.241,28
46,Присовјани,20.684,41.33,24
39,Сушица,20.877,41.759,20
66,Џепчиште,20.998,42.033,24
39,Заграчани,20.628,41.192,20
33,Горна Бањица,20.892,41.78,20
46,Радолишта,20.621,41.163,33
66,Брвеница,20.981,41.966,33
46,Непроштено,21.019,42.053,20
476,Гостивар,20.91,41.794,192
39,Франгово,20.624,41.145,20
79,Мислодежда,20.694,41.301,33
55,Ехлоец,20.766,41.46,24
28,Горно Татеши,20.677,41.26,20
24,Тумчевиште,20.942,41.849,20
28,Мали Влај,20.617,41.119,20
33,Фалиш,21.006,41.98,20
28,Чајле,20.931,41.805,20
66,Враниште,20.667,41.212,20
46,Тајмиште,20.858,41.64,33
160,Теарце,21.052,42.077,66
28,Ратае,21.037,42.035,20
24,Требош,21.032,42.012,20
33,Поум,20.711,41.281,20
24,Балин Дол,20.938,41.79,20
33,Теново,20.985,41.895,20
160,Радожда,20.634,41.103,33
