rs,name,lon,lat,r1
28,Marsaxlokk,14.543,35.842,20
134,Zurrieq,14.475,35.829,33
28,Marsaskala,14.567,35.861,20
28,Gharb,14.21,36.058,20
46,Zebbug,14.234,36.066,20
24,Marsalforn,14.25,36.078,20
276,Rabat,14.242,36.043,79
39,Sannat,14.244,36.024,20
24,Xaghra,14.265,36.05,20
24,Ghajnsielem,14.287,36.027,20
55,Nadur,14.294,36.039,33
39,Manikata,14.353,35.941,20
39,Mellieha,14.368,35.96,33
46,Bahrija,14.348,35.895,28
39,Zebbiegh,14.381,35.92,20
94,Bugibba,14.414,35.949,33
28,Burmarrad,14.414,35.935,20
46,Dingli,14.381,35.86,20
24,Mtarfa,14.4,35.893,20
79,Rabat,14.398,35.881,24
46,Mosta,14.428,35.909,24
24,Attard,14.44,35.893,20
28,Iklin,14.452,35.911,20
33,Zebbug,14.441,35.873,20
33,Swieqi,14.47,35.923,20
46,Siggiewi,14.437,35.855,20
100000,Birkirkara,14.465,35.897,100000
33,Qormi,14.474,35.88,20
33,Sliema,14.501,35.913,24
28,Valletta,14.512,35.898,20
33,Kirkop,14.484,35.848,20
46,Ghaxaq,14.518,35.848,24
55,Zabbar,14.539,35.877,46
33,Birzebbuga,14.51,35.813,24
